workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,implementation,9af7a5f36,1,3,6999108,7420488,22144,,,
sequential,implementation,9af7a5f36,1,4,6875282,7015951,20927,,,
sequential,implementation,9af7a5f36,1,5,6991468,7583744,18467,,,
sequential,implementation,9af7a5f36,1,6,6963028,7703712,26712,,,
sequential,implementation,9af7a5f36,1,7,7260020,6857779,18505,,,
sequential,implementation,9af7a5f36,1,8,7152628,6324485,20839,,,
sequential,implementation,9af7a5f36,1,9,6526834,6997856,18467,,,
sequential,implementation,9af7a5f36,1,10,6739061,7591952,19383,,,
sequential,implementation,9af7a5f36,1,11,6422854,7604706,19870,,,
sequential,implementation,9af7a5f36,1,12,6716531,6892573,19108,,,
sequential,implementation,9af7a5f36,1,13,6371246,8171688,19159,,,
sequential,implementation,9af7a5f36,1,14,6976028,6787510,20802,,,
sequential,implementation,9af7a5f36,1,15,6371294,7236235,18425,,,
sequential,implementation,9af7a5f36,1,16,7267392,8039485,19058,,,
sequential,implementation,9af7a5f36,1,17,6507208,7755485,19122,,,
sequential,implementation,9af7a5f36,1,18,7347430,8447325,19362,,,
sequential,implementation,9af7a5f36,1,19,7351290,8798415,25559,,,
sequential,baseline,3acc11385,1,0,6712512,8351791,18975,,,
sequential,baseline,3acc11385,1,1,6930380,7013290,18674,,,
sequential,baseline,3acc11385,1,2,6836668,7177607,18908,,,
sequential,baseline,3acc11385,1,3,6421589,6432870,17876,,,
sequential,baseline,3acc11385,1,4,6644627,6317551,18220,,,
sequential,baseline,3acc11385,1,5,6718259,6162821,18874,,,
sequential,baseline,3acc11385,1,6,6559449,7413564,55092,,,
sequential,baseline,3acc11385,1,7,6679935,7514367,18562,,,
sequential,baseline,3acc11385,1,8,6397789,7220906,19131,,,
sequential,baseline,3acc11385,1,9,6602754,8309419,19186,,,
sequential,baseline,3acc11385,1,10,7247391,9493461,26215,,,
sequential,baseline,3acc11385,1,11,6875356,7937107,19537,,,
sequential,baseline,3acc11385,1,12,7728376,9560151,21140,,,
sequential,baseline,3acc11385,1,13,7231609,8327419,28240,,,
sequential,baseline,3acc11385,1,14,6853060,8046387,19431,,,
sequential,baseline,3acc11385,1,15,7312802,7526434,24833,,,
sequential,baseline,3acc11385,1,16,6966968,6628628,19240,,,
sequential,baseline,3acc11385,1,17,6627557,6847877,19291,,,
sequential,baseline,3acc11385,1,18,7088962,7507127,37259,,,
sequential,baseline,3acc11385,1,19,7261905,9088140,20297,,,
sync-cycle,implementation,9af7a5f36,1,0,,,,12881,302,8261
sync-cycle,implementation,9af7a5f36,1,1,,,,12558,296,8171
sync-cycle,implementation,9af7a5f36,1,2,,,,13088,275,9575
sync-cycle,implementation,9af7a5f36,1,3,,,,11042,312,7542
sync-cycle,implementation,9af7a5f36,1,4,,,,10537,303,7477
sync-cycle,implementation,9af7a5f36,1,5,,,,10054,253,7043
sync-cycle,implementation,9af7a5f36,1,6,,,,9344,245,6404
sync-cycle,implementation,9af7a5f36,1,7,,,,10431,265,6962
sync-cycle,implementation,9af7a5f36,1,8,,,,8892,265,6247
sync-cycle,implementation,9af7a5f36,1,9,,,,7866,282,5559
sync-cycle,implementation,9af7a5f36,1,10,,,,8748,520,5637
sync-cycle,implementation,9af7a5f36,1,11,,,,9000,303,6284
sync-cycle,implementation,9af7a5f36,1,12,,,,28613,307,6531
sync-cycle,implementation,9af7a5f36,1,13,,,,9227,224,6132
sync-cycle,implementation,9af7a5f36,1,14,,,,9576,277,6862
sync-cycle,implementation,9af7a5f36,1,15,,,,9231,283,7260
sync-cycle,implementation,9af7a5f36,1,16,,,,10072,204,7045
sync-cycle,implementation,9af7a5f36,1,17,,,,8836,281,6128
sync-cycle,implementation,9af7a5f36,1,18,,,,9719,233,6387
sync-cycle,implementation,9af7a5f36,1,19,,,,10001,303,6577
sync-cycle,baseline,3acc11385,1,0,,,,10307,370,7041
sync-cycle,baseline,3acc11385,1,1,,,,11683,266,22100
sync-cycle,baseline,3acc11385,1,2,,,,10146,287,24914
sync-cycle,baseline,3acc11385,1,3,,,,11666,265,7177
sync-cycle,baseline,3acc11385,1,4,,,,10009,345,6894
