commit,batch,position,run,dirty_sync_ns,clean_sync_ns,unmount_ns
a91e89cd8,3,1,11,21423,753,14605
a91e89cd8,3,1,12,28771,837,16543
a91e89cd8,3,1,13,22029,532,15617
a91e89cd8,3,1,14,21361,540,14849
a91e89cd8,3,1,15,20920,505,15270
a91e89cd8,3,1,16,22566,701,16621
a91e89cd8,3,1,17,15688,342,10888
a91e89cd8,3,1,18,21289,508,15415
a91e89cd8,3,1,19,22563,566,15639
a91e89cd8,4,0,0,23838,727,17406
a91e89cd8,4,0,1,21953,604,15819
a91e89cd8,4,0,2,22977,612,17825
a91e89cd8,4,0,3,22145,627,14449
a91e89cd8,4,0,4,24457,683,15739
a91e89cd8,4,0,5,21725,723,15990
a91e89cd8,4,0,6,25829,642,18509
a91e89cd8,4,0,7,22450,775,16004
a91e89cd8,4,0,8,23165,596,17979
a91e89cd8,4,0,9,21922,707,14823
a91e89cd8,4,0,10,21336,677,13808
a91e89cd8,4,0,11,23048,818,20069
a91e89cd8,4,0,12,32528,835,20566
a91e89cd8,4,0,13,23758,580,15649
a91e89cd8,4,0,14,21842,481,15106
a91e89cd8,4,0,15,16990,263,11778
a91e89cd8,4,0,16,21506,596,15846
a91e89cd8,4,0,17,23901,664,17505
a91e89cd8,4,0,18,22263,614,15450
a91e89cd8,4,0,19,21394,707,15184
897d40a01,4,1,0,19844,618,13828
897d40a01,4,1,1,16531,399,11605
897d40a01,4,1,2,16298,371,18324
897d40a01,4,1,3,16554,324,10435
897d40a01,4,1,4,15155,343,10095
897d40a01,4,1,5,16131,382,10731
897d40a01,4,1,6,16637,354,12001
897d40a01,4,1,7,14887,295,16705
897d40a01,4,1,8,21311,731,15360
897d40a01,4,1,9,22185,803,15431
897d40a01,4,1,10,15958,314,10362
897d40a01,4,1,11,15922,408,11232
897d40a01,4,1,12,14709,258,9970
897d40a01,4,1,13,15478,275,10273
897d40a01,4,1,14,16642,388,9744
897d40a01,4,1,15,15425,314,9820
897d40a01,4,1,16,15993,288,9388
897d40a01,4,1,17,17008,403,10626
897d40a01,4,1,18,15258,414,10049
897d40a01,4,1,19,15890,297,9570
897d40a01,5,0,0,20489,722,15314
897d40a01,5,0,1,19206,581,14107
897d40a01,5,0,2,20064,673,14379
897d40a01,5,0,3,20438,551,16094
897d40a01,5,0,4,20231,587,14474
897d40a01,5,0,5,20321,584,13210
897d40a01,5,0,6,19341,618,14658
897d40a01,5,0,7,20574,712,13701
897d40a01,5,0,8,20868,715,15311
897d40a01,5,0,9,20499,718,15561
897d40a01,5,0,10,20860,651,14789
897d40a01,5,0,11,23092,579,15133
897d40a01,5,0,12,20169,573,14629
897d40a01,5,0,13,21197,697,13972
897d40a01,5,0,14,19925,808,14219
897d40a01,5,0,15,22142,824,17053
897d40a01,5,0,16,20565,648,14830
897d40a01,5,0,17,16006,407,10551
897d40a01,5,0,18,16930,288,10640
897d40a01,5,0,19,14617,386,9480
a91e89cd8,5,1,0,14279,236,9719
a91e89cd8,5,1,1,14959,226,9543
a91e89cd8,5,1,2,16466,335,10005
a91e89cd8,5,1,3,13938,279,10878
a91e89cd8,5,1,4,14307,273,10464
a91e89cd8,5,1,5,19186,542,13551
a91e89cd8,5,1,6,14701,337,9110
a91e89cd8,5,1,7,15985,300,10597
a91e89cd8,5,1,8,14751,263,9506
a91e89cd8,5,1,9,14652,252,9441
a91e89cd8,5,1,10,14696,264,9179
a91e89cd8,5,1,11,14586,311,9551
a91e89cd8,5,1,12,14365,296,9872
a91e89cd8,5,1,13,19470,374,14718
a91e89cd8,5,1,14,17260,307,12043
a91e89cd8,5,1,15,15864,313,10318
a91e89cd8,5,1,16,13969,340,9123
a91e89cd8,5,1,17,14000,277,10669
a91e89cd8,5,1,18,14602,255,10670
a91e89cd8,5,1,19,15211,335,9499
a91e89cd8,6,0,0,14366,276,10433
a91e89cd8,6,0,1,14216,411,9075
a91e89cd8,6,0,2,13351,274,9534
a91e89cd8,6,0,3,13809,300,9210
a91e89cd8,6,0,4,14410,291,9360
a91e89cd8,6,0,5,13273,306,10178
a91e89cd8,6,0,6,18107,249,10047
a91e89cd8,6,0,7,13713,232,9605
a91e89cd8,6,0,8,13534,235,8904
a91e89cd8,6,0,9,13367,262,9975
a91e89cd8,6,0,10,13134,185,9179
a91e89cd8,6,0,11,13802,265,10548
a91e89cd8,6,0,12,13730,275,10125
a91e89cd8,6,0,13,14161,214,10086
