sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,1584,19624,126401,124817,18040,106777,45000,20000,20266,951,951,24734
2,126967,127196,140029,13062,229,12833,45000,20266,20543,992,992,24457
3,227028,227241,230254,3226,213,3013,45000,20543,20817,986,986,24183
4,327082,327289,330269,3187,207,2980,45000,20817,21088,979,979,23912
5,427135,427343,430264,3129,208,2921,45000,21088,21356,972,972,23644
6,527187,527393,529240,2053,206,1847,45000,21356,21620,965,965,23380
7,627240,627443,629365,2125,203,1922,45000,21620,21882,958,958,23118
8,727310,727513,739524,12214,203,12011,45000,21882,22141,951,951,22859
9,827362,827567,839227,11865,205,11660,45000,22141,22397,944,944,22603
10,927414,927616,939304,11890,202,11688,45000,22397,22649,937,937,22351
11,1027466,1027669,1039328,11862,203,11659,45000,22649,22899,931,931,22101
12,1127538,1127739,1139394,11856,201,11655,45000,22899,23147,924,924,21853
13,1227592,1227794,1239446,11854,202,11652,45000,23147,23391,917,917,21609
14,1327665,1327866,1339539,11874,201,11673,45000,23391,23632,911,911,21368
15,1427716,1427917,1439574,11858,201,11657,45000,23632,23871,905,905,21129
16,1527793,1527995,1539673,11880,202,11678,45000,23871,24107,898,898,20893
17,1627845,1628050,1639715,11870,205,11665,45000,24107,24340,892,892,20660
18,1727920,1728121,1739776,11856,201,11655,45000,24340,24571,886,886,20429
19,1827995,1828196,1839873,11878,201,11677,45000,24571,24799,879,879,20201
20,1928047,1928248,1939913,11866,201,11665,45000,24799,25024,873,873,19976
21,2028121,2028323,2040014,11893,202,11691,45000,25024,25247,867,867,19753
22,2128174,2128395,2140061,11887,221,11666,45000,25247,25467,861,861,19533
23,2228229,2228454,2240112,11883,225,11658,45000,25467,25685,856,856,19315
24,2328302,2328524,2340204,11902,222,11680,45000,25685,25900,850,850,19100
25,2428354,2428573,2440230,11876,219,11657,45000,25900,26113,844,844,18887
26,2528425,2528626,2540261,11836,201,11635,45000,26113,26323,838,838,18677
27,2628477,2628679,2640259,11782,202,11580,45000,26323,26531,833,833,18469
28,2728529,2728730,2740281,11752,201,11551,45000,26531,26736,827,827,18264
29,2828599,2828799,2840282,11683,200,11483,45000,26736,26940,822,822,18060
30,2928650,2928852,2940265,11615,202,11413,45000,26940,27140,816,816,17860
31,3028702,3028903,3040259,11557,201,11356,45000,27140,27339,811,811,17661
32,3128770,3128971,3140292,11522,201,11321,45000,27339,27535,806,806,17465
33,3228822,3229025,3240288,11466,203,11263,45000,27535,27729,801,801,17271
34,3328874,3329076,3340286,11412,202,11210,45000,27729,27921,795,795,17079
35,3428926,3429127,3440264,11338,201,11137,45000,27921,28110,790,790,16890
36,3528978,3529179,3540261,11283,201,11082,45000,28110,28298,785,785,16702
37,3629031,3629232,3640256,11225,201,11024,45000,28298,28483,780,780,16517
38,3729101,3729302,3740266,11165,201,10964,45000,28483,28666,775,775,16334
