sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns
872,3d690ff9,3f100000,bc83126f,3f2b851f,3f2b8bac,670,171208
873,3d6a5f85,3f100000,bc83126f,3f2b851f,3f2ba6ef,671,175875
874,3d6baf10,3f100000,bc83126f,3f2bc6a8,3f2bc8c0,671,168000
875,3d6cfe9b,3f100000,bc83126f,3f2bc6a8,3f2be403,671,143209
876,3d6e392e,3f100000,bc75c28f,3f2bc6a8,3f2bf1c6,672,144083
877,3d6f73c1,3f100000,bc75c28f,3f2c0831,3f2c11e3,672,144083
878,3d70ae53,3f100000,bc75c28f,3f2c0831,3f2c2b72,673,144667
879,3d71e8e6,3f100000,bc75c28f,3f2c49ba,3f2c4b8f,673,143791
880,3d732379,3f100000,bc75c28f,3f2c49ba,3f2c651f,673,142917
881,3d745e0b,3f100000,bc75c28f,3f2c49ba,3f2c7eae,674,142916
882,3d7583a5,3f100000,bc656042,3f2c8b44,3f2c914b,674,142916
883,3d76a93f,3f100000,bc656042,3f2c8b44,3f2ca925,674,144083
884,3d77e3d2,3f100000,bc75c28f,3f2c8b44,3f2cce80,675,143500
885,3d78f473,3f100000,bc54fdf4,3f2ccccd,3f2cd39d,675,143792
886,3d7a1a0d,3f100000,bc656042,3f2ccccd,3f2cf744,676,144083
887,3d7b3fa7,3f100000,bc656042,3f2d0e56,3f2d15ad,676,143208
888,3d7c5048,3f100000,bc54fdf4,3f2d0e56,3f2d2008,676,143500
889,3d7d75e2,3f100000,bc656042,3f2d0e56,3f2d43af,677,143792
890,3d7e8683,3f100000,bc54fdf4,3f2d4fdf,3f2d5497,677,143792
891,3d7f9724,3f100000,bc54fdf4,3f2d4fdf,3f2d6abe,677,142917
892,3d8053e3,3f100000,bc54fdf4,3f2d4fdf,3f2d80e5,678,143208
893,3d80d1b7,3f100000,bc449ba6,3f2d9168,3f2d9018,678,144375
894,3d815a08,3f100000,bc54fdf4,3f2d9168,3f2db20b,678,143792
895,3d81d7dc,3f100000,bc449ba6,3f2d9168,3f2dbab2,679,143500
896,3d82602d,3f100000,bc54fdf4,3f2dd2f2,3f2de332,679,143500
897,3d82de01,3f100000,bc449ba6,3f2dd2f2,3f2debd9,679,143500
898,3d835bd5,3f100000,bc449ba6,3f2dd2f2,3f2e004b,680,142916
899,3d83d9a9,3f100000,bc449ba6,3f2e147b,3f2e1b4c,680,143500
900,3d844d01,3f100000,bc343958,3f2e147b,3f2e223e,680,143791
901,3d84cad5,3f100000,bc449ba6,3f2e147b,3f2e427c,681,143792
902,3d853e2d,3f100000,bc343958,3f2e5604,3f2e4ffc,681,144667
903,3d85bc02,3f100000,bc449ba6,3f2e5604,3f2e703a,681,143209
904,3d862f5a,3f100000,bc343958,3f2e5604,3f2e772d,682,143208
905,3d86a2b1,3f100000,bc343958,3f2e978d,3f2e9079,682,142917
906,3d871609,3f100000,bc343958,3f2e978d,3f2ea337,682,143500
907,3d878961,3f100000,bc343958,3f2e978d,3f2eb5f5,682,143792
908,3d87f23d,3f100000,bc23d70a,3f2e978d,3f2ebb33,683,143792
909,3d886595,3f100000,bc343958,3f2ed917,3f2ee04c,683,143500
910,3d88ce70,3f100000,bc23d70a,3f2ed917,3f2ee58a,683,144375
911,3d8941c8,3f100000,bc343958,3f2ed917,3f2f0414,684,143208
912,3d89aaa4,3f100000,bc23d70a,3f2f1aa0,3f2f0fe0,684,143791
913,3d8a137f,3f100000,bc23d70a,3f2f1aa0,3f2f20ea,684,143792
914,3d8a7c5b,3f100000,bc23d70a,3f2f1aa0,3f2f31f4,684,144666
915,3d8ae536,3f100000,bc23d70a,3f2f1aa0,3f2f42fe,685,143500
916,3d8b4e12,3f100000,bc23d70a,3f2f5c29,3f2f5a96,685,142917
917,3d8bac71,3f100000,bc1374bc,3f2f5c29,3f2f5e1f,685,143792
918,3d8c154d,3f100000,bc23d70a,3f2f5c29,3f2f7af5,685,143500
919,3d8c73ac,3f100000,bc1374bc,3f2f5c29,3f2f7e7f,686,143792
920,3d8cd20b,3f100000,bc1374bc,3f2f9db2,3f2f9463,686,144083
921,3d8d3ae7,3f100000,bc23d70a,3f2f9db2,3f2fb139,686,143208
922,3d8d9946,3f100000,bc1374bc,3f2f9db2,3f2fb4c3,686,144667
923,3d8df7a5,3f100000,bc1374bc,3f2f9db2,3f2fc419,687,142917
924,3d8e5604,3f100000,bc1374bc,3f2fdf3b,3f2fd9fd,687,144084
925,3d8ea9e7,3f100000,bc03126f,3f2fdf3b,3f2fdbd2,687,143792
926,3d8f0846,3f100000,bc1374bc,3f2fdf3b,3f2ff6f4,687,143500
927,3d8f66a5,3f100000,bc1374bc,3f2fdf3b,3f30064a,688,144083
928,3d8fba88,3f100000,bc03126f,3f3020c5,3f300eae,688,144375
929,3d900e6b,3f100000,bc03126f,3f3020c5,3f301c50,688,143500
930,3d906cca,3f100000,bc1374bc,3f3020c5,3f303771,688,144083
931,3d90c0ad,3f100000,bc03126f,3f3020c5,3f303947,688,143791
932,3d911490,3f100000,bc03126f,3f3020c5,3f3046e9,689,143792
933,3d916873,3f100000,bc03126f,3f30624e,3f305b17,689,143208
934,3d91bc56,3f100000,bc03126f,3f30624e,3f3068b9,689,144375
935,3d921038,3f100000,bc03126f,3f30624e,3f30765b,689,143792
936,3d92641b,3f100000,bc03126f,3f30624e,3f3083fc,690,143208
937,3d92ad82,3f100000,bbe56042,3f30a3d7,3f308aac,690,142917
938,3d930165,3f100000,bc03126f,3f30a3d7,3f30a419,690,144375
939,3d934acb,3f100000,bbe56042,3f30a3d7,3f30a43b,690,163625
940,3d939431,3f100000,bbe56042,3f30a3d7,3f30b028,690,169750
941,3d93e814,3f100000,bc03126f,3f30a3d7,3f30c996,691,164500
942,3d94317b,3f100000,bbe56042,3f30e560,3f30d045,691,142333
943,3d947ae1,3f100000,bbe56042,3f30e560,3f30dc33,691,143500
944,3d94c448,3f100000,bbe56042,3f30e560,3f30e820,691,144667
945,3d950dae,3f100000,bbe56042,3f30e560,3f30f40e,691,144667
946,3d955715,3f100000,bbe56042,3f30e560,3f30fffb,691,143208
