sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,238174,238190,247442,9268,16,9252,45000,20000,20266,951,951,24734
2,338222,338239,345256,7034,17,7017,45000,20266,20543,992,992,24457
3,438266,438283,445289,7023,17,7006,45000,20543,20817,986,986,24183
4,538314,538330,545299,6985,16,6969,45000,20817,21088,979,979,23912
5,638358,638374,645292,6934,16,6918,45000,21088,21356,972,972,23644
6,738403,738420,745292,6889,17,6872,45000,21356,21620,965,965,23380
7,838448,838464,845287,6839,16,6823,45000,21620,21882,958,958,23118
8,938492,938509,945295,6803,17,6786,45000,21882,22141,951,951,22859
9,1038538,1038554,1045290,6752,16,6736,45000,22141,22397,944,944,22603
10,1138582,1138599,1145288,6706,17,6689,45000,22397,22649,937,937,22351
11,1238627,1238643,1245296,6669,16,6653,45000,22649,22899,931,931,22101
12,1338672,1338689,1345290,6618,17,6601,45000,22899,23147,924,924,21853
13,1438717,1438733,1445291,6574,16,6558,45000,23147,23391,917,917,21609
14,1538762,1538779,1545287,6525,17,6508,45000,23391,23632,911,911,21368
15,1638807,1638824,1645295,6488,17,6471,45000,23632,23871,905,905,21129
16,1738853,1738869,1745291,6438,16,6422,45000,23871,24107,898,898,20893
17,1838897,1838913,1845291,6394,16,6378,45000,24107,24340,892,892,20660
18,1938942,1938959,1945297,6355,17,6338,45000,24340,24571,886,886,20429
19,2038987,2039004,2045291,6304,17,6287,45000,24571,24799,879,879,20201
20,2139032,2139048,2145291,6259,16,6243,45000,24799,25024,873,873,19976
21,2239076,2239093,2245289,6213,17,6196,45000,25024,25247,867,867,19753
22,2339121,2339138,2345295,6174,17,6157,45000,25247,25467,861,861,19533
23,2439167,2439183,2445291,6124,16,6108,45000,25467,25685,856,856,19315
24,2539211,2539228,2545286,6075,17,6058,45000,25685,25900,850,850,19100
25,2639256,2639273,2645300,6044,17,6027,45000,25900,26113,844,844,18887
26,2739303,2739319,2745290,5987,16,5971,45000,26113,26323,838,838,18677
27,2839347,2839363,2845292,5945,16,5929,45000,26323,26531,833,833,18469
28,2939393,2939409,2945287,5894,16,5878,45000,26531,26736,827,827,18264
29,3039437,3039454,3045326,5889,17,5872,45000,26736,26940,822,822,18060
