workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,implementation,9ea3c593b,1,0,7619652,7771478,19311,,,
sequential,implementation,9ea3c593b,1,1,6587612,6965128,18916,,,
sequential,implementation,9ea3c593b,1,2,6904755,8456427,19259,,,
sequential,implementation,9ea3c593b,1,3,6345782,7822267,19451,,,
sequential,implementation,9ea3c593b,1,4,6620541,6271983,17395,,,
sequential,implementation,9ea3c593b,1,5,7373148,6540479,19067,,,
sequential,implementation,9ea3c593b,1,6,6444864,6465122,19238,,,
sequential,implementation,9ea3c593b,1,7,6639467,6469264,20073,,,
sequential,implementation,9ea3c593b,1,8,6445501,7489644,18852,,,
sequential,implementation,9ea3c593b,1,9,6940313,8798887,20377,,,
sequential,implementation,9ea3c593b,1,10,7292985,8748513,20567,,,
sequential,implementation,9ea3c593b,1,11,7380051,7659007,18012,,,
sequential,implementation,9ea3c593b,1,12,6793070,6878158,19129,,,
sequential,implementation,9ea3c593b,1,13,6765970,7122875,18970,,,
sequential,implementation,9ea3c593b,1,14,6342528,6150230,18242,,,
sequential,implementation,9ea3c593b,1,15,6415210,6487827,18754,,,
sequential,implementation,9ea3c593b,1,16,6419589,6024121,17848,,,
sequential,implementation,9ea3c593b,1,17,6346607,6015877,17774,,,
sequential,implementation,9ea3c593b,1,18,6310454,6242132,18402,,,
sequential,implementation,9ea3c593b,1,19,6345410,6032344,18152,,,
sequential,baseline,4cf9505a3,1,0,6393000,6073053,17879,,,
sequential,baseline,4cf9505a3,1,1,6358207,6283132,17511,,,
sequential,baseline,4cf9505a3,1,2,6661867,6188049,17790,,,
sequential,baseline,4cf9505a3,1,3,6312395,6269732,18754,,,
sequential,baseline,4cf9505a3,1,4,6315008,6014224,16769,,,
sequential,baseline,4cf9505a3,1,5,6410840,6092949,17699,,,
sequential,baseline,4cf9505a3,1,6,6498809,6111939,17818,,,
sequential,baseline,4cf9505a3,1,7,6308957,6652564,18724,,,
sequential,baseline,4cf9505a3,1,8,6408682,6046711,17622,,,
sequential,baseline,4cf9505a3,1,9,6441725,6095880,17774,,,
sequential,baseline,4cf9505a3,1,10,6711281,7107431,19164,,,
sequential,baseline,4cf9505a3,1,11,6545150,6082341,17196,,,
sequential,baseline,4cf9505a3,1,12,6334403,6003867,17738,,,
sequential,baseline,4cf9505a3,1,13,6317308,6047484,17365,,,
sequential,baseline,4cf9505a3,1,14,6712453,6895172,20582,,,
sequential,baseline,4cf9505a3,1,15,7064587,6918454,19099,,,
sequential,baseline,4cf9505a3,1,16,6966994,6968429,18944,,,
sequential,baseline,4cf9505a3,1,17,6873456,6470912,18140,,,
sequential,baseline,4cf9505a3,1,18,6429598,6843202,18841,,,
sequential,baseline,4cf9505a3,1,19,6287404,6025901,17662,,,
sync-cycle,implementation,9ea3c593b,1,0,,,,8424,274,5487
sync-cycle,implementation,9ea3c593b,1,1,,,,8358,232,6220
sync-cycle,implementation,9ea3c593b,1,2,,,,8372,194,5391
sync-cycle,implementation,9ea3c593b,1,3,,,,8198,280,5482
sync-cycle,implementation,9ea3c593b,1,4,,,,8131,275,5580
sync-cycle,implementation,9ea3c593b,1,5,,,,8175,250,5540
sync-cycle,implementation,9ea3c593b,1,6,,,,8126,228,5643
sync-cycle,implementation,9ea3c593b,1,7,,,,8259,252,5576
sync-cycle,implementation,9ea3c593b,1,8,,,,8204,279,5668
sync-cycle,implementation,9ea3c593b,1,9,,,,8318,282,5548
sync-cycle,implementation,9ea3c593b,1,10,,,,7786,219,5441
sync-cycle,implementation,9ea3c593b,1,11,,,,9323,211,6318
sync-cycle,implementation,9ea3c593b,1,12,,,,10150,201,6318
sync-cycle,implementation,9ea3c593b,1,13,,,,8416,232,5636
sync-cycle,implementation,9ea3c593b,1,14,,,,10339,332,6625
sync-cycle,implementation,9ea3c593b,1,15,,,,9572,311,6705
sync-cycle,implementation,9ea3c593b,1,16,,,,9753,240,6570
sync-cycle,implementation,9ea3c593b,1,17,,,,8710,306,6410
sync-cycle,implementation,9ea3c593b,1,18,,,,8665,289,5826
sync-cycle,implementation,9ea3c593b,1,19,,,,10786,270,6610
sync-cycle,baseline,4cf9505a3,1,0,,,,8885,291,5777
sync-cycle,baseline,4cf9505a3,1,1,,,,9298,245,6480
sync-cycle,baseline,4cf9505a3,1,2,,,,8552,213,6019
sync-cycle,baseline,4cf9505a3,1,3,,,,9522,186,6619
sync-cycle,baseline,4cf9505a3,1,4,,,,8853,204,6526
sync-cycle,baseline,4cf9505a3,1,5,,,,9599,266,5912
sync-cycle,baseline,4cf9505a3,1,6,,,,8870,232,6209
sync-cycle,baseline,4cf9505a3,1,7,,,,9288,243,6550
sync-cycle,baseline,4cf9505a3,1,8,,,,8790,259,5804
sync-cycle,baseline,4cf9505a3,1,9,,,,9125,243,6196
sync-cycle,baseline,4cf9505a3,1,10,,,,9903,275,7471
sync-cycle,baseline,4cf9505a3,1,11,,,,8562,281,6112
sync-cycle,baseline,4cf9505a3,1,12,,,,8448,248,5933
sync-cycle,baseline,4cf9505a3,1,13,,,,8265,222,5423
sync-cycle,baseline,4cf9505a3,1,14,,,,32702,263,7066
sync-cycle,baseline,4cf9505a3,1,15,,,,8710,288,5954
sync-cycle,baseline,4cf9505a3,1,16,,,,8248,290,5858
sync-cycle,baseline,4cf9505a3,1,17,,,,8296,222,5582
sync-cycle,baseline,4cf9505a3,1,18,,,,8295,277,5510
sync-cycle,baseline,4cf9505a3,1,19,,,,8174,231,5649
sequential,baseline,4cf9505a3,2,0,6337457,6209929,18042,,,
sequential,baseline,4cf9505a3,2,1,6409817,6205925,18507,,,
sequential,baseline,4cf9505a3,2,2,6606748,6470009,18133,,,
sequential,baseline,4cf9505a3,2,3,6508050,6396348,17920,,,
sequential,baseline,4cf9505a3,2,4,6624315,6301110,18270,,,
sequential,baseline,4cf9505a3,2,5,6572598,6227260,18085,,,
sequential,baseline,4cf9505a3,2,6,6604833,6008299,19254,,,
sequential,baseline,4cf9505a3,2,7,6583669,6223334,18319,,,
sequential,baseline,4cf9505a3,2,8,6476312,6019691,17859,,,
sequential,baseline,4cf9505a3,2,9,6580160,6001922,17118,,,
sequential,baseline,4cf9505a3,2,10,6582462,6038200,17351,,,
sequential,baseline,4cf9505a3,2,11,6403896,6234073,19525,,,
sequential,baseline,4cf9505a3,2,12,6325911,6378761,20043,,,
sequential,baseline,4cf9505a3,2,13,6367252,6087339,17963,,,
sequential,baseline,4cf9505a3,2,14,6463230,6432745,18202,,,
sequential,baseline,4cf9505a3,2,15,6389753,6289529,18676,,,
sequential,baseline,4cf9505a3,2,16,6515465,7594297,34893,,,
sequential,baseline,4cf9505a3,2,17,7031469,7330677,21045,,,
sequential,baseline,4cf9505a3,2,18,7012471,7124868,25099,,,
sequential,baseline,4cf9505a3,2,19,7144125,6715677,18880,,,
sequential,implementation,9ea3c593b,2,0,6371443,6013675,18346,,,
sequential,implementation,9ea3c593b,2,1,6304982,6261407,17898,,,
sequential,implementation,9ea3c593b,2,2,6340066,5988659,18193,,,
sequential,implementation,9ea3c593b,2,3,6332709,5991884,18526,,,
sequential,implementation,9ea3c593b,2,4,6320259,6188123,19028,,,
sequential,implementation,9ea3c593b,2,5,6310055,5965763,17133,,,
sequential,implementation,9ea3c593b,2,6,6369344,6125448,19168,,,
sequential,implementation,9ea3c593b,2,7,6346328,5987097,18039,,,
sequential,implementation,9ea3c593b,2,8,6381066,6202185,18812,,,
sequential,implementation,9ea3c593b,2,9,6852373,7170642,18422,,,
sequential,implementation,9ea3c593b,2,10,6532393,8550484,20638,,,
sequential,implementation,9ea3c593b,2,11,6498012,8434521,19284,,,
sequential,implementation,9ea3c593b,2,12,7024927,7332698,19328,,,
sequential,implementation,9ea3c593b,2,13,7279260,7485474,19923,,,
sequential,implementation,9ea3c593b,2,14,6554685,7481164,19650,,,
sequential,implementation,9ea3c593b,2,15,6761882,7754766,19259,,,
sequential,implementation,9ea3c593b,2,16,6852229,6760972,18449,,,
sequential,implementation,9ea3c593b,2,17,6450549,6407800,17076,,,
sequential,implementation,9ea3c593b,2,18,6603718,6489863,18641,,,
sequential,implementation,9ea3c593b,2,19,7107103,7510149,18839,,,
sync-cycle,baseline,4cf9505a3,2,0,,,,26019,293,6079
sync-cycle,baseline,4cf9505a3,2,1,,,,8921,262,6099
sync-cycle,baseline,4cf9505a3,2,2,,,,10609,274,7477
sync-cycle,baseline,4cf9505a3,2,3,,,,8991,190,5700
sync-cycle,baseline,4cf9505a3,2,4,,,,9197,256,5956
sync-cycle,baseline,4cf9505a3,2,5,,,,8614,208,5603
sync-cycle,baseline,4cf9505a3,2,6,,,,7962,179,5418
sync-cycle,baseline,4cf9505a3,2,7,,,,8471,219,5621
sync-cycle,baseline,4cf9505a3,2,8,,,,7707,221,5320
sync-cycle,baseline,4cf9505a3,2,9,,,,8646,231,5847
sync-cycle,baseline,4cf9505a3,2,10,,,,7881,211,5175
sync-cycle,baseline,4cf9505a3,2,11,,,,7534,183,5330
sync-cycle,baseline,4cf9505a3,2,12,,,,7465,212,5394
sync-cycle,baseline,4cf9505a3,2,13,,,,8317,227,5831
sync-cycle,baseline,4cf9505a3,2,14,,,,8358,232,5418
sync-cycle,baseline,4cf9505a3,2,15,,,,8900,265,5733
sync-cycle,baseline,4cf9505a3,2,16,,,,7558,207,5107
sync-cycle,baseline,4cf9505a3,2,17,,,,8246,244,5823
sync-cycle,baseline,4cf9505a3,2,18,,,,7439,253,5298
sync-cycle,baseline,4cf9505a3,2,19,,,,7983,194,5377
sync-cycle,implementation,9ea3c593b,2,0,,,,7768,203,5240
sync-cycle,implementation,9ea3c593b,2,1,,,,7942,232,5253
sync-cycle,implementation,9ea3c593b,2,2,,,,8128,229,5631
sync-cycle,implementation,9ea3c593b,2,3,,,,8462,231,5672
sync-cycle,implementation,9ea3c593b,2,4,,,,7904,217,5533
sync-cycle,implementation,9ea3c593b,2,5,,,,8266,210,5305
sync-cycle,implementation,9ea3c593b,2,6,,,,7469,224,5654
sync-cycle,implementation,9ea3c593b,2,7,,,,8125,221,5420
sync-cycle,implementation,9ea3c593b,2,8,,,,8054,187,5589
sync-cycle,implementation,9ea3c593b,2,9,,,,7520,183,5211
sync-cycle,implementation,9ea3c593b,2,10,,,,7595,175,5090
sync-cycle,implementation,9ea3c593b,2,11,,,,8704,214,5634
sync-cycle,implementation,9ea3c593b,2,12,,,,7962,217,5711
sync-cycle,implementation,9ea3c593b,2,13,,,,8451,200,5838
sync-cycle,implementation,9ea3c593b,2,14,,,,7378,213,5504
sync-cycle,implementation,9ea3c593b,2,15,,,,8282,207,5682
sync-cycle,implementation,9ea3c593b,2,16,,,,7614,202,5541
sync-cycle,implementation,9ea3c593b,2,17,,,,7556,185,5246
sync-cycle,implementation,9ea3c593b,2,18,,,,9741,208,6851
sync-cycle,implementation,9ea3c593b,2,19,,,,9391,204,5604
sequential,implementation,9ea3c593b,3,0,6392200,6137044,18658,,,
sequential,implementation,9ea3c593b,3,1,6444180,6020973,18753,,,
sequential,implementation,9ea3c593b,3,2,6532204,6426017,18553,,,
sequential,implementation,9ea3c593b,3,3,6449938,6315236,19837,,,
sequential,implementation,9ea3c593b,3,4,6979550,7087655,20909,,,
sequential,implementation,9ea3c593b,3,5,6852991,7994790,20171,,,
sequential,implementation,9ea3c593b,3,6,6931632,7558851,20040,,,
sequential,implementation,9ea3c593b,3,7,6850755,8635010,18917,,,
sequential,implementation,9ea3c593b,3,8,6458104,6792188,19120,,,
sequential,implementation,9ea3c593b,3,9,6381850,6633195,19447,,,
sequential,implementation,9ea3c593b,3,10,6472440,6863683,19360,,,
sequential,implementation,9ea3c593b,3,11,6388184,7015544,18934,,,
sequential,implementation,9ea3c593b,3,12,6368857,7417974,18610,,,
sequential,implementation,9ea3c593b,3,13,6651605,6866357,19810,,,
sequential,implementation,9ea3c593b,3,14,6532473,6730603,19381,,,
sequential,implementation,9ea3c593b,3,15,6689478,6897597,19641,,,
sequential,implementation,9ea3c593b,3,16,6386111,7330027,18694,,,
sequential,implementation,9ea3c593b,3,17,6535078,6952985,18467,,,
sequential,implementation,9ea3c593b,3,18,6599701,6488799,34993,,,
sequential,implementation,9ea3c593b,3,19,6424725,6883804,17842,,,
sequential,baseline,4cf9505a3,3,0,6906299,6714818,18321,,,
sequential,baseline,4cf9505a3,3,1,6697553,7828987,19076,,,
sequential,baseline,4cf9505a3,3,2,6776887,6900174,18945,,,
sequential,baseline,4cf9505a3,3,3,6298281,6004632,18604,,,
sequential,baseline,4cf9505a3,3,4,6311521,5967881,17209,,,
sequential,baseline,4cf9505a3,3,5,6302203,5951519,17221,,,
sequential,baseline,4cf9505a3,3,6,6306284,5957529,17940,,,
sequential,baseline,4cf9505a3,3,7,6306845,6245097,17679,,,
sequential,baseline,4cf9505a3,3,8,6388668,6184606,18571,,,
sequential,baseline,4cf9505a3,3,9,6295126,6181621,18092,,,
sequential,baseline,4cf9505a3,3,10,6310745,6016062,17620,,,
sequential,baseline,4cf9505a3,3,11,6379716,6129204,17768,,,
sequential,baseline,4cf9505a3,3,12,6351185,6571020,17848,,,
sequential,baseline,4cf9505a3,3,13,6438869,6020822,18828,,,
sequential,baseline,4cf9505a3,3,14,6350742,6047188,18332,,,
sequential,baseline,4cf9505a3,3,15,6300271,6306381,18611,,,
sequential,baseline,4cf9505a3,3,16,6307142,6151244,17440,,,
sequential,baseline,4cf9505a3,3,17,6408041,6270823,18103,,,
sequential,baseline,4cf9505a3,3,18,6332521,6160990,18004,,,
sequential,baseline,4cf9505a3,3,19,6409060,6204256,19871,,,
sync-cycle,implementation,9ea3c593b,3,0,,,,7722,177,5175
sync-cycle,implementation,9ea3c593b,3,1,,,,8263,205,5486
sync-cycle,implementation,9ea3c593b,3,2,,,,7648,175,5419
sync-cycle,implementation,9ea3c593b,3,3,,,,7527,180,5517
sync-cycle,implementation,9ea3c593b,3,4,,,,8962,200,6412
sync-cycle,implementation,9ea3c593b,3,5,,,,7722,224,5245
sync-cycle,implementation,9ea3c593b,3,6,,,,9473,248,6385
sync-cycle,implementation,9ea3c593b,3,7,,,,10849,245,5773
sync-cycle,implementation,9ea3c593b,3,8,,,,9147,227,5856
sync-cycle,implementation,9ea3c593b,3,9,,,,15182,676,12774
sync-cycle,implementation,9ea3c593b,3,10,,,,12173,226,7367
sync-cycle,implementation,9ea3c593b,3,11,,,,10114,202,7157
sync-cycle,implementation,9ea3c593b,3,12,,,,16473,307,8481
sync-cycle,implementation,9ea3c593b,3,13,,,,12044,259,7907
sync-cycle,implementation,9ea3c593b,3,14,,,,10057,205,6295
sync-cycle,implementation,9ea3c593b,3,15,,,,12122,225,7760
sync-cycle,implementation,9ea3c593b,3,16,,,,11321,212,7808
sync-cycle,implementation,9ea3c593b,3,17,,,,8603,196,6054
sync-cycle,implementation,9ea3c593b,3,18,,,,10484,267,6593
sync-cycle,implementation,9ea3c593b,3,19,,,,8183,195,5460
sync-cycle,baseline,4cf9505a3,3,0,,,,9908,248,5613
sync-cycle,baseline,4cf9505a3,3,1,,,,8141,220,5678
sync-cycle,baseline,4cf9505a3,3,2,,,,7960,236,5726
sync-cycle,baseline,4cf9505a3,3,3,,,,7487,189,5539
sync-cycle,baseline,4cf9505a3,3,4,,,,7788,248,5617
sync-cycle,baseline,4cf9505a3,3,5,,,,8580,230,5509
sync-cycle,baseline,4cf9505a3,3,6,,,,7440,183,5310
sync-cycle,baseline,4cf9505a3,3,7,,,,7235,215,5418
sync-cycle,baseline,4cf9505a3,3,8,,,,7332,224,5129
sync-cycle,baseline,4cf9505a3,3,9,,,,8340,266,5832
sync-cycle,baseline,4cf9505a3,3,10,,,,7816,215,5292
sync-cycle,baseline,4cf9505a3,3,11,,,,8473,205,5869
sync-cycle,baseline,4cf9505a3,3,12,,,,8109,209,5723
sync-cycle,baseline,4cf9505a3,3,13,,,,8555,249,5565
sync-cycle,baseline,4cf9505a3,3,14,,,,8287,230,5453
sync-cycle,baseline,4cf9505a3,3,15,,,,8831,214,5557
sync-cycle,baseline,4cf9505a3,3,16,,,,7688,224,5027
sync-cycle,baseline,4cf9505a3,3,17,,,,8141,194,5543
sync-cycle,baseline,4cf9505a3,3,18,,,,7898,194,5196
sync-cycle,baseline,4cf9505a3,3,19,,,,7473,198,5619
sequential,baseline,4cf9505a3,4,0,6571213,6071340,17415,,,
sequential,baseline,4cf9505a3,4,1,6270521,6223217,17533,,,
sequential,baseline,4cf9505a3,4,2,6278561,6610419,18353,,,
sequential,baseline,4cf9505a3,4,3,6740058,6885472,18780,,,
sequential,baseline,4cf9505a3,4,4,6952968,6730959,17703,,,
sequential,baseline,4cf9505a3,4,5,6921436,7037878,20811,,,
sequential,baseline,4cf9505a3,4,6,6698927,6049566,17847,,,
sequential,baseline,4cf9505a3,4,7,6366826,5997925,17308,,,
sequential,baseline,4cf9505a3,4,8,6339224,6021909,18095,,,
sequential,baseline,4cf9505a3,4,9,6325175,6012748,17199,,,
sequential,baseline,4cf9505a3,4,10,6335335,6199914,16751,,,
sequential,baseline,4cf9505a3,4,11,6346588,6128225,17365,,,
sequential,baseline,4cf9505a3,4,12,6358732,6029377,18270,,,
sequential,baseline,4cf9505a3,4,13,6622568,6167411,19561,,,
sequential,baseline,4cf9505a3,4,14,6497734,5966388,17231,,,
sequential,baseline,4cf9505a3,4,15,6304098,5968275,17078,,,
sequential,baseline,4cf9505a3,4,16,6243402,6087700,17622,,,
