workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,implementation,b80dd453f,1,4,6807442,7023603,19668,,,
sequential,implementation,b80dd453f,1,5,6782272,6876176,18281,,,
sequential,implementation,b80dd453f,1,6,6508687,6347436,20092,,,
sequential,implementation,b80dd453f,1,7,6748191,6915632,19167,,,
sequential,implementation,b80dd453f,1,8,6385262,6081884,18185,,,
sequential,implementation,b80dd453f,1,9,7120949,6581388,17788,,,
sequential,implementation,b80dd453f,1,10,6701150,6182883,20146,,,
sequential,implementation,b80dd453f,1,11,6316482,6119920,18609,,,
sequential,implementation,b80dd453f,1,12,6314863,6020636,18304,,,
sequential,implementation,b80dd453f,1,13,6308389,6021088,17938,,,
sequential,implementation,b80dd453f,1,14,6313617,5995763,17748,,,
sequential,implementation,b80dd453f,1,15,6318439,6094738,18594,,,
sequential,implementation,b80dd453f,1,16,6263774,6107742,17479,,,
sequential,implementation,b80dd453f,1,17,6212611,6384004,18805,,,
sequential,implementation,b80dd453f,1,18,6476697,6499342,18825,,,
sequential,implementation,b80dd453f,1,19,6673097,6649187,18398,,,
sequential,baseline,3acc11385,1,0,6310499,6010366,17899,,,
sequential,baseline,3acc11385,1,1,6410550,6223049,18593,,,
sequential,baseline,3acc11385,1,2,6315707,5996144,17814,,,
sequential,baseline,3acc11385,1,3,6225556,6074820,18147,,,
sequential,baseline,3acc11385,1,4,6214519,6503158,18807,,,
sequential,baseline,3acc11385,1,5,6218473,7619363,19988,,,
sequential,baseline,3acc11385,1,6,6998338,7055932,21347,,,
sequential,baseline,3acc11385,1,7,7071716,6986363,18945,,,
sequential,baseline,3acc11385,1,8,6934381,7628531,19032,,,
sequential,baseline,3acc11385,1,9,6771912,6143246,17777,,,
sequential,baseline,3acc11385,1,10,6302055,6000509,18858,,,
sequential,baseline,3acc11385,1,11,6448635,6026618,18241,,,
sequential,baseline,3acc11385,1,12,6450305,6022416,18327,,,
sequential,baseline,3acc11385,1,13,6748767,6018496,17295,,,
sequential,baseline,3acc11385,1,14,6314017,6028200,18029,,,
sequential,baseline,3acc11385,1,15,6313068,6259578,18478,,,
sequential,baseline,3acc11385,1,16,6400106,6082041,18103,,,
sequential,baseline,3acc11385,1,17,6550689,6579200,18937,,,
sequential,baseline,3acc11385,1,18,6405308,6036527,19083,,,
sequential,baseline,3acc11385,1,19,6378283,6138601,18333,,,
sync-cycle,implementation,b80dd453f,1,0,,,,7977,178,5465
sync-cycle,implementation,b80dd453f,1,1,,,,8335,243,5638
sync-cycle,implementation,b80dd453f,1,2,,,,8498,233,5392
sync-cycle,implementation,b80dd453f,1,3,,,,8264,244,5294
