workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,e5f6e295a,4,0,6323093,6223775,19037,,,
sequential,baseline,e5f6e295a,4,1,6353710,6311349,19011,,,
sequential,baseline,e5f6e295a,4,2,6310687,6226914,17554,,,
sequential,baseline,e5f6e295a,4,3,6311232,6535245,20225,,,
sequential,baseline,e5f6e295a,4,4,6306407,6797985,17882,,,
sequential,baseline,e5f6e295a,4,5,6317620,6818754,19156,,,
sequential,baseline,e5f6e295a,4,6,6400717,6813909,20419,,,
sequential,baseline,e5f6e295a,4,7,6348591,7327026,18869,,,
sequential,baseline,e5f6e295a,4,8,6405383,6575718,19176,,,
sequential,baseline,e5f6e295a,4,9,6372872,6714190,17945,,,
sequential,baseline,e5f6e295a,4,10,6416770,6180529,18417,,,
sequential,baseline,e5f6e295a,4,11,6312720,6233605,17709,,,
sequential,baseline,e5f6e295a,4,12,6313995,6506179,19397,,,
sequential,baseline,e5f6e295a,4,13,6504097,6842891,17893,,,
sequential,baseline,e5f6e295a,4,14,6323631,6765588,17937,,,
sequential,baseline,e5f6e295a,4,15,6341857,6243262,18731,,,
sequential,baseline,e5f6e295a,4,16,6354204,6375697,17916,,,
sequential,baseline,e5f6e295a,4,17,6370493,6271427,19025,,,
sequential,baseline,e5f6e295a,4,18,7132721,7610635,19759,,,
sequential,baseline,e5f6e295a,4,19,8546556,9721469,27513,,,
sequential,baseline,e5f6e295a,5,0,6371019,6254836,16896,,,
sequential,baseline,e5f6e295a,5,1,6360755,6260184,17267,,,
sequential,baseline,e5f6e295a,5,2,6365901,6622119,19231,,,
sequential,baseline,e5f6e295a,5,3,6437003,6319067,19028,,,
sequential,baseline,e5f6e295a,5,4,6335646,6279715,16950,,,
sequential,baseline,e5f6e295a,5,5,6453152,6308755,18480,,,
sequential,baseline,e5f6e295a,5,6,6426822,6443656,16901,,,
sequential,baseline,e5f6e295a,5,7,6210473,6490800,17688,,,
sequential,baseline,e5f6e295a,5,8,6563105,7111309,17008,,,
sequential,baseline,e5f6e295a,5,9,6349204,6873459,17976,,,
sequential,baseline,e5f6e295a,5,10,6936019,7574147,18040,,,
sequential,baseline,e5f6e295a,5,11,6601923,6658180,18472,,,
sequential,baseline,e5f6e295a,5,12,6346943,6246042,18203,,,
sequential,baseline,e5f6e295a,5,13,6404544,6348552,18849,,,
sequential,baseline,e5f6e295a,5,14,6361015,6415974,20410,,,
sequential,baseline,e5f6e295a,5,15,6377065,6151278,18428,,,
sequential,baseline,e5f6e295a,5,16,6737691,8145811,18549,,,
sequential,baseline,e5f6e295a,5,17,7045947,8223696,19502,,,
sequential,baseline,e5f6e295a,5,18,7260950,7519508,19361,,,
sequential,baseline,e5f6e295a,5,19,6994720,6810835,18800,,,
sequential,baseline,e5f6e295a,6,0,6363863,6383699,18549,,,
sequential,baseline,e5f6e295a,6,1,6370236,6261276,17550,,,
sequential,baseline,e5f6e295a,6,2,6397541,6379600,21659,,,
sequential,baseline,e5f6e295a,6,3,6319419,6598289,17502,,,
sequential,baseline,e5f6e295a,6,4,6299286,6339857,17282,,,
sequential,baseline,e5f6e295a,6,5,6429168,6351562,18739,,,
sequential,baseline,e5f6e295a,6,6,6292050,6862338,18744,,,
sequential,baseline,e5f6e295a,6,7,6293586,6886367,18264,,,
sequential,baseline,e5f6e295a,6,8,7319836,7549348,17972,,,
sequential,baseline,e5f6e295a,6,9,6455767,6299908,18125,,,
sequential,baseline,e5f6e295a,6,10,6359487,6302723,18016,,,
sequential,baseline,e5f6e295a,6,11,6295276,6514525,19050,,,
sequential,baseline,e5f6e295a,6,12,6299282,6463164,18411,,,
sequential,baseline,e5f6e295a,6,13,6292368,6794153,17503,,,
sequential,baseline,e5f6e295a,6,14,6293267,7133589,18478,,,
sequential,baseline,e5f6e295a,6,15,6416829,6886512,17739,,,
sequential,baseline,e5f6e295a,6,16,6433758,6472402,19164,,,
sequential,baseline,e5f6e295a,6,17,6413302,6598070,18820,,,
