workload,variant,commit,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,implementation,e05159fa1,38,6964578,7198237,20115,,,
sequential,implementation,e05159fa1,39,7007513,6757534,18742,,,
sequential,implementation,e05159fa1,40,6776069,6371810,19503,,,
sequential,implementation,e05159fa1,41,6303390,6006869,18372,,,
sequential,implementation,e05159fa1,42,6320297,5936207,17582,,,
sequential,implementation,e05159fa1,43,6305783,5883173,16954,,,
sequential,implementation,e05159fa1,44,6318408,5925498,17762,,,
sequential,implementation,e05159fa1,45,6310073,5954916,18341,,,
sequential,implementation,e05159fa1,46,6329781,5978056,17600,,,
sequential,implementation,e05159fa1,47,6302478,5975915,17455,,,
sequential,implementation,e05159fa1,48,6316716,5868026,17471,,,
sequential,implementation,e05159fa1,49,6304868,5935142,18452,,,
sync-cycle,baseline,4d1f03698,0,,,,8305,210,5366
sync-cycle,baseline,4d1f03698,1,,,,7514,236,5129
sync-cycle,baseline,4d1f03698,2,,,,9545,290,6343
sync-cycle,baseline,4d1f03698,3,,,,8979,237,5731
sync-cycle,baseline,4d1f03698,4,,,,8720,231,5457
sync-cycle,baseline,4d1f03698,5,,,,12509,437,9268
sync-cycle,baseline,4d1f03698,6,,,,8782,258,6068
sync-cycle,baseline,4d1f03698,7,,,,8554,282,5689
sync-cycle,baseline,4d1f03698,8,,,,7918,216,5235
sync-cycle,baseline,4d1f03698,9,,,,7793,251,5296
sync-cycle,baseline,4d1f03698,10,,,,8636,214,5220
sync-cycle,baseline,4d1f03698,11,,,,7905,217,5266
sync-cycle,baseline,4d1f03698,12,,,,8533,225,5375
sync-cycle,baseline,4d1f03698,13,,,,8257,237,5438
sync-cycle,baseline,4d1f03698,14,,,,8488,233,5412
sync-cycle,baseline,4d1f03698,15,,,,8616,237,5415
sync-cycle,baseline,4d1f03698,16,,,,7592,198,4936
sync-cycle,baseline,4d1f03698,17,,,,7666,239,5155
sync-cycle,baseline,4d1f03698,18,,,,7631,235,5206
sync-cycle,baseline,4d1f03698,19,,,,8003,240,5376
sync-cycle,baseline,4d1f03698,20,,,,8065,214,5117
sync-cycle,baseline,4d1f03698,21,,,,7493,221,5149
sync-cycle,baseline,4d1f03698,22,,,,7530,230,5473
sync-cycle,baseline,4d1f03698,23,,,,7983,216,4830
sync-cycle,baseline,4d1f03698,24,,,,8288,175,5225
sync-cycle,baseline,4d1f03698,25,,,,7586,219,5193
sync-cycle,baseline,4d1f03698,26,,,,7612,195,5412
sync-cycle,baseline,4d1f03698,27,,,,7445,233,5075
sync-cycle,baseline,4d1f03698,28,,,,7480,190,5301
sync-cycle,baseline,4d1f03698,29,,,,7644,189,4907
sync-cycle,baseline,4d1f03698,30,,,,8247,204,5200
sync-cycle,baseline,4d1f03698,31,,,,7679,212,5177
sync-cycle,baseline,4d1f03698,32,,,,9161,271,23939
sync-cycle,baseline,4d1f03698,33,,,,8346,221,5275
sync-cycle,baseline,4d1f03698,34,,,,8201,227,5666
sync-cycle,baseline,4d1f03698,35,,,,8530,234,5391
sync-cycle,baseline,4d1f03698,36,,,,7748,202,4922
sync-cycle,baseline,4d1f03698,37,,,,7684,191,5249
sync-cycle,baseline,4d1f03698,38,,,,7514,199,5026
sync-cycle,baseline,4d1f03698,39,,,,7390,240,5452
sync-cycle,baseline,4d1f03698,40,,,,11935,241,6822
sync-cycle,baseline,4d1f03698,41,,,,11597,349,7776
sync-cycle,baseline,4d1f03698,42,,,,24367,254,5264
sync-cycle,baseline,4d1f03698,43,,,,8880,239,6573
sync-cycle,baseline,4d1f03698,44,,,,13104,293,7946
