commit,batch,position,run,dirty_sync_ns,clean_sync_ns,unmount_ns
a91e89cd8,3,1,3,13313,256,7999
a91e89cd8,3,1,4,12367,192,8677
a91e89cd8,3,1,5,13450,220,8551
a91e89cd8,3,1,6,27394,273,25361
a91e89cd8,3,1,7,14822,250,11217
a91e89cd8,3,1,8,11874,18327,8903
a91e89cd8,3,1,9,13480,283,8877
a91e89cd8,3,1,10,30261,260,8801
a91e89cd8,3,1,11,13342,277,9291
a91e89cd8,3,1,12,10995,213,8391
a91e89cd8,3,1,13,12284,200,7916
a91e89cd8,3,1,14,11079,201,7639
a91e89cd8,3,1,15,11803,235,7423
a91e89cd8,3,1,16,11144,219,6915
a91e89cd8,3,1,17,9753,192,7679
a91e89cd8,3,1,18,11898,229,8093
a91e89cd8,3,1,19,10728,201,7519
a91e89cd8,4,0,0,9795,232,6912
a91e89cd8,4,0,1,8519,179,5963
a91e89cd8,4,0,2,10955,188,7191
a91e89cd8,4,0,3,11004,238,7423
a91e89cd8,4,0,4,11921,204,7894
a91e89cd8,4,0,5,10165,167,7339
a91e89cd8,4,0,6,9672,209,7104
a91e89cd8,4,0,7,9640,221,6913
a91e89cd8,4,0,8,11293,196,7909
a91e89cd8,4,0,9,12152,222,8662
a91e89cd8,4,0,10,12239,266,8348
a91e89cd8,4,0,11,12279,284,8614
a91e89cd8,4,0,12,13043,296,8410
a91e89cd8,4,0,13,10340,213,7369
a91e89cd8,4,0,14,16529,279,27109
a91e89cd8,4,0,15,11121,225,7461
a91e89cd8,4,0,16,9788,169,6680
a91e89cd8,4,0,17,11168,235,7858
a91e89cd8,4,0,18,10672,222,7129
a91e89cd8,4,0,19,10091,244,6658
aaf882ecf,4,1,0,10163,214,7263
aaf882ecf,4,1,1,9373,201,6471
aaf882ecf,4,1,2,9854,212,6705
aaf882ecf,4,1,3,11803,210,7370
aaf882ecf,4,1,4,12967,278,7591
aaf882ecf,4,1,5,12787,226,7230
aaf882ecf,4,1,6,13460,208,29208
aaf882ecf,4,1,7,13597,226,8471
aaf882ecf,4,1,8,13358,282,8250
aaf882ecf,4,1,9,11346,195,8145
aaf882ecf,4,1,10,14256,218,9130
aaf882ecf,4,1,11,13688,223,8388
aaf882ecf,4,1,12,14080,192,9867
aaf882ecf,4,1,13,12767,245,8370
aaf882ecf,4,1,14,14837,280,8857
aaf882ecf,4,1,15,14101,276,9205
aaf882ecf,4,1,16,12613,205,7607
aaf882ecf,4,1,17,12828,203,8522
aaf882ecf,4,1,18,12407,190,8453
aaf882ecf,4,1,19,12384,209,8134
aaf882ecf,5,0,0,12145,208,8734
aaf882ecf,5,0,1,12556,180,8223
aaf882ecf,5,0,2,12768,152,7834
aaf882ecf,5,0,3,11534,222,8183
aaf882ecf,5,0,4,13610,221,9233
aaf882ecf,5,0,5,13213,230,8455
aaf882ecf,5,0,6,13191,228,9132
aaf882ecf,5,0,7,12356,181,8431
aaf882ecf,5,0,8,13964,324,9691
aaf882ecf,5,0,9,15016,257,8989
aaf882ecf,5,0,10,13722,240,8129
aaf882ecf,5,0,11,12542,215,8156
aaf882ecf,5,0,12,12195,451,8361
aaf882ecf,5,0,13,12946,234,8370
aaf882ecf,5,0,14,13350,695,9706
aaf882ecf,5,0,15,13679,205,8470
aaf882ecf,5,0,16,13624,265,24736
aaf882ecf,5,0,17,13626,308,8605
aaf882ecf,5,0,18,14600,236,9279
aaf882ecf,5,0,19,14239,223,8302
a91e89cd8,5,1,0,13426,210,9514
a91e89cd8,5,1,1,13240,263,7971
a91e89cd8,5,1,2,14479,213,8463
a91e89cd8,5,1,3,13265,228,8134
a91e89cd8,5,1,4,12144,235,8197
a91e89cd8,5,1,5,16407,498,10531
a91e89cd8,5,1,6,16291,500,10727
a91e89cd8,5,1,7,16632,506,11605
a91e89cd8,5,1,8,17384,448,11491
a91e89cd8,5,1,9,16790,448,11177
a91e89cd8,5,1,10,36836,573,12424
a91e89cd8,5,1,11,17186,512,12110
a91e89cd8,5,1,12,16763,455,11403
a91e89cd8,5,1,13,18735,474,12377
a91e89cd8,5,1,14,16674,434,11065
a91e89cd8,5,1,15,17779,532,12432
a91e89cd8,5,1,16,16969,463,12050
a91e89cd8,5,1,17,16952,516,12614
a91e89cd8,5,1,18,18258,513,12936
a91e89cd8,5,1,19,17723,482,12029
