sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,1609,19601,145038,143429,17992,125437,45000,20000,20266,951,951,24734
2,145604,145863,151978,6374,259,6115,45000,20266,20543,992,992,24457
3,245667,245882,252027,6360,215,6145,45000,20543,20817,986,986,24183
4,345745,345953,352027,6282,208,6074,45000,20817,21088,979,979,23912
5,445800,446008,452019,6219,208,6011,45000,21088,21356,972,972,23644
6,545853,546058,552027,6174,205,5969,45000,21356,21620,965,965,23380
7,645907,646111,652029,6122,204,5918,45000,21620,21882,958,958,23118
8,745961,746165,752024,6063,204,5859,45000,21882,22141,951,951,22859
9,846014,846220,852019,6005,206,5799,45000,22141,22397,944,944,22603
10,946068,946271,952023,5955,203,5752,45000,22397,22649,937,937,22351
11,1046123,1046326,1052025,5902,203,5699,45000,22649,22899,931,931,22101
12,1146176,1146378,1152030,5854,202,5652,45000,22899,23147,924,924,21853
13,1246231,1246433,1252019,5788,202,5586,45000,23147,23391,917,917,21609
14,1346284,1346486,1352027,5743,202,5541,45000,23391,23632,911,911,21368
15,1446338,1446541,1452020,5682,203,5479,45000,23632,23871,905,905,21129
16,1546391,1546594,1552018,5627,203,5424,45000,23871,24107,898,898,20893
17,1646445,1646650,1652033,5588,205,5383,45000,24107,24340,892,892,20660
18,1746500,1746701,1752024,5524,201,5323,45000,24340,24571,886,886,20429
19,1846554,1846756,1852015,5461,202,5259,45000,24571,24799,879,879,20201
20,1946607,1946810,1952015,5408,203,5205,45000,24799,25024,873,873,19976
21,2046662,2046863,2052037,5375,201,5174,45000,25024,25247,867,867,19753
22,2146716,2146918,2152025,5309,202,5107,45000,25247,25467,861,861,19533
23,2246770,2246973,2252026,5256,203,5053,45000,25467,25685,856,856,19315
24,2346824,2347027,2352027,5203,203,5000,45000,25685,25900,850,850,19100
25,2446878,2447081,2452023,5145,203,4942,45000,25900,26113,844,844,18887
26,2546932,2547134,2552032,5100,202,4898,45000,26113,26323,838,838,18677
27,2646986,2647187,2652020,5034,201,4833,45000,26323,26531,833,833,18469
28,2747040,2747241,2752030,4990,201,4789,45000,26531,26736,827,827,18264
29,2847094,2847296,2852027,4933,202,4731,45000,26736,26940,822,822,18060
30,2947148,2947350,2952019,4871,202,4669,45000,26940,27140,816,816,17860
31,3047202,3047405,3052014,4812,203,4609,45000,27140,27339,811,811,17661
32,3147255,3147458,3152072,4817,203,4614,45000,27339,27535,806,806,17465
33,3247310,3247514,3252060,4750,204,4546,45000,27535,27729,801,801,17271
34,3347363,3347565,3352058,4695,202,4493,45000,27729,27921,795,795,17079
35,3447417,3447619,3452026,4609,202,4407,45000,27921,28110,790,790,16890
36,3547471,3547674,3552016,4545,203,4342,45000,28110,28298,785,785,16702
37,3647525,3647726,3652007,4482,201,4281,45000,28298,28483,780,780,16517
38,3747580,3747782,3752027,4447,202,4245,45000,28483,28666,775,775,16334
39,3847634,3847838,3852029,4395,204,4191,45000,28666,28847,770,770,16153
40,3947689,3947892,3952015,4326,203,4123,45000,28847,29026,766,766,15974
41,4047742,4047955,4052020,4278,213,4065,45000,29026,29203,761,761,15797
42,4147796,4148029,4152031,4235,233,4002,45000,29203,29378,756,756,15622
43,4247851,4248083,4252020,4169,232,3937,45000,29378,29551,752,752,15449
44,4347904,4348133,4352012,4108,229,3879,45000,29551,29722,747,747,15278
45,4447958,4448183,4452027,4069,225,3844,45000,29722,29891,742,742,15109
46,4548026,4548227,4552030,4004,201,3803,45000,29891,30058,738,738,14942
47,4648078,4648280,4652017,3939,202,3737,45000,30058,30223,733,733,14777
48,4748131,4748334,4752022,3891,203,3688,45000,30223,30386,729,729,14614
49,4848184,4848386,4852025,3841,202,3639,45000,30386,30548,725,725,14452
50,4948236,4948437,4952017,3781,201,3580,45000,30548,30707,720,720,14293
51,5048288,5048490,5052012,3724,202,3522,45000,30707,30865,716,716,14135
52,5148341,5148544,5152034,3693,203,3490,45000,30865,31021,712,712,13979
53,5248394,5248596,5252022,3628,202,3426,45000,31021,31175,708,708,13825
54,5348446,5348649,5352009,3563,203,3360,45000,31175,31327,704,704,13673
55,5448499,5448701,5452025,3526,202,3324,45000,31327,31478,700,700,13522
56,5548552,5548754,5552032,3480,202,3278,45000,31478,31627,696,696,13373
57,5648605,5648807,5652019,3414,202,3212,45000,31627,31774,692,692,13226
58,5748657,5748859,5752014,3357,202,3155,45000,31774,31920,688,688,13080
59,5848709,5848912,5852037,3328,203,3125,45000,31920,32063,684,684,12937
60,5948762,5948964,5952027,3265,202,3063,45000,32063,32206,680,680,12794
61,6048814,6049017,6052030,3216,203,3013,45000,32206,32346,676,676,12654
62,6148867,6149069,6152019,3152,202,2950,45000,32346,32485,673,673,12515
63,6248920,6249121,6252033,3113,201,2912,45000,32485,32622,669,669,12378
64,6348973,6349175,6352207,3234,202,3032,45000,32622,32758,665,665,12242
65,6449025,6449230,6452285,3260,205,3055,45000,32758,32893,662,662,12107
66,6549077,6549278,6552335,3258,201,3057,45000,32893,33025,658,658,11975
67,6649131,6649333,6652401,3270,202,3068,45000,33025,33156,655,655,11844
68,6749204,6749404,6752467,3263,200,3063,45000,33156,33286,651,651,11714
69,6849277,6849479,6852544,3267,202,3065,45000,33286,33414,648,648,11586
70,6949366,6949569,6952611,3245,203,3042,45000,33414,33541,644,644,11459
71,7049439,7049641,7052678,3239,202,3037,45000,33541,33666,641,641,11334
72,7149513,7149715,7152767,3254,202,3052,45000,33666,33790,638,638,11210
73,7249602,7249805,7252833,3231,203,3028,45000,33790,33913,634,634,11087
74,7349676,7349877,7352898,3222,201,3021,45000,33913,34034,631,631,10966
75,7449747,7449949,7452963,3216,202,3014,45000,34034,34153,628,628,10847
76,7549820,7550024,7552974,3154,204,2950,45000,34153,34272,625,625,10728
77,7649872,7650073,7652976,3104,201,2903,45000,34272,34389,621,621,10611
78,7749924,7750126,7751979,2055,202,1853,45000,34389,34504,618,618,10496
79,7849976,7850177,7862036,12060,201,11859,45000,34504,34618,615,615,10382
80,7950029,7950232,7962050,12021,203,11818,45000,34618,34731,612,612,10269
81,8050083,8050286,8062033,11950,203,11747,45000,34731,34843,609,609,10157
82,8150136,8150364,8162041,11905,228,11677,45000,34843,34953,606,606,10047
83,8250189,8250419,8262042,11853,230,11623,45000,34953,35062,603,603,9938
84,8350243,8350465,8362044,11801,222,11579,45000,35062,35170,600,600,9830
85,8450310,8450515,8462040,11730,205,11525,45000,35170,35276,597,597,9724
86,8550348,8550550,8562022,11674,202,11472,45000,35276,35382,595,595,9618
87,8650401,8650603,8662058,11657,202,11455,45000,35382,35486,592,592,9514
88,8750471,8750674,8762022,11551,203,11348,45000,35486,35589,589,589,9411
89,8850525,8850727,8862013,11488,202,11286,45000,35589,35691,586,586,9309
90,8950579,8950780,8962040,11461,201,11260,45000,35691,35792,584,584,9208
91,9050633,9050835,9062029,11396,202,11194,45000,35792,35891,581,581,9109
92,9150687,9150890,9162021,11334,203,11131,45000,35891,35989,578,578,9011
93,9250741,9250943,9262027,11286,202,11084,45000,35989,36087,576,576,8913
94,9350796,9350997,9362016,11220,201,11019,45000,36087,36183,573,573,8817
95,9450851,9451054,9462035,11184,203,10981,45000,36183,36278,571,571,8722
96,9550905,9551106,9562027,11122,201,10921,45000,36278,36372,568,568,8628
97,9650960,9651161,9662030,11070,201,10869,45000,36372,36465,565,565,8535
98,9751014,9751215,9762020,11006,201,10805,45000,36465,36556,563,563,8444
99,9851068,9851270,9862027,10959,202,10757,45000,36556,36647,561,561,8353
100,9951123,9951324,9964767,13644,201,13443,45000,36647,36737,558,558,8263
101,10051181,10051385,10061971,10790,204,10586,45000,36737,36826,556,556,8174
102,10151234,10151435,10162019,10785,201,10584,45000,36826,36913,553,553,8087
103,10251312,10251512,10262017,10705,200,10505,45000,36913,37000,551,551,8000
104,10351367,10351568,10362022,10655,201,10454,45000,37000,37085,549,549,7915
105,10451421,10451623,10462027,10606,202,10404,45000,37085,37170,547,547,7830
106,10551475,10551676,10562014,10539,201,10338,45000,37170,37254,544,544,7746
107,10651529,10651731,10662023,10494,202,10292,45000,37254,37337,542,542,7663
108,10751583,10751784,10762024,10441,201,10240,45000,37337,37419,540,540,7581
109,10851637,10851837,10862026,10389,200,10189,45000,37419,37499,538,538,7501
110,10951692,10951895,10962022,10330,203,10127,45000,37499,37580,536,536,7420
111,11051745,11051947,11062022,10277,202,10075,45000,37580,37658,533,533,7342
112,11151799,11152001,11162027,10228,202,10026,45000,37658,37737,531,531,7263
