sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5394,5411,109743,104349,17,104332,45000,20000,20140,500,500,24860
2,110276,110292,122276,12000,16,11984,45000,20140,20279,500,500,24721
3,210689,210705,222282,11593,16,11577,45000,20279,20418,500,500,24582
4,310735,310751,322364,11629,16,11613,45000,20418,20557,500,500,24443
5,410780,410796,422401,11621,16,11605,45000,20557,20694,500,500,24306
6,510827,510843,522456,11629,16,11613,45000,20694,20832,500,500,24168
7,610891,610907,622534,11643,16,11627,45000,20832,20968,500,500,24032
8,710936,710952,722568,11632,16,11616,45000,20968,21104,500,500,23896
9,811002,811018,822624,11622,16,11606,45000,21104,21240,500,500,23760
10,911050,911066,922669,11619,16,11603,45000,21240,21375,500,500,23625
11,1011116,1011131,1022683,11567,15,11552,45000,21375,21510,500,500,23490
12,1111163,1111179,1122680,11517,16,11501,45000,21510,21644,500,500,23356
13,1211210,1211226,1222681,11471,16,11455,45000,21644,21777,500,500,23223
14,1311257,1311273,1322688,11431,16,11415,45000,21777,21910,500,500,23090
15,1411305,1411320,1421710,10405,15,10390,45000,21910,22042,500,500,22958
16,1511351,1511367,1521817,10466,16,10450,45000,22042,22174,500,500,22826
17,1611398,1611414,1621746,10348,16,10332,45000,22174,22305,500,500,22695
18,1711446,1711462,1721740,10294,16,10278,45000,22305,22436,500,500,22564
19,1811494,1811510,1821725,10231,16,10215,45000,22436,22566,500,500,22434
20,1911542,1911558,1921721,10179,16,10163,45000,22566,22696,500,500,22304
21,2011590,2011606,2021742,10152,16,10136,45000,22696,22825,500,500,22175
22,2111638,2111654,2121730,10092,16,10076,45000,22825,22954,500,500,22046
23,2211686,2211702,2221723,10037,16,10021,45000,22954,23082,500,500,21918
24,2311734,2311750,2321731,9997,16,9981,45000,23082,23210,500,500,21790
25,2411782,2411798,2421737,9955,16,9939,45000,23210,23337,500,500,21663
26,2511829,2511845,2521726,9897,16,9881,45000,23337,23464,500,500,21536
27,2611878,2611894,2621718,9840,16,9824,45000,23464,23590,500,500,21410
28,2711926,2711942,2721737,9811,16,9795,45000,23590,23715,500,500,21285
29,2811974,2811990,2821739,9765,16,9749,45000,23715,23841,500,500,21159
30,2912036,2912053,2921726,9690,17,9673,45000,23841,23965,500,500,21035
31,3012083,3012100,3021732,9649,17,9632,45000,23965,24089,500,500,20911
