sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1492,149222970,149224737,149230955,7985,1767,6218,50000,50830,50816,391,391,-816
1493,149323021,149324785,149330970,7949,1764,6185,50000,50816,50802,391,391,-802
1494,149423071,149424850,149430015,6944,1779,5165,50000,50802,50788,391,391,-788
1495,149523122,149524898,149530026,6904,1776,5128,50000,50788,50775,391,391,-775
1496,149623174,149624952,149630020,6846,1778,5068,50000,50775,50761,391,391,-761
1497,149723225,149724998,149730018,6793,1773,5020,50000,50761,50747,391,391,-747
1498,149823276,149825052,149830019,6743,1776,4967,50000,50747,50734,392,392,-734
1499,149923327,149925104,149929996,6669,1777,4892,50000,50734,50721,392,392,-721
1500,150023378,150025157,150032802,9424,1779,7645,50000,50721,50708,392,392,-708
1501,150123432,150125250,150129978,6546,1818,4728,50000,50708,50695,392,392,-695
1502,150223483,150225262,150229994,6511,1779,4732,50000,50695,50682,392,392,-682
1503,150323534,150325310,150329991,6457,1776,4681,50000,50682,50669,392,392,-669
1504,150423585,150425365,150430000,6415,1780,4635,50000,50669,50656,392,392,-656
1505,150523636,150525412,150529998,6362,1776,4586,50000,50656,50643,392,392,-643
1506,150623687,150625468,150629992,6305,1781,4524,50000,50643,50631,393,393,-631
1507,150723738,150725512,150730003,6265,1774,4491,50000,50631,50618,393,393,-618
1508,150823789,150825561,150830011,6222,1772,4450,50000,50618,50606,393,393,-606
1509,150923839,150925617,150930000,6161,1778,4383,50000,50606,50593,393,393,-593
1510,151023889,151025671,151029995,6106,1782,4324,50000,50593,50581,393,393,-581
1511,151123940,151125726,151129993,6053,1786,4267,50000,50581,50569,393,393,-569
1512,151223991,151225766,151229996,6005,1775,4230,50000,50569,50556,393,393,-556
1513,151324042,151325820,151330000,5958,1778,4180,50000,50556,50544,394,394,-544
1514,151424093,151425872,151429988,5895,1779,4116,50000,50544,50533,394,394,-533
1515,151524144,151525917,151529998,5854,1773,4081,50000,50533,50521,394,394,-521
1516,151624195,151625965,151630007,5812,1770,4042,50000,50521,50509,394,394,-509
1517,151724246,151726021,151729996,5750,1775,3975,50000,50509,50497,394,394,-497
1518,151824297,151826072,151830001,5704,1775,3929,50000,50497,50486,394,394,-486
1519,151924349,151926118,151930008,5659,1769,3890,50000,50486,50474,394,394,-474
1520,152024399,152026171,152029997,5598,1772,3826,50000,50474,50462,394,394,-462
1521,152124449,152126223,152129991,5542,1774,3768,50000,50462,50451,394,394,-451
1522,152224501,152226265,152230026,5525,1764,3761,50000,50451,50439,394,394,-439
1523,152324572,152326328,152330022,5450,1756,3694,50000,50439,50428,395,395,-428
1524,152424635,152426371,152430021,5386,1736,3650,50000,50428,50417,395,395,-417
1525,152524684,152526410,152530002,5318,1726,3592,50000,50417,50406,395,395,-406
1526,152624740,152626453,152630006,5266,1713,3553,50000,50406,50395,395,395,-395
1527,152724789,152726498,152729997,5208,1709,3499,50000,50395,50384,395,395,-384
1528,152824837,152826550,152830003,5166,1713,3453,50000,50384,50373,395,395,-373
1529,152924886,152926596,152930013,5127,1710,3417,50000,50373,50362,395,395,-362
1530,153024935,153026649,153029997,5062,1714,3348,50000,50362,50351,395,395,-351
1531,153124984,153126700,153130003,5019,1716,3303,50000,50351,50341,396,396,-341
1532,153225033,153226745,153229999,4966,1712,3254,50000,50341,50330,396,396,-330
1533,153325082,153326792,153329996,4914,1710,3204,50000,50330,50320,396,396,-320
1534,153425131,153426845,153429992,4861,1714,3147,50000,50320,50310,396,396,-310
1535,153525180,153526893,153529998,4818,1713,3105,50000,50310,50299,396,396,-299
1536,153625229,153626943,153630000,4771,1714,3057,50000,50299,50289,396,396,-289
1537,153725278,153726988,153730012,4734,1710,3024,50000,50289,50279,396,396,-279
1538,153825327,153827041,153830002,4675,1714,2961,50000,50279,50268,396,396,-268
1539,153925376,153927086,153930009,4633,1710,2923,50000,50268,50258,396,396,-258
1540,154025425,154027136,154030003,4578,1711,2867,50000,50258,50248,396,396,-248
1541,154125475,154127191,154130148,4673,1716,2957,50000,50248,50238,396,396,-238
1542,154225525,154227237,154230230,4705,1712,2993,50000,50238,50228,396,396,-228
1543,154325575,154327287,154330295,4720,1712,3008,50000,50228,50218,396,396,-218
1544,154425625,154427336,154430378,4753,1711,3042,50000,50218,50208,397,397,-208
1545,154525676,154527385,154530444,4768,1709,3059,50000,50208,50198,397,397,-198
1546,154625725,154627438,154630492,4767,1713,3054,50000,50198,50189,397,397,-189
1547,154725797,154727518,154730560,4763,1721,3042,50000,50189,50179,397,397,-179
1548,154825847,154827568,154830645,4798,1721,3077,50000,50179,50170,397,397,-170
1549,154925897,154927616,154930745,4848,1719,3129,50000,50170,50160,397,397,-160
1550,155025946,155027668,155030785,4839,1722,3117,50000,50160,50151,397,397,-151
1551,155126013,155127739,155130866,4853,1726,3127,50000,50151,50141,397,397,-141
1552,155226063,155227784,155230926,4863,1721,3142,50000,50141,50132,397,397,-132
1553,155326115,155327837,155330967,4852,1722,3130,50000,50132,50122,397,397,-122
1554,155426166,155427887,155430969,4803,1721,3082,50000,50122,50113,398,398,-113
1555,155526215,155527936,155530974,4759,1721,3038,50000,50113,50104,398,398,-104
1556,155626265,155627988,155630965,4700,1723,2977,50000,50104,50095,398,398,-95
1557,155726314,155728036,155730972,4658,1722,2936,50000,50095,50086,398,398,-86
1558,155826365,155828090,155830971,4606,1725,2881,50000,50086,50078,398,398,-78
1559,155926414,155928136,155929939,3525,1722,1803,50000,50078,50069,398,398,-69
1560,156026465,156028192,156030051,3586,1727,1859,50000,50069,50060,398,398,-60
1561,156126515,156128244,156139979,13464,1729,11735,50000,50060,50051,398,398,-51
1562,156226589,156228315,156240010,13421,1726,11695,50000,50051,50042,398,398,-42
1563,156326639,156328361,156340018,13379,1722,11657,50000,50042,50034,398,398,-34
1564,156426689,156428414,156440013,13324,1725,11599,50000,50034,50025,398,398,-25
1565,156526740,156528462,156540005,13265,1722,11543,50000,50025,50017,399,399,-17
1566,156626790,156628511,156640022,13232,1721,11511,50000,50017,50008,399,399,-8
1567,156726841,156728561,156739997,13156,1720,11436,50000,50008,50000,399,399,0
1568,156826892,156828612,156840015,13123,1720,11403,50000,50000,49992,399,399,8
1569,156926943,156928666,156940000,13057,1723,11334,50000,49992,49983,399,399,17
1570,157026993,157028714,157040017,13024,1721,11303,50000,49983,49975,399,399,25
1571,157127043,157128770,157140012,12969,1727,11242,50000,49975,49967,399,399,33
1572,157227094,157228817,157240001,12907,1723,11184,50000,49967,49959,400,400,41
1573,157327143,157328863,157339998,12855,1720,11135,50000,49959,49951,400,400,49
1574,157427194,157428917,157439993,12799,1723,11076,50000,49951,49943,400,400,57
1575,157527244,157528964,157539997,12753,1720,11033,50000,49943,49936,400,400,64
1576,157627295,157629018,157640003,12708,1723,10985,50000,49936,49928,400,400,72
1577,157727345,157729068,157739997,12652,1723,10929,50000,49928,49920,401,401,80
1578,157827395,157829118,157839997,12602,1723,10879,50000,49920,49913,401,401,87
1579,157927446,157929165,157939989,12543,1719,10824,50000,49913,49906,401,401,94
1580,158027496,158029214,158040000,12504,1718,10786,50000,49906,49898,401,401,102
1581,158127545,158129274,158139995,12450,1729,10721,50000,49898,49891,402,402,109
1582,158227596,158229319,158239991,12395,1723,10672,50000,49891,49884,402,402,116
1583,158327646,158329372,158340011,12365,1726,10639,50000,49884,49877,402,402,123
1584,158427697,158429420,158440004,12307,1723,10584,50000,49877,49870,402,402,130
1585,158527747,158529467,158539990,12243,1720,10523,50000,49870,49863,402,402,137
1586,158627797,158629521,158639998,12201,1724,10477,50000,49863,49857,403,403,143
1587,158727848,158729568,158740003,12155,1720,10435,50000,49857,49850,403,403,150
1588,158827898,158829622,158839995,12097,1724,10373,50000,49850,49844,403,403,156
1589,158927949,158929669,158939987,12038,1720,10318,50000,49844,49837,403,403,163
1590,159027999,159029720,159040007,12008,1721,10287,50000,49837,49831,403,403,169
1591,159128050,159129779,159140011,11961,1729,10232,50000,49831,49824,403,403,176
1592,159228099,159229819,159239998,11899,1720,10179,50000,49824,49818,404,404,182
1593,159328150,159329870,159340001,11851,1720,10131,50000,49818,49812,404,404,188
1594,159428201,159429923,159440013,11812,1722,10090,50000,49812,49806,404,404,194
1595,159528251,159529971,159539998,11747,1720,10027,50000,49806,49800,404,404,200
1596,159628301,159630022,159639991,11690,1721,9969,50000,49800,49794,404,404,206
1597,159728351,159730071,159740021,11670,1720,9950,50000,49794,49787,404,404,213
1598,159828420,159830141,159840021,11601,1721,9880,50000,49787,49782,405,405,218
1599,159928470,159930190,159940012,11542,1720,9822,50000,49782,49776,405,405,224
1600,160028520,160030244,160043780,15260,1724,13536,50000,49776,49770,405,405,230
1601,160128573,160130301,160139950,11377,1728,9649,50000,49770,49765,405,405,235
1602,160228623,160230384,160239994,11371,1761,9610,50000,49765,49759,405,405,241
1603,160328696,160330461,160340001,11305,1765,9540,50000,49759,49753,405,405,247
1604,160428748,160435095,160440003,11255,6347,4908,50000,49753,49748,406,406,252
1605,160528798,160530570,160539997,11199,1772,9427,50000,49748,49743,406,406,257
1606,160628849,160630622,160639994,11145,1773,9372,50000,49743,49737,406,406,263
1607,160728899,160730664,160740003,11104,1765,9339,50000,49737,49732,406,406,268
1608,160828950,160830712,160840012,11062,1762,9300,50000,49732,49727,406,406,273
1609,160929001,160930770,160939998,10997,1769,9228,50000,49727,49722,406,406,278
1610,161029052,161030820,161039985,10933,1768,9165,50000,49722,49716,406,406,284
1611,161129101,161130877,161140001,10900,1776,9124,50000,49716,49711,406,406,289
1612,161229152,161230919,161239995,10843,1767,9076,50000,49711,49706,406,406,294
1613,161329201,161330966,161339990,10789,1765,9024,50000,49706,49701,406,406,299
1614,161429252,161431021,161440012,10760,1769,8991,50000,49701,49696,407,407,304
1615,161529303,161531068,161539999,10696,1765,8931,50000,49696,49691,407,407,309
1616,161629353,161631122,161639996,10643,1769,8874,50000,49691,49686,407,407,314
1617,161729404,161731170,161739999,10595,1766,8829,50000,49686,49682,407,407,318
1618,161829454,161831223,161840014,10560,1769,8791,50000,49682,49677,407,407,323
1619,161929504,161931268,161940000,10496,1764,8732,50000,49677,49672,407,407,328
1620,162029554,162031326,162039981,10427,1772,8655,50000,49672,49667,407,407,333
1621,162129604,162131379,162140000,10396,1775,8621,50000,49667,49663,408,408,337
1622,162229655,162231423,162240010,10355,1768,8587,50000,49663,49659,408,408,341
1623,162329705,162331471,162339996,10291,1766,8525,50000,49659,49654,408,408,346
1624,162429755,162431521,162439999,10244,1766,8478,50000,49654,49650,408,408,350
1625,162529806,162531572,162540027,10221,1766,8455,50000,49650,49645,408,408,355
1626,162629856,162631623,162640028,10172,1767,8405,50000,49645,49641,408,408,359
1627,162729907,162731667,162740004,10097,1760,8337,50000,49641,49637,408,408,363
1628,162829957,162831716,162839995,10038,1759,8279,50000,49637,49633,408,408,367
1629,162930008,162931771,162939993,9985,1763,8222,50000,49633,49628,408,408,372
1630,163030058,163031823,163039983,9925,1765,8160,50000,49628,49624,409,409,376
1631,163130109,163131871,163140001,9892,1762,8130,50000,49624,49620,409,409,380
1632,163230160,163231915,163240007,9847,1755,8092,50000,49620,49616,409,409,384
1633,163330210,163331958,163339993,9783,1748,8035,50000,49616,49612,409,409,388
1634,163430277,163432005,163440009,9732,1728,8004,50000,49612,49608,409,409,392
1635,163530329,163532049,163540003,9674,1720,7954,50000,49608,49604,409,409,396
1636,163630360,163632083,163639996,9636,1723,7913,50000,49604,49601,409,409,399
1637,163730409,163732126,163739993,9584,1717,7867,50000,49601,49597,409,409,403
1638,163830457,163832183,163840000,9543,1726,7817,50000,49597,49593,409,409,407
1639,163930508,163932225,163940003,9495,1717,7778,50000,49593,49589,410,410,411
1640,164030556,164032280,164039995,9439,1724,7715,50000,49589,49586,410,410,414
1641,164130606,164132332,164139990,9384,1726,7658,50000,49586,49582,410,410,418
1642,164230655,164232377,164240001,9346,1722,7624,50000,49582,49579,410,410,421
1643,164330705,164332421,164339995,9290,1716,7574,50000,49579,49575,410,410,425
1644,164430753,164432476,164439979,9226,1723,7503,50000,49575,49572,410,410,428
1645,164530802,164532523,164540002,9200,1721,7479,50000,49572,49568,410,410,432
1646,164630852,164632576,164640012,9160,1724,7436,50000,49568,49565,410,410,435
1647,164730901,164732620,164739997,9096,1719,7377,50000,49565,49561,410,410,439
1648,164830950,164832674,164839987,9037,1724,7313,50000,49561,49558,411,411,442
1649,164930999,164932719,164940003,9004,1720,7284,50000,49558,49555,411,411,445
1650,165031048,165032770,165040011,8963,1722,7241,50000,49555,49552,411,411,448
1651,165131098,165132827,165139995,8897,1729,7168,50000,49552,49549,411,411,451
1652,165231147,165232868,165240026,8879,1721,7158,50000,49549,49546,411,411,454
1653,165331215,165332935,165340020,8805,1720,7085,50000,49546,49542,411,411,458
1654,165431264,165432986,165440013,8749,1722,7027,50000,49542,49539,411,411,461
1655,165531314,165533034,165540008,8694,1720,6974,50000,49539,49536,411,411,464
1656,165631363,165633085,165639997,8634,1722,6912,50000,49536,49533,411,411,467
1657,165731412,165733131,165739986,8574,1719,6855,50000,49533,49530,411,411,470
1658,165831461,165833182,165840003,8542,1721,6821,50000,49530,49527,411,411,473
1659,165931511,165933233,165939997,8486,1722,6764,50000,49527,49524,411,411,476
1660,166031561,166033282,166039995,8434,1721,6713,50000,49524,49521,411,411,479
1661,166131610,166133335,166139989,8379,1725,6654,50000,49521,49518,412,412,482
1662,166231659,166233380,166240002,8343,1721,6622,50000,49518,49516,412,412,484
1663,166331708,166333427,166340008,8300,1719,6581,50000,49516,49513,412,412,487
1664,166431757,166433479,166439994,8237,1722,6515,50000,49513,49510,412,412,490
1665,166531807,166533528,166540012,8205,1721,6484,50000,49510,49508,412,412,492
1666,166631857,166633579,166640012,8155,1722,6433,50000,49508,49505,412,412,495
1667,166731905,166733624,166740000,8095,1719,6376,50000,49505,49502,412,412,498
1668,166831955,166833678,166839994,8039,1723,6316,50000,49502,49500,412,412,500
1669,166932005,166933722,166939992,7987,1717,6270,50000,49500,49497,412,412,503
1670,167032054,167033778,167040012,7958,1724,6234,50000,49497,49494,412,412,506
1671,167132104,167133832,167139998,7894,1728,6166,50000,49494,49492,412,412,508
1672,167232153,167233878,167240003,7850,1725,6125,50000,49492,49489,412,412,511
1673,167332203,167333920,167340002,7799,1717,6082,50000,49489,49487,413,413,513
1674,167432252,167433976,167439994,7742,1724,6018,50000,49487,49484,412,412,516
1675,167532302,167534022,167539985,7683,1720,5963,50000,49484,49482,413,413,518
1676,167632350,167634072,167640001,7651,1722,5929,50000,49482,49480,413,413,520
1677,167732400,167734120,167739995,7595,1720,5875,50000,49480,49477,413,413,523
1678,167832449,167834173,167839993,7544,1724,5820,50000,49477,49475,413,413,525
1679,167932499,167934217,167939995,7496,1718,5778,50000,49475,49473,413,413,527
1680,168032547,168034272,168040024,7477,1725,5752,50000,49473,49471,413,413,529
1681,168132597,168134323,168140029,7432,1726,5706,50000,49471,49468,413,413,532
1682,168232646,168234368,168240003,7357,1722,5635,50000,49468,49466,413,413,534
1683,168332695,168334414,168340008,7313,1719,5594,50000,49466,49464,413,413,536
1684,168432745,168434464,168439996,7251,1719,5532,50000,49464,49462,413,413,538
1685,168532793,168534512,168540003,7210,1719,5491,50000,49462,49459,413,413,541
1686,168632843,168634564,168639998,7155,1721,5434,50000,49459,49457,413,413,543
1687,168732892,168734640,168740015,7123,1748,5375,50000,49457,49455,413,413,545
1688,168832943,168834711,168839998,7055,1768,5287,50000,49455,49453,413,413,547
1689,168932991,168934762,168939995,7004,1771,5233,50000,49453,49451,413,413,549
1690,169033040,169034827,169040000,6960,1787,5173,50000,49451,49448,413,413,552
1691,169133090,169134883,169139992,6902,1793,5109,50000,49448,49447,414,414,553
1692,169233138,169234928,169239999,6861,1790,5071,50000,49447,49444,413,413,556
1693,169333189,169334973,169340008,6819,1784,5035,50000,49444,49443,414,414,557
1694,169433238,169435020,169439995,6757,1782,4975,50000,49443,49441,414,414,559
1695,169533287,169535069,169539992,6705,1782,4923,50000,49441,49439,414,414,561
1696,169633335,169635119,169640017,6682,1784,4898,50000,49439,49437,414,414,563
1697,169733385,169735178,169740010,6625,1793,4832,50000,49437,49435,414,414,565
1698,169833434,169835230,169840009,6575,1796,4779,50000,49435,49433,414,414,567
1699,169933483,169935269,169940003,6520,1786,4734,50000,49433,49432,414,414,568
1700,170033532,170035325,170042797,9265,1793,7472,50000,49432,49430,414,414,570
1701,170133600,170135393,170139962,6362,1793,4569,50000,49430,49428,414,414,572
1702,170233649,170235442,170240006,6357,1793,4564,50000,49428,49426,414,414,574
1703,170333721,170335509,170340012,6291,1788,4503,50000,49426,49424,414,414,576
1704,170433770,170435554,170440000,6230,1784,4446,50000,49424,49423,414,414,577
1705,170533819,170535600,170540012,6193,1781,4412,50000,49423,49421,414,414,579
1706,170633869,170635661,170639997,6128,1792,4336,50000,49421,49419,414,414,581
1707,170733917,170735708,170740013,6096,1791,4305,50000,49419,49417,414,414,583
1708,170833968,170835756,170839996,6028,1788,4240,50000,49417,49416,414,414,584
1709,170934017,170935797,170940004,5987,1780,4207,50000,49416,49414,414,414,586
1710,171034067,171035862,171039997,5930,1795,4135,50000,49414,49412,415,415,588
1711,171134116,171135911,171139992,5876,1795,4081,50000,49412,49411,415,415,589
1712,171234165,171235946,171239993,5828,1781,4047,50000,49411,49410,415,415,590
1713,171334215,171335997,171340012,5797,1782,4015,50000,49410,49408,415,415,592
1714,171434264,171436045,171439999,5735,1781,3954,50000,49408,49407,415,415,593
1715,171534313,171536096,171540008,5695,1783,3912,50000,49407,49405,415,415,595
1716,171634362,171636141,171640000,5638,1779,3859,50000,49405,49404,415,415,596
1717,171734413,171736194,171739999,5586,1781,3805,50000,49404,49402,415,415,598
1718,171834461,171836240,171839997,5536,1779,3757,50000,49402,49401,415,415,599
1719,171934510,171936278,171939991,5481,1768,3713,50000,49401,49400,415,415,600
1720,172034560,172036334,172040011,5451,1774,3677,50000,49400,49398,415,415,602
1721,172134625,172136373,172140003,5378,1748,3630,50000,49398,49397,415,415,603
1722,172234658,172236396,172239985,5327,1738,3589,50000,49397,49395,415,415,605
1723,172334719,172336441,172340004,5285,1722,3563,50000,49395,49394,415,415,606
1724,172434767,172436490,172440013,5246,1723,3523,50000,49394,49393,415,415,607
1725,172534816,172536540,172539998,5182,1724,3458,50000,49393,49391,415,415,609
1726,172634865,172641200,172649946,15081,6335,8746,50000,49391,49390,415,415,610
1727,172734914,172736638,172739998,5084,1724,3360,50000,49390,49389,415,415,611
