run,mode,samples,first_ms,last_ms,overall_rmse,mean_rtt_ms,t300_rmse,t800_rmse,t500_rmse,t300_settle_ms,t800_settle_ms,t500_settle_ms,t300_overshoot,t800_overshoot,t500_overshoot
quant-1,baseline,188,260,26400,197.38330783722813,140.23936170212767,84.81425082412237,238.4551470252994,192.34875162974447,,,,46,0,0
quant-2,baseline,187,303,26259,197.09158000556724,140.23529411764707,80.73855513764342,238.4551470252994,192.35372921484299,,,,46,0,0
quant-3,baseline,195,277,26572,195.7902462147196,136.08205128205128,72.26785493663733,243.21627192599072,192.34246330024422,,,,46,0,0
quant-4,cnn,170,313,26508,46.23533153717989,155.68823529411765,62.52159626880939,48.67866989992441,31.218808995343167,,,1394,149,18,142
quant-5,cnn,156,169,26064,47.04042178862007,166.82051282051282,64.23175811076636,51.19421312635949,31.058987657129368,,,1572,149,13,135
quant-6,cnn,157,490,26244,46.99295244627469,165.59235668789808,67.0889956202456,50.68234406575923,30.503954302191307,,,1287,150,13,133
quant-7,yolo,132,329,26212,152.2338959985886,196.9469696969697,,,,,,,,,
quant-8,yolo,132,1005,26187,154.61401108645498,197.37121212121212,,,,,,,,,
quant-9,yolo,137,548,26403,152.96228245556026,190.5182481751825,,,,,,,,,
