run,mode,model_ready,samples,first_ms,last_ms,tracking_rmse,mean_rtt_ms,p95_rtt_ms,settling_ms,max_positive_overshoot,detection_count,rejection_count,confidence_mean,confidence_p95,replay_infer_samples,replay_infer_mean_us,replay_infer_p95_us,scenario_tracking_rmse,scenario_t300_rmse,scenario_t300_overshoot,scenario_t300_settle_ms,scenario_t800_rmse,scenario_t800_overshoot,scenario_t800_settle_ms,scenario_t500_rmse,scenario_t500_overshoot,scenario_t500_settle_ms
quant-baseline-1,baseline,baseline,188,260,26400,197.38330783722813,140.23936170212767,316.0,,46.0,0,0,,,0,,,198.84924258491844,84.81425082412237,46,,242.82306779530055,0,,191.01065269885981,0,
quant-baseline-2,baseline,baseline,187,303,26259,197.09158000556724,140.23529411764707,312.0,,46.0,0,0,,,0,,,198.56749010938887,80.73855513764342,46,,242.82306779530055,0,,190.9966816318184,0,
quant-baseline-3,baseline,baseline,195,277,26572,195.7902462147196,136.08205128205128,315.0,,46.0,0,0,,,0,,,197.20736190554243,72.26785493663733,46,,247.37682119929235,0,,190.96667622538607,0,
quant-cnn-1,cnn,cnn,170,313,26508,46.23533153717989,155.68823529411765,338.0,1169.0,149.0,0,0,,,170,14005.75294117647,15133.0,60.6634883890583,62.52159626880939,149,,74.28174592575068,18,,45.78849426325954,257,1394.0
quant-cnn-2,cnn,cnn,156,169,26064,47.04042178862007,166.82051282051282,332.0,1157.0,149.0,0,0,,,156,9608.788461538461,13119.0,62.429293337876786,64.23175811076636,149,,76.95604806208108,13,,45.99485097040183,258,1572.0
quant-cnn-3,cnn,cnn,157,490,26244,46.99295244627469,165.59235668789808,335.0,1138.0,150.0,0,0,,,157,13452.24203821656,13389.0,62.30748694929291,67.0889956202456,150,,76.26807767428748,13,,45.410389210794726,258,1287.0
quant-yolo-1,yolo,yolo11n.onnx,132,329,26212,152.2338959985886,196.9469696969697,371.0,,0.0,88,45,0.8515,0.871,132,4601.05303030303,3.0,296.7544898948073,116.43023662262307,160,,423.9656825734838,0,,203.58945617754046,0,
quant-yolo-2,yolo,yolo11n.onnx,132,1005,26187,154.61401108645498,197.37121212121212,362.0,,0.0,88,45,0.8515,0.871,132,2.8181818181818183,3.0,295.96613749794847,108.80908356689099,160,,421.5770866638745,0,,203.58945617754046,0,
quant-yolo-3,yolo,yolo11n.onnx,137,548,26403,152.96228245556026,190.5182481751825,363.0,,0.0,92,46,0.8514999999999999,0.871,137,2.605839416058394,3.0,295.81010874876506,119.42538707043438,178,,423.11295020059475,0,,202.63486075316072,0,
