sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,1584,19562,148042,146458,17978,128480,45000,20000,20266,951,951,24734
2,148624,148884,162423,13799,260,13539,45000,20266,20543,992,992,24457
3,248686,248902,252454,3768,216,3552,45000,20543,20817,986,986,24183
4,348741,348948,352447,3706,207,3499,45000,20817,21088,979,979,23912
5,448794,449002,452445,3651,208,3443,45000,21088,21356,972,972,23644
6,548847,549051,552434,3587,204,3383,45000,21356,21620,965,965,23380
7,648900,649104,652453,3553,204,3349,45000,21620,21882,958,958,23118
8,748953,749156,752453,3500,203,3297,45000,21882,22141,951,951,22859
9,849006,849211,852437,3431,205,3226,45000,22141,22397,944,944,22603
10,949058,949261,952445,3387,203,3184,45000,22397,22649,937,937,22351
11,1049112,1049316,1052451,3339,204,3135,45000,22649,22899,931,931,22101
12,1149164,1149366,1152439,3275,202,3073,45000,22899,23147,924,924,21853
13,1249216,1249419,1252435,3219,203,3016,45000,23147,23391,917,917,21609
14,1349269,1349471,1352450,3181,202,2979,45000,23391,23632,911,911,21368
15,1449321,1449523,1452452,3131,202,2929,45000,23632,23871,905,905,21129
16,1549374,1549577,1552595,3221,203,3018,45000,23871,24107,898,898,20893
17,1649426,1649630,1652684,3258,204,3054,45000,24107,24340,892,892,20660
18,1749478,1749681,1752730,3252,203,3049,45000,24340,24571,886,886,20429
19,1849551,1849752,1852796,3245,201,3044,45000,24571,24799,879,879,20201
20,1949623,1949824,1952863,3240,201,3039,45000,24799,25024,873,873,19976
21,2049698,2049900,2052939,3241,202,3039,45000,25024,25247,867,867,19753
22,2149786,2150014,2153006,3220,228,2992,45000,25247,25467,861,861,19533
23,2249860,2250086,2253074,3214,226,2988,45000,25467,25685,856,856,19315
24,2349932,2350151,2353164,3232,219,3013,45000,25685,25900,850,850,19100
25,2450003,2450205,2453227,3224,202,3022,45000,25900,26113,844,844,18887
26,2550074,2550276,2553294,3220,202,3018,45000,26113,26323,838,838,18677
27,2650163,2650364,2653355,3192,201,2991,45000,26323,26531,833,833,18469
28,2750234,2750435,2753398,3164,201,2963,45000,26531,26736,827,827,18264
29,2850286,2850488,2853393,3107,202,2905,45000,26736,26940,822,822,18060
30,2950338,2950539,2952377,2039,201,1838,45000,26940,27140,816,816,17860
31,3050390,3050591,3052488,2098,201,1897,45000,27140,27339,811,811,17661
32,3150441,3150642,3162495,12054,201,11853,45000,27339,27535,806,806,17465
33,3250494,3250698,3262487,11993,204,11789,45000,27535,27729,801,801,17271
34,3350547,3350748,3362494,11947,201,11746,45000,27729,27921,795,795,17079
35,3450600,3450801,3462465,11865,201,11664,45000,27921,28110,790,790,16890
36,3550652,3550854,3562455,11803,202,11601,45000,28110,28298,785,785,16702
37,3650705,3650907,3662465,11760,202,11558,45000,28298,28483,780,780,16517
38,3750779,3750981,3762452,11673,202,11471,45000,28483,28666,775,775,16334
39,3850831,3851032,3862476,11645,201,11444,45000,28666,28847,770,770,16153
40,3950884,3951084,3962443,11559,200,11359,45000,28847,29026,766,766,15974
41,4050955,4051167,4062445,11490,212,11278,45000,29026,29203,761,761,15797
42,4151010,4151213,4162455,11445,203,11242,45000,29203,29378,756,756,15622
43,4251064,4251265,4262441,11377,201,11176,45000,29378,29551,752,752,15449
44,4351119,4351320,4362433,11314,201,11113,45000,29551,29722,747,747,15278
45,4451173,4451374,4462447,11274,201,11073,45000,29722,29891,742,742,15109
46,4551227,4551428,4562450,11223,201,11022,45000,29891,30058,738,738,14942
47,4651281,4651483,4662437,11156,202,10954,45000,30058,30223,733,733,14777
48,4751336,4751538,4762455,11119,202,10917,45000,30223,30386,729,729,14614
49,4851391,4851592,4862446,11055,201,10854,45000,30386,30548,725,725,14452
50,4951445,4951646,4962440,10995,201,10794,45000,30548,30707,720,720,14293
51,5051499,5051701,5062435,10936,202,10734,45000,30707,30865,716,716,14135
52,5151554,5151755,5162450,10896,201,10695,45000,30865,31021,712,712,13979
53,5251609,5251812,5262453,10844,203,10641,45000,31021,31175,708,708,13825
54,5351662,5351865,5362439,10777,203,10574,45000,31175,31327,704,704,13673
55,5451717,5451918,5462445,10728,201,10527,45000,31327,31478,700,700,13522
56,5551771,5551973,5562455,10684,202,10482,45000,31478,31627,696,696,13373
57,5651826,5652027,5662440,10614,201,10413,45000,31627,31774,692,692,13226
58,5751880,5752082,5762435,10555,202,10353,45000,31774,31920,688,688,13080
59,5851935,5852137,5862453,10518,202,10316,45000,31920,32063,684,684,12937
60,5951989,5952191,5962455,10466,202,10264,45000,32063,32206,680,680,12794
61,6052043,6052245,6062442,10399,202,10197,45000,32206,32346,676,676,12654
62,6152097,6152300,6162450,10353,203,10150,45000,32346,32485,673,673,12515
63,6252152,6252353,6262458,10306,201,10105,45000,32485,32622,669,669,12378
64,6352207,6352409,6362461,10254,202,10052,45000,32622,32758,665,665,12242
