sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,9118,9466,128973,119855,348,119507,45000,20000,20266,951,951,24734
2,132582,132598,135471,2889,16,2873,45000,20266,20543,992,992,24457
3,233011,233028,244539,11528,17,11511,45000,20543,20817,986,986,24183
4,333071,333090,344569,11498,19,11479,45000,20817,21088,979,979,23912
5,433121,433137,444578,11457,16,11441,45000,21088,21356,972,972,23644
6,533167,533184,544585,11418,17,11401,45000,21356,21620,965,965,23380
7,633213,633230,644571,11358,17,11341,45000,21620,21882,958,958,23118
8,733275,733292,744563,11288,17,11271,65000,21882,22155,1000,1000,42845
9,833322,833338,844559,11237,16,11221,65000,22155,22426,1000,1000,42574
10,933367,933384,944560,11193,17,11176,65000,22426,22696,1000,1000,42304
11,1033413,1033430,1044568,11155,17,11138,65000,22696,22965,1000,1000,42035
12,1133459,1133476,1144572,11113,17,11096,65000,22965,23234,1000,1000,41766
13,1233505,1233522,1244560,11055,17,11038,65000,23234,23501,1000,1000,41499
14,1333551,1333569,1344580,11029,18,11011,65000,23501,23767,1000,1000,41233
15,1433597,1433614,1444564,10967,17,10950,50000,23767,24032,1000,1000,25968
16,1533643,1533660,1544559,10916,17,10899,50000,24032,24295,1000,1000,25705
17,1633689,1633706,1644562,10873,17,10856,50000,24295,24558,1000,1000,25442
18,1733735,1733751,1744568,10833,16,10817,50000,24558,24820,1000,1000,25180
19,1833781,1833798,1844570,10789,17,10772,50000,24820,25081,1000,1000,24919
20,1933827,1933844,1944559,10732,17,10715,50000,25081,25340,1000,1000,24660
