mode,runs,samples,control_status_complete,perception_mae,target_mae,state_mae,mean_rtt_ms,max_rtt_ms,mean_infer_us,expected_behavior_accuracy,safe_rejection_rate,p50_rtt_ms,p95_rtt_ms,p99_rtt_ms,p50_infer_us,p95_infer_us,p99_infer_us,max_infer_us,run_mean_rtt_stddev_ms,run_mean_infer_stddev_us
manual,3,15,15,,93.0,70.66666666666667,244.6,291,,,,271,291,291,,,,,12.710625476348513,
yolo,3,15,9,0.0,26.333333333333332,89.0,228.0,323,1624319.6,1.0,1.0,283,323,323,1626496,1634971,1634971,1634971,14.836142056178593,2899.8516030997707
