sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
358,35749832,35749848,35752966,3134,16,3118,45000,46631,46665,500,500,-1665
359,35849891,35849907,35853042,3151,16,3135,45000,46665,46698,500,500,-1698
360,35949937,35949953,35953089,3152,16,3136,45000,46698,46731,500,500,-1731
361,36050003,36050019,36053164,3161,16,3145,45000,46731,46765,500,500,-1765
362,36150050,36150066,36153223,3173,16,3157,45000,46765,46797,500,500,-1797
363,36250114,36250130,36253235,3121,16,3105,45000,46797,46830,500,500,-1830
364,36350160,36350176,36353251,3091,16,3075,45000,46830,46863,500,500,-1863
365,36450222,36450238,36453257,3035,16,3019,45000,46863,46895,500,500,-1895
366,36550278,36550294,36553252,2974,16,2958,45000,46895,46928,500,500,-1928
367,36650323,36650339,36653242,2919,16,2903,45000,46928,46960,500,500,-1960
368,36750369,36750385,36753234,2865,16,2849,45000,46960,46992,500,500,-1992
369,36850414,36850430,36853240,2826,16,2810,45000,46992,47024,500,500,-2024
370,36950460,36950476,36952256,1796,16,1780,45000,47024,47056,500,500,-2056
371,37050505,37050521,37062314,11809,16,11793,45000,47056,47088,500,500,-2088
372,37150551,37150567,37162318,11767,16,11751,45000,47088,47120,500,500,-2120
373,37250598,37250614,37262301,11703,16,11687,45000,47120,47151,500,500,-2151
374,37350644,37350660,37362319,11675,16,11659,45000,47151,47183,500,500,-2183
375,37450690,37450706,37462314,11624,16,11608,45000,47183,47214,500,500,-2214
376,37550737,37550753,37562312,11575,16,11559,45000,47214,47245,500,500,-2245
377,37650783,37650799,37662319,11536,16,11520,45000,47245,47276,500,500,-2276
378,37750830,37750846,37762317,11487,16,11471,45000,47276,47307,500,500,-2307
379,37850877,37850893,37862307,11430,16,11414,45000,47307,47338,500,500,-2338
380,37950923,37950939,37962313,11390,16,11374,45000,47338,47368,500,500,-2368
381,38050969,38050985,38062302,11333,16,11317,45000,47368,47399,500,500,-2399
382,38151015,38151031,38162297,11282,16,11266,45000,47399,47429,500,500,-2429
383,38251061,38251077,38262293,11232,16,11216,45000,47429,47460,500,500,-2460
384,38351107,38351123,38362285,11178,16,11162,45000,47460,47490,500,500,-2490
385,38451155,38451171,38462301,11146,16,11130,45000,47490,47520,500,500,-2520
386,38551203,38551219,38562307,11104,16,11088,45000,47520,47550,500,500,-2550
387,38651250,38651266,38662292,11042,16,11026,45000,47550,47580,500,500,-2580
388,38751297,38751314,38762296,10999,17,10982,45000,47580,47609,500,500,-2609
389,38851345,38851361,38862300,10955,16,10939,45000,47609,47639,500,500,-2639
390,38951392,38951408,38962293,10901,16,10885,45000,47639,47668,500,500,-2668
391,39051440,39051456,39062300,10860,16,10844,45000,47668,47698,500,500,-2698
392,39151488,39151504,39162330,10842,16,10826,45000,47698,47727,500,500,-2727
393,39251536,39251552,39262324,10788,16,10772,45000,47727,47756,500,500,-2756
394,39351584,39351600,39362316,10732,16,10716,45000,47756,47785,500,500,-2785
395,39451632,39451648,39462305,10673,16,10657,45000,47785,47814,500,500,-2814
396,39551680,39551696,39562294,10614,16,10598,45000,47814,47842,500,500,-2842
397,39651728,39651744,39662281,10553,16,10537,45000,47842,47871,500,500,-2871
398,39751777,39751793,39762301,10524,16,10508,45000,47871,47900,500,500,-2900
399,39851825,39851841,39862295,10470,16,10454,45000,47900,47928,500,500,-2928
400,39951873,39951889,39965135,13262,16,13246,45000,47928,47956,500,500,-2956
401,40051924,40051940,40062248,10324,16,10308,45000,47956,47984,500,500,-2984
402,40151971,40151987,40162320,10349,16,10333,45000,47984,48012,500,500,-3012
403,40252019,40252035,40262295,10276,16,10260,45000,48012,48040,500,500,-3040
404,40352067,40352083,40362303,10236,16,10220,45000,48040,48068,500,500,-3068
405,40452115,40452131,40462308,10193,16,10177,45000,48068,48096,500,500,-3096
406,40552163,40552179,40562301,10138,16,10122,45000,48096,48124,500,500,-3124
407,40652210,40652226,40662297,10087,16,10071,45000,48124,48151,500,500,-3151
408,40752258,40752275,40762304,10046,17,10029,45000,48151,48179,500,500,-3179
409,40852305,40852321,40862295,9990,16,9974,45000,48179,48206,500,500,-3206
410,40952352,40952368,40962311,9959,16,9943,45000,48206,48233,500,500,-3233
411,41052400,41052416,41062296,9896,16,9880,45000,48233,48260,500,500,-3260
412,41152448,41152464,41162289,9841,16,9825,45000,48260,48287,500,500,-3287
413,41252495,41252511,41262300,9805,16,9789,45000,48287,48314,500,500,-3314
414,41352543,41352559,41362295,9752,16,9736,45000,48314,48341,500,500,-3341
415,41452602,41452619,41462289,9687,17,9670,45000,48341,48367,500,500,-3367
416,41552650,41552666,41562311,9661,16,9645,45000,48367,48394,500,500,-3394
417,41652698,41652713,41662298,9600,15,9585,45000,48394,48420,500,500,-3420
418,41752743,41752760,41762291,9548,17,9531,45000,48420,48447,500,500,-3447
419,41852790,41852806,41862312,9522,16,9506,45000,48447,48473,500,500,-3473
420,41952837,41952853,41962336,9499,16,9483,45000,48473,48499,500,500,-3499
421,42052885,42052901,42062326,9441,16,9425,45000,48499,48525,500,500,-3525
422,42152930,42152946,42162301,9371,16,9355,45000,48525,48551,500,500,-3551
423,42252975,42252991,42262304,9329,16,9313,45000,48551,48577,500,500,-3577
424,42353023,42353038,42362294,9271,15,9256,45000,48577,48602,500,500,-3602
425,42453069,42453085,42462298,9229,16,9213,45000,48602,48628,500,500,-3628
426,42553115,42553131,42562307,9192,16,9176,45000,48628,48653,500,500,-3653
427,42653161,42653177,42662295,9134,16,9118,45000,48653,48679,500,500,-3679
428,42753208,42753224,42762289,9081,16,9065,45000,48679,48704,500,500,-3704
429,42853254,42853270,42862311,9057,16,9041,45000,48704,48729,500,500,-3729
430,42953301,42953317,42962298,8997,16,8981,45000,48729,48754,500,500,-3754
431,43053348,43053364,43062291,8943,16,8927,45000,48754,48779,500,500,-3779
