sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5381,5747,105090,99709,366,99343,45000,20000,20266,951,951,24734
2,105972,105988,112110,6138,16,6122,45000,20266,20543,992,992,24457
3,206388,206405,212138,5750,17,5733,45000,20543,20817,986,986,24183
4,306436,306452,312132,5696,16,5680,45000,20817,21088,979,979,23912
5,406481,406498,412128,5647,17,5630,45000,21088,21356,972,972,23644
6,506527,506544,512127,5600,17,5583,45000,21356,21620,965,965,23380
7,606573,606590,612136,5563,17,5546,45000,21620,21882,958,958,23118
8,706619,706636,712133,5514,17,5497,45000,21882,22141,951,951,22859
9,806665,806681,812129,5464,16,5448,45000,22141,22397,944,944,22603
10,906710,906727,912139,5429,17,5412,45000,22397,22649,937,937,22351
11,1006756,1006773,1012133,5377,17,5360,45000,22649,22899,931,931,22101
12,1106802,1106819,1112133,5331,17,5314,45000,22899,23147,924,924,21853
13,1206848,1206865,1212127,5279,17,5262,45000,23147,23391,917,917,21609
14,1306894,1306911,1312136,5242,17,5225,45000,23391,23632,911,911,21368
15,1406940,1406957,1412132,5192,17,5175,45000,23632,23871,905,905,21129
16,1506987,1507004,1512129,5142,17,5125,45000,23871,24107,898,898,20893
17,1607033,1607050,1612141,5108,17,5091,45000,24107,24340,892,892,20660
18,1707079,1707096,1712134,5055,17,5038,45000,24340,24571,886,886,20429
19,1807124,1807141,1812132,5008,17,4991,45000,24571,24799,879,879,20201
20,1907170,1907187,1912127,4957,17,4940,45000,24799,25024,873,873,19976
21,2007216,2007233,2012136,4920,17,4903,45000,25024,25247,867,867,19753
22,2107263,2107279,2112130,4867,16,4851,45000,25247,25467,861,861,19533
23,2207308,2207325,2212130,4822,17,4805,45000,25467,25685,856,856,19315
24,2307355,2307372,2312140,4785,17,4768,45000,25685,25900,850,850,19100
25,2407400,2407417,2412136,4736,17,4719,45000,25900,26113,844,844,18887
26,2507446,2507463,2512130,4684,17,4667,45000,26113,26323,838,838,18677
27,2607492,2607509,2612127,4635,17,4618,45000,26323,26531,833,833,18469
28,2707538,2707555,2712136,4598,17,4581,45000,26531,26736,827,827,18264
29,2807585,2807602,2812133,4548,17,4531,45000,26736,26940,822,822,18060
30,2907630,2907647,2912128,4498,17,4481,45000,26940,27140,816,816,17860
31,3007676,3007693,3012130,4454,17,4437,45000,27140,27339,811,811,17661
32,3107722,3107738,3112163,4441,16,4425,45000,27339,27535,806,806,17465
33,3207768,3207785,3212158,4390,17,4373,45000,27535,27729,801,801,17271
34,3307814,3307831,3312158,4344,17,4327,45000,27729,27921,795,795,17079
35,3407860,3407877,3412132,4272,17,4255,45000,27921,28110,790,790,16890
36,3507906,3507923,3512131,4225,17,4208,45000,28110,28298,785,785,16702
37,3607952,3607969,3612127,4175,17,4158,45000,28298,28483,780,780,16517
38,3707998,3708014,3712136,4138,16,4122,45000,28483,28666,775,775,16334
39,3808044,3808061,3812131,4087,17,4070,45000,28666,28847,770,770,16153
40,3908090,3908107,3912131,4041,17,4024,45000,28847,29026,766,766,15974
41,4008137,4008153,4012136,3999,16,3983,45000,29026,29203,761,761,15797
42,4108182,4108199,4112133,3951,17,3934,45000,29203,29378,756,756,15622
43,4208228,4208245,4212129,3901,17,3884,45000,29378,29551,752,752,15449
44,4308274,4308290,4312127,3853,16,3837,45000,29551,29722,747,747,15278
45,4408320,4408336,4412136,3816,16,3800,45000,29722,29891,742,742,15109
46,4508367,4508383,4512137,3770,16,3754,45000,29891,30058,738,738,14942
47,4608412,4608429,4612129,3717,17,3700,45000,30058,30223,733,733,14777
