sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
173,1740163376,1758008768,1758172144,163376
174,1750147520,1768008768,1768156288,147520
175,1760160048,1778008768,1778168816,160048
176,1770196128,1788008768,1788204896,196128
177,1780240480,1798008768,1798249248,240480
178,1790165632,1808008768,1808174400,165632
179,1800161840,1818008768,1818170608,161840
180,1810146208,1828008768,1828154976,146208
181,1820235920,1838008768,1838244688,235920
182,1830150608,1848008768,1848159376,150608
183,1840176592,1858008768,1858185360,176592
184,1850147024,1868008768,1868155792,147024
185,1860124352,1878008768,1878133120,124352
186,1870244496,1888008768,1888253264,244496
187,1880178128,1898008768,1898186896,178128
188,1890236896,1908008768,1908245664,236896
189,1900167536,1918008768,1918176304,167536
190,1910145744,1928008768,1928154512,145744
191,1920326368,1938008768,1938335136,326368
192,1930163056,1948008768,1948171824,163056
193,1940242096,1958008768,1958250864,242096
194,1950145728,1968008768,1968154496,145728
195,1960266512,1978008768,1978275280,266512
196,1970154640,1988008768,1988163408,154640
197,1980100864,1998008768,1998109632,100864
198,1990157600,2008008768,2008166368,157600
199,2000244272,2018008768,2018253040,244272
200,2010145760,2028008768,2028154528,145760
201,2020239904,2038008768,2038248672,239904
202,2030224336,2048008768,2048233104,224336
203,2040165280,2058008768,2058174048,165280
204,2050224096,2068008768,2068232864,224096
205,2060285440,2078008768,2078294208,285440
206,2070162944,2088008768,2088171712,162944
207,2080246688,2098008768,2098255456,246688
208,2090149792,2108008768,2108158560,149792
209,2100172912,2118008768,2118181680,172912
210,2110141568,2128008768,2128150336,141568
211,2120238272,2138008768,2138247040,238272
212,2130156928,2148008768,2148165696,156928
213,2140237200,2158008768,2158245968,237200
214,2150147824,2168008768,2168156592,147824
215,2160266672,2178008768,2178275440,266672
216,2170148928,2188008768,2188157696,148928
217,2180234272,2198008768,2198243040,234272
218,2190153120,2208008768,2208161888,153120
219,2200251840,2218008768,2218260608,251840
220,2210150496,2228008768,2228159264,150496
221,2220171248,2238008768,2238180016,171248
222,2230170304,2248008768,2248179072,170304
223,2240235168,2258008768,2258243936,235168
224,2250148192,2268008768,2268156960,148192
225,2260283952,2278008768,2278292720,283952
226,2270149024,2288008768,2288157792,149024
227,2280229904,2298008768,2298238672,229904
228,2290153152,2308008768,2308161920,153152
229,2300191648,2318008768,2318200416,191648
230,2310148512,2328008768,2328157280,148512
231,2320231424,2338008768,2338240192,231424
232,2330156704,2348008768,2348165472,156704
233,2340245680,2358008768,2358254448,245680
234,2350149472,2368008768,2368158240,149472
235,2360289184,2378008768,2378297952,289184
236,2370156688,2388008768,2388165456,156688
237,2380270240,2398008768,2398279008,270240
238,2390148480,2408008768,2408157248,148480
239,2400271712,2418008768,2418280480,271712
240,2410162240,2428008768,2428171008,162240
241,2420262112,2438008768,2438270880,262112
242,2430173392,2448008768,2448182160,173392
243,2440269504,2458008768,2458278272,269504
244,2450162048,2468008768,2468170816,162048
245,2460287680,2478008768,2478296448,287680
246,2470166768,2488008768,2488175536,166768
247,2480272480,2498008768,2498281248,272480
248,2490158320,2508008768,2508167088,158320
249,2500269600,2518008768,2518278368,269600
250,2510162816,2528008768,2528171584,162816
251,2520262016,2538008768,2538270784,262016
252,2530179872,2548008768,2548188640,179872
253,2540264928,2558008768,2558273696,264928
254,2550156992,2568008768,2568165760,156992
255,2560189520,2578008768,2578198288,189520
256,2570184544,2588008768,2588193312,184544
257,2580266944,2598008768,2598275712,266944
258,2590151760,2608008768,2608160528,151760
259,2600267424,2618008768,2618276192,267424
260,2610165232,2628008768,2628174000,165232
261,2620264912,2638008768,2638273680,264912
262,2630157728,2648008768,2648166496,157728
263,2640268400,2658008768,2658277168,268400
264,2650159712,2668008768,2668168480,159712
265,2660316304,2678008768,2678325072,316304
266,2670165472,2688008768,2688174240,165472
267,2680196448,2698008768,2698205216,196448
268,2690155664,2708008768,2708164432,155664
269,2700169712,2718008768,2718178480,169712
270,2710156912,2728008768,2728165680,156912
271,2720269744,2738008768,2738278512,269744
272,2730167952,2748008768,2748176720,167952
273,2740279776,2758008768,2758288544,279776
274,2750164000,2768008768,2768172768,164000
275,2760284656,2778008768,2778293424,284656
276,2770166400,2788008768,2788175168,166400
277,2780264896,2798008768,2798273664,264896
278,2790169632,2808008768,2808178400,169632
279,2800272912,2818008768,2818281680,272912
280,2810162592,2828008768,2828171360,162592
281,2820268192,2838008768,2838276960,268192
282,2830165472,2848008768,2848174240,165472
283,2840271296,2858008768,2858280064,271296
284,2850159232,2868008768,2868168000,159232
285,2860164576,2878008768,2878173344,164576
286,2870168176,2888008768,2888176944,168176
287,2880262016,2898008768,2898270784,262016
288,2890159872,2908008768,2908168640,159872
289,2900266592,2918008768,2918275360,266592
290,2910152048,2928008768,2928160816,152048
291,2920138336,2938008768,2938147104,138336
292,2930157664,2948008768,2948166432,157664
293,2940263440,2958008768,2958272208,263440
294,2950153600,2968008768,2968162368,153600
295,2960283648,2978008768,2978292416,283648
296,2970162896,2988008768,2988171664,162896
297,2980266720,2998008768,2998275488,266720
298,2990156128,3008008768,3008164896,156128
299,3000169792,3018008768,3018178560,169792
