sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
173,1740237776,1757010272,1757248048,237776
174,1750260496,1767010272,1767270768,260496
175,1760271024,1777010272,1777281296,271024
176,1770224752,1787010272,1787235024,224752
177,1780230576,1797010272,1797240848,230576
178,1790394768,1807010272,1807405040,394768
179,1800423712,1817010272,1817433984,423712
180,1810289152,1827010272,1827299424,289152
181,1820226048,1837010272,1837236320,226048
182,1830379808,1847010272,1847390080,379808
183,1840113664,1857010272,1857123936,113664
184,1850236688,1867010272,1867246960,236688
185,1860369344,1877010272,1877379616,369344
186,1870288112,1887010272,1887298384,288112
187,1880206336,1897010272,1897216608,206336
188,1890154768,1907010272,1907165040,154768
189,1900286864,1917010272,1917297136,286864
190,1910200688,1927010272,1927210960,200688
191,1920234816,1937010272,1937245088,234816
192,1930291072,1947010272,1947301344,291072
193,1940209488,1957010272,1957219760,209488
194,1950265584,1967010272,1967275856,265584
195,1960489296,1977010272,1977499568,489296
196,1970286464,1987010272,1987296736,286464
197,1980224512,1997010272,1997234784,224512
198,1990190576,2007010272,2007200848,190576
199,2000248624,2017010272,2017258896,248624
200,2010196976,2027010272,2027207248,196976
201,2020212304,2037010272,2037222576,212304
202,2030338848,2047010272,2047349120,338848
203,2040191024,2057010272,2057201296,191024
204,2050303568,2067010272,2067313840,303568
205,2060518336,2077010272,2077528608,518336
206,2070417088,2087010272,2087427360,417088
207,2080298944,2097010272,2097309216,298944
208,2090506688,2107010272,2107516960,506688
209,2100379328,2117010272,2117389600,379328
210,2110177168,2127010272,2127187440,177168
211,2120398016,2137010272,2137408288,398016
212,2130458880,2147010272,2147469152,458880
213,2140301200,2157010272,2157311472,301200
214,2150435920,2167010272,2167446192,435920
215,2160524864,2177010272,2177535136,524864
216,2170342224,2187010272,2187352496,342224
217,2180375120,2197010272,2197385392,375120
218,2190472960,2207010272,2207483232,472960
219,2200453552,2217010272,2217463824,453552
220,2210195344,2227010272,2227205616,195344
221,2220221104,2237010272,2237231376,221104
222,2230306096,2247010272,2247316368,306096
223,2240225952,2257010272,2257236224,225952
224,2250371808,2267010272,2267382080,371808
225,2260441984,2277010272,2277452256,441984
226,2270214560,2287010272,2287224832,214560
227,2280311280,2297010272,2297321552,311280
228,2290410048,2307010272,2307420320,410048
229,2300365792,2317010272,2317376064,365792
230,2310196336,2327010272,2327206608,196336
231,2320227248,2337010272,2337237520,227248
232,2330251856,2347010272,2347262128,251856
233,2340198160,2357010272,2357208432,198160
234,2350285376,2367010272,2367295648,285376
235,2360380160,2377010272,2377390432,380160
236,2370237632,2387010272,2387247904,237632
237,2380224928,2397010272,2397235200,224928
238,2390316592,2407010272,2407326864,316592
239,2400345584,2417010272,2417355856,345584
240,2410194272,2427010272,2427204544,194272
241,2420230016,2437010272,2437240288,230016
242,2430299392,2447010272,2447309664,299392
243,2440172752,2457010272,2457183024,172752
244,2450222864,2467010272,2467233136,222864
245,2460376864,2477010272,2477387136,376864
246,2470351968,2487010272,2487362240,351968
247,2480211712,2497010272,2497221984,211712
248,2490370640,2507010272,2507380912,370640
249,2500268032,2517010272,2517278304,268032
250,2510097072,2527010272,2527107344,97072
251,2520231632,2537010272,2537241904,231632
252,2530350048,2547010272,2547360320,350048
253,2540513808,2557010272,2557524080,513808
254,2550310336,2567010272,2567320608,310336
255,2560508944,2577010272,2577519216,508944
256,2570367424,2587010272,2587377696,367424
257,2580188768,2597010272,2597199040,188768
258,2590308784,2607010272,2607319056,308784
259,2600357584,2617010272,2617367856,357584
260,2610259536,2627010272,2627269808,259536
261,2620381376,2637010272,2637391648,381376
262,2630420032,2647010272,2647430304,420032
