sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,237810,237826,247439,9629,16,9613,45000,20000,20266,951,951,24734
2,337858,337874,344832,6974,16,6958,45000,20266,20543,992,992,24457
3,437902,437919,444869,6967,17,6950,45000,20543,20817,986,986,24183
4,537950,537966,544870,6920,16,6904,45000,20817,21088,979,979,23912
5,637996,638012,644868,6872,16,6856,45000,21088,21356,972,972,23644
6,738043,738059,744864,6821,16,6805,45000,21356,21620,965,965,23380
7,838089,838105,844862,6773,16,6757,45000,21620,21882,958,958,23118
8,938135,938151,944870,6735,16,6719,45000,21882,22141,951,951,22859
9,1038181,1038198,1044866,6685,17,6668,45000,22141,22397,944,944,22603
10,1138227,1138243,1144862,6635,16,6619,45000,22397,22649,937,937,22351
11,1238274,1238290,1244873,6599,16,6583,45000,22649,22899,931,931,22101
12,1338320,1338336,1344865,6545,16,6529,45000,22899,23147,924,924,21853
13,1438367,1438383,1444866,6499,16,6483,45000,23147,23391,917,917,21609
14,1538412,1538429,1544860,6448,17,6431,45000,23391,23632,911,911,21368
15,1638458,1638475,1644871,6413,17,6396,45000,23632,23871,905,905,21129
16,1738505,1738522,1744865,6360,17,6343,45000,23871,24107,898,898,20893
17,1838551,1838567,1844868,6317,16,6301,45000,24107,24340,892,892,20660
18,1938598,1938614,1944870,6272,16,6256,45000,24340,24571,886,886,20429
19,2038644,2038660,2044868,6224,16,6208,45000,24571,24799,879,879,20201
20,2138690,2138706,2144867,6177,16,6161,45000,24799,25024,873,873,19976
21,2238736,2238752,2244862,6126,16,6110,45000,25024,25247,867,867,19753
22,2338781,2338798,2344872,6091,17,6074,45000,25247,25467,861,861,19533
23,2438828,2438844,2444865,6037,16,6021,45000,25467,25685,856,856,19315
24,2538872,2538889,2544863,5991,17,5974,45000,25685,25900,850,850,19100
25,2638919,2638935,2644873,5954,16,5938,45000,25900,26113,844,844,18887
26,2738965,2738981,2744868,5903,16,5887,45000,26113,26323,838,838,18677
27,2839011,2839028,2844871,5860,17,5843,45000,26323,26531,833,833,18469
28,2939058,2939074,2944866,5808,16,5792,45000,26531,26736,827,827,18264
29,3039104,3039121,3044902,5798,17,5781,45000,26736,26940,822,822,18060
30,3139153,3139169,3144890,5737,16,5721,45000,26940,27140,816,816,17860
31,3239199,3239215,3244893,5694,16,5678,45000,27140,27339,811,811,17661
32,3339245,3339261,3344867,5622,16,5606,45000,27339,27535,806,806,17465
33,3439291,3439307,3444867,5576,16,5560,45000,27535,27729,801,801,17271
34,3539337,3539353,3544863,5526,16,5510,45000,27729,27921,795,795,17079
35,3639382,3639399,3644871,5489,17,5472,65000,27921,28169,1000,1000,36831
36,3739428,3739445,3744863,5435,17,5418,65000,28169,28417,1000,1000,36583
37,3839474,3839490,3844867,5393,16,5377,65000,28417,28663,1000,1000,36337
38,3939520,3939537,3944862,5342,17,5325,65000,28663,28908,1000,1000,36092
39,4039566,4039582,4044871,5305,16,5289,65000,28908,29153,1000,1000,35847
40,4139613,4139629,4144865,5252,16,5236,65000,29153,29396,1000,1000,35604
41,4239658,4239675,4244865,5207,17,5190,65000,29396,29638,1000,1000,35362
42,4339705,4339721,4344869,5164,16,5148,65000,29638,29880,1000,1000,35120
43,4439751,4439767,4444865,5114,16,5098,65000,29880,30120,1000,1000,34880
44,4539797,4539814,4544867,5070,17,5053,65000,30120,30360,1000,1000,34640
45,4639844,4639860,4644861,5017,16,5001,65000,30360,30598,1000,1000,34402
46,4739889,4739906,4744871,4982,17,4965,65000,30598,30836,1000,1000,34164
47,4839935,4839952,4844865,4930,17,4913,65000,30836,31073,1000,1000,33927
48,4939981,4939997,4944866,4885,16,4869,65000,31073,31308,1000,1000,33692
49,5040026,5040043,5044870,4844,17,4827,65000,31308,31543,1000,1000,33457
50,5140072,5140089,5144866,4794,17,4777,65000,31543,31777,1000,1000,33223
51,5240118,5240134,5244867,4749,16,4733,65000,31777,32010,1000,1000,32990
52,5340165,5340181,5344861,4696,16,4680,65000,32010,32242,1000,1000,32758
53,5440210,5440226,5444874,4664,16,4648,65000,32242,32473,1000,1000,32527
54,5540257,5540273,5544867,4610,16,4594,65000,32473,32703,1000,1000,32297
55,5640302,5640318,5644866,4564,16,4548,65000,32703,32932,1000,1000,32068
56,5740348,5740365,5744871,4523,17,4506,65000,32932,33160,1000,1000,31840
57,5840410,5840428,5844867,4457,18,4439,65000,33160,33388,1000,1000,31612
58,5940432,5940449,5944867,4435,17,4418,65000,33388,33614,1000,1000,31386
59,6040478,6040494,6044869,4391,16,4375,65000,33614,33840,1000,1000,31160
60,6140523,6140540,6144861,4338,17,4321,65000,33840,34064,1000,1000,30936
61,6240567,6240583,6244879,4312,16,4296,65000,34064,34288,1000,1000,30712
62,6340628,6340644,6344873,4245,16,4229,65000,34288,34511,1000,1000,30489
63,6440672,6440689,6444870,4198,17,4181,65000,34511,34733,1000,1000,30267
64,6540718,6540734,6544868,4150,16,4134,65000,34733,34954,1000,1000,30046
