sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5225,5569,21598,16373,344,16029,45000,20000,20266,951,951,24734
2,105613,105629,117229,11616,16,11600,45000,20266,20543,992,992,24457
3,205657,205674,217303,11646,17,11629,45000,20543,20817,986,986,24183
4,305703,305719,317336,11633,16,11617,45000,20817,21088,979,979,23912
5,405776,405792,528097,122321,16,122305,45000,21088,21356,972,972,23644
6,528122,528137,531299,3177,15,3162,45000,21356,21620,965,965,23380
7,628170,628187,637742,9572,17,9555,45000,21620,21882,958,958,23118
8,728215,728232,737774,9559,17,9542,45000,21882,22141,951,951,22859
9,828265,828281,837769,9504,16,9488,45000,22141,22397,944,944,22603
10,928309,928326,1049113,120804,17,120787,45000,22397,22649,937,937,22351
11,1049138,1049153,1057765,8627,15,8612,45000,22649,22899,931,931,22101
12,1149186,1149202,1157770,8584,16,8568,45000,22899,23147,924,924,21853
13,1249230,1249247,1257778,8548,17,8531,45000,23147,23391,917,917,21609
14,1349276,1349292,1357773,8497,16,8481,45000,23391,23632,911,911,21368
15,1449321,1449337,1569106,119785,16,119769,45000,23632,23871,905,905,21129
16,1569131,1569147,1577760,8629,16,8613,45000,23871,24107,898,898,20893
17,1669180,1669196,1677773,8593,16,8577,45000,24107,24340,892,892,20660
18,1769224,1769240,1777776,8552,16,8536,45000,24340,24571,886,886,20429
19,1869269,1869285,1877778,8509,16,8493,45000,24571,24799,879,879,20201
20,1969314,1969331,2089110,119796,17,119779,45000,24799,25024,873,873,19976
21,2089135,2089151,2097757,8622,16,8606,45000,25024,25247,867,867,19753
22,2189183,2189200,2197782,8599,17,8582,45000,25247,25467,861,861,19533
23,2289249,2289265,2297776,8527,16,8511,45000,25467,25685,856,856,19315
24,2389294,2389311,2397773,8479,17,8462,45000,25685,25900,850,850,19100
25,2489339,2489356,2609118,119779,17,119762,45000,25900,26113,844,844,18887
26,2609143,2609159,2617747,8604,16,8588,45000,26113,26323,838,838,18677
27,2709191,2709208,2717778,8587,17,8570,45000,26323,26531,833,833,18469
28,2809255,2809271,2817770,8515,16,8499,45000,26531,26736,827,827,18264
29,2909300,2909316,2917807,8507,16,8491,45000,26736,26940,822,822,18060
30,3009347,3009364,3129137,119790,17,119773,45000,26940,27140,816,816,17860
31,3129162,3129178,3137802,8640,16,8624,45000,27140,27339,811,811,17661
32,3229211,3229228,3237757,8546,17,8529,45000,27339,27535,806,806,17465
33,3329276,3329293,3337776,8500,17,8483,45000,27535,27729,801,801,17271
34,3429321,3429337,3437769,8448,16,8432,45000,27729,27921,795,795,17079
35,3529366,3529382,3649110,119744,16,119728,65000,27921,28169,1000,1000,36831
36,3649135,3649151,3657761,8626,16,8610,65000,28169,28417,1000,1000,36583
37,3749183,3749200,3757770,8587,17,8570,65000,28417,28663,1000,1000,36337
38,3849229,3849246,3857780,8551,17,8534,65000,28663,28908,1000,1000,36092
39,3949275,3949292,3957773,8498,17,8481,65000,28908,29153,1000,1000,35847
40,4049320,4049337,4169107,119787,17,119770,65000,29153,29396,1000,1000,35604
41,4169132,4169148,4177757,8625,16,8609,65000,29396,29638,1000,1000,35362
42,4269180,4269197,4277776,8596,17,8579,65000,29638,29880,1000,1000,35120
43,4369241,4369257,4377772,8531,16,8515,65000,29880,30120,1000,1000,34880
44,4469285,4469302,4477779,8494,17,8477,65000,30120,30360,1000,1000,34640
45,4569331,4569348,4689111,119780,17,119763,65000,30360,30598,1000,1000,34402
46,4689137,4689153,4697760,8623,16,8607,65000,30598,30836,1000,1000,34164
47,4789185,4789201,4797776,8591,16,8575,65000,30836,31073,1000,1000,33927
48,4889244,4889261,4897779,8535,17,8518,65000,31073,31308,1000,1000,33692
49,4989289,4989306,4997771,8482,17,8465,65000,31308,31543,1000,1000,33457
50,5089333,5089350,5209135,119802,17,119785,65000,31543,31777,1000,1000,33223
51,5209161,5209176,5217744,8583,15,8568,65000,31777,32010,1000,1000,32990
52,5309208,5309224,5317776,8568,16,8552,65000,32010,32242,1000,1000,32758
53,5409272,5409288,5417771,8499,16,8483,65000,32242,32473,1000,1000,32527
54,5509317,5509334,5517783,8466,17,8449,65000,32473,32703,1000,1000,32297
55,5609363,5609379,5729133,119770,16,119754,65000,32703,32932,1000,1000,32068
56,5729159,5729174,5737762,8603,15,8588,65000,32932,33160,1000,1000,31840
