sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns,device_us
1,3f000000,3ea00000,00000000,00000000,3f738000,951,22914791,16700
2,3efd46b2,3ea00000,3e883127,3f7374bc,3f7dc000,991,2093583,2000
3,3efa708f,3ea00000,3e8dd2f2,3f7db22d,3f7c8000,986,1989458,1874
4,3ef7a249,3ea00000,3e8c49ba,3f7c6a7f,3f7aa000,979,1861125,1771
5,3ef4de7f,3ea00000,3e8a3d71,3f7a9fbe,3f78e000,972,1841583,1729
6,3ef21ff3,3ea00000,3e89374c,3f78d4fe,3f770000,965,1759916,1670
7,3eef6944,3ea00000,3e87ae14,3f770a3d,3f752000,958,1752333,1635
8,3eecba73,3ea00000,3e8624dd,3f753f7d,3f736000,951,1752625,1662
9,3eea137f,3ea00000,3e849ba6,3f7374bc,3f71a000,944,1748542,1658
10,3ee77708,3ea00000,3e828f5c,3f71a9fc,3f700000,938,1759041,1668
11,3ee4dfce,3ea00000,3e818937,3f7020c5,3f6e4000,931,1756708,1667
12,3ee25072,3ea00000,3e800000,3f6e5604,3f6c8000,924,1762250,1672
13,3edfc654,3ea00000,3e7df3b6,3f6c8b44,3f6ac000,917,1766333,1676
14,3edd46b2,3ea00000,3e79db23,3f6ac083,3f692000,911,1761667,1672
15,3edaceee,3ea00000,3e76c8b4,3f69374c,3f678000,904,1756708,1667
16,3ed85c68,3ea00000,3e74bc6a,3f676c8b,3f65e000,898,1755833,1667
17,3ed5f1bf,3ea00000,3e71a9fc,3f65e354,3f644000,892,1755542,1668
18,3ed38ef3,3ea00000,3e6e978d,3f645a1d,3f62a000,885,1755834,1668
19,3ed13166,3ea00000,3e6c8b44,3f628f5c,3f612000,879,1754666,1642
20,3ecede55,3ea00000,3e6872b0,3f610625,3f5fa000,874,1722583,1635
21,3ecc8de3,3ea00000,3e676c8b,3f5fbe77,3f5e0000,867,1720834,1633
22,3eca454e,3ea00000,3e645a1d,3f5df3b6,3f5c8000,861,1722583,1635
23,3ec80496,3ea00000,3e6147ae,3f5c6a7f,3f5b0000,855,1722292,1634
24,3ec5cbbc,3ea00000,3e5e353f,3f5ae148,3f598000,850,1723459,1636
25,3ec39581,3ea00000,3e5d2f1b,3f59999a,3f580000,844,1723166,1636
26,3ec169c2,3ea00000,3e591687,3f581062,3f56a000,838,1719375,1631
27,3ebf4342,3ea00000,3e570a3d,3f56872b,3f552000,833,1723458,1636
28,3ebd21ff,3ea00000,3e54fdf4,3f553f7d,3f53c000,827,1720541,1633
29,3ebb05fb,3ea00000,3e52f1aa,3f53b646,3f526000,822,1725500,1638
30,3eb8f1d4,3ea00000,3e4fdf3b,3f526e98,3f510000,816,1720541,1634
31,3eb6e2eb,3ea00000,3e4dd2f2,3f50e560,3f4fa000,811,1718500,1631
32,3eb4dbe0,3ea00000,3e4ac083,3f4f9db2,3f4e4000,806,1722875,1634
33,3eb2d773,3ea00000,3e49ba5e,3f4e5604,3f4ce000,800,1716750,1630
34,3eb0dd83,3ea00000,3e45a1cb,3f4ccccd,3f4ba000,795,1711208,1624
35,3eaee632,3ea00000,3e449ba6,3f4b851f,3f4a4000,790,1712959,1625
36,3eacf41f,3ea00000,3e428f5c,3f4a3d71,3f490000,785,1715583,1628
37,3eab09ea,3ea00000,3e3f7cee,3f48f5c3,3f47c000,780,1712667,1625
38,3ea924f2,3ea00000,3e3d70a4,3f47ae14,3f468000,775,1706833,1620
39,3ea74539,3ea00000,3e3b645a,3f466666,3f454000,771,1706250,1618
40,3ea5681f,3ea00000,3e3a5e35,3f456042,3f43e000,765,1698667,1590
41,3ea39581,3ea00000,3e3645a2,3f43d70a,3f42e000,761,1675625,1588
42,3ea1c582,3ea00000,3e353f7d,3f42d0e5,3f418000,756,1680000,1592
43,3e9ffac2,3ea00000,3e333333,3f418937,3f406000,751,1676500,1589
44,3e9e353f,3ea00000,3e3126e9,3f404189,3f3f4000,747,1675916,1589
45,3e9c74fb,3ea00000,3e2f1aa0,3f3f3b64,3f3e0000,742,1675334,1588
46,3e9ab9f5,3ea00000,3e2d0e56,3f3df3b6,3f3ce000,738,1676792,1590
47,3e99042e,3ea00000,3e2b020c,3f3ced91,3f3bc000,733,1676500,1589
48,3e9753a4,3ea00000,3e28f5c3,3f3ba5e3,3f3aa000,729,1680583,1594
49,3e95a858,3ea00000,3e26e979,3f3a9fbe,3f398000,725,1676208,1589
50,3e93ffac,3ea00000,3e25e354,3f39999a,3f386000,720,1677959,1591
51,3e925edd,3ea00000,3e22d0e5,3f3851ec,3f376000,716,1675917,1589
52,3e90c0ad,3ea00000,3e21cac1,3f374bc7,3f364000,712,1678833,1592
53,3e8f27bb,3ea00000,3e1fbe77,3f3645a2,3f352000,708,1675917,1589
54,3e8d9408,3ea00000,3e1db22d,3f353f7d,3f342000,704,1674166,1588
55,3e8c0592,3ea00000,3e1ba5e3,3f343958,3f332000,700,1675917,1589
56,3e8a79bc,3ea00000,3e1a9fbe,3f333333,3f322000,696,1676791,1589
57,3e88f323,3ea00000,3e189375,3f322d0e,3f312000,692,1679417,1592
58,3e8771c9,3ea00000,3e16872b,3f3126e9,3f302000,688,1677375,1591
59,3e85f30e,3ea00000,3e158106,3f3020c5,3f2f2000,684,1676209,1589
60,3e847c31,3ea00000,3e126e98,3f2f1aa0,3f2e2000,680,1675334,1588
61,3e830553,3ea00000,3e126e98,3f2e147b,3f2d2000,676,1679709,1592
62,3e819653,3ea00000,3e0f5c29,3f2d0e56,3f2c4000,673,1705958,1594
63,3e8029f1,3ea00000,3e0e5604,3f2c49ba,3f2b4000,669,1707708,1618
64,3e7d805e,3ea00000,3e0d4fdf,3f2b4396,3f2a4000,665,1709459,1621
65,3e7abc94,3ea00000,3e0a3d71,3f2a3d71,3f296000,662,1714708,1625
66,3e77f8cb,3ea00000,3e0a3d71,3f2978d5,3f286000,658,1715292,1625
67,3e7544bb,3ea00000,3e072b02,3f2872b0,3f27a000,655,1712375,1623
68,3e7290ac,3ea00000,3e072b02,3f27ae14,3f26a000,651,1711792,1623
69,3e6fec57,3ea00000,3e041893,3f26a7f0,3f25c000,647,1706542,1617
70,3e6d4d40,3ea00000,3e03126f,3f25a1cb,3f24e000,644,1718209,1631
71,3e6ab368,3ea00000,3e020c4a,3f24dd2f,3f240000,641,1716167,1628
72,3e68240b,3ea00000,3e000000,3f241893,3f234000,638,1719084,1631
73,3e6599ed,3ea00000,3dfdf3b6,3f2353f8,3f226000,634,1718500,1630
74,3e63150e,3ea00000,3dfbe76d,3f224dd3,3f218000,631,1719083,1631
75,3e609aaa,3ea00000,3df7ced9,3f218937,3f20a000,627,1717625,1630
76,3e5e2ac3,3ea00000,3df3b646,3f208312,3f1fe000,625,1714417,1626
77,3e5bc01a,3ea00000,3df1a9fc,3f200000,3f1f2000,622,1714125,1626
78,3e595aaf,3ea00000,3def9db2,3f1f3b64,3f1e4000,618,1719375,1631
79,3e56fa83,3ea00000,3ded9168,3f1e353f,3f1d8000,615,1717917,1629
80,3e54a4d3,3ea00000,3de978d5,3f1d70a4,3f1cc000,612,1719667,1631
81,3e525461,3ea00000,3de76c8b,3f1cac08,3f1be000,609,1717625,1629
82,3e50092d,3ea00000,3de56042,3f1be76d,3f1b2000,606,1722291,1634
83,3e4dc875,3ea00000,3de147ae,3f1b22d1,3f1a6000,603,1715292,1627
84,3e4b8cfc,3ea00000,3ddf3b64,3f1a5e35,3f19a000,600,1717625,1629
