policy,step,elapsed_ms,setpoint_milli_c,measured_milli_c,actuator_permille,error_milli_c
manual-fixed,120,12100,45000,33450,500,11550
manual-fixed,121,12200,45000,33536,500,11464
manual-fixed,122,12300,45000,33622,500,11378
manual-fixed,123,12400,45000,33708,500,11292
manual-fixed,124,12500,45000,33793,500,11207
manual-fixed,125,12600,45000,33878,500,11122
manual-fixed,126,12700,45000,33962,500,11038
manual-fixed,127,12800,45000,34046,500,10954
manual-fixed,128,12900,45000,34130,500,10870
manual-fixed,129,13000,45000,34213,500,10787
manual-fixed,130,13100,45000,34297,500,10703
manual-fixed,131,13200,45000,34379,500,10621
manual-fixed,132,13300,45000,34462,500,10538
manual-fixed,133,13400,45000,34544,500,10456
manual-fixed,134,13500,45000,34626,500,10374
manual-fixed,135,13600,45000,34707,500,10293
manual-fixed,136,13700,45000,34789,500,10211
manual-fixed,137,13800,45000,34869,500,10131
manual-fixed,138,13900,45000,34950,500,10050
manual-fixed,139,14000,45000,35030,500,9970
manual-fixed,140,14100,45000,35110,500,9890
manual-fixed,141,14200,45000,35190,500,9810
manual-fixed,142,14300,45000,35269,500,9731
manual-fixed,143,14400,45000,35348,500,9652
manual-fixed,144,14500,45000,35426,500,9574
manual-fixed,145,14600,45000,35505,500,9495
manual-fixed,146,14700,45000,35583,500,9417
manual-fixed,147,14800,45000,35660,500,9340
manual-fixed,148,14900,45000,35738,500,9262
manual-fixed,149,15000,45000,35815,500,9185
manual-fixed,150,15100,45000,35891,500,9109
manual-fixed,151,15200,45000,35968,500,9032
manual-fixed,152,15300,45000,36044,500,8956
manual-fixed,153,15400,45000,36120,500,8880
manual-fixed,154,15500,45000,36195,500,8805
manual-fixed,155,15600,45000,36271,500,8729
manual-fixed,156,15700,45000,36345,500,8655
manual-fixed,157,15800,45000,36420,500,8580
manual-fixed,158,15900,45000,36494,500,8506
manual-fixed,159,16000,45000,36568,500,8432
manual-fixed,160,16100,45000,36642,500,8358
manual-fixed,161,16200,45000,36716,500,8284
manual-fixed,162,16300,45000,36789,500,8211
manual-fixed,163,16400,45000,36862,500,8138
manual-fixed,164,16500,45000,36934,500,8066
manual-fixed,165,16600,45000,37006,500,7994
manual-fixed,166,16700,45000,37078,500,7922
manual-fixed,167,16800,45000,37150,500,7850
manual-fixed,168,16900,45000,37221,500,7779
manual-fixed,169,17000,45000,37293,500,7707
manual-fixed,170,17100,45000,37363,500,7637
manual-fixed,171,17200,45000,37434,500,7566
manual-fixed,172,17300,45000,37504,500,7496
manual-fixed,173,17400,45000,37574,500,7426
manual-fixed,174,17500,45000,37644,500,7356
manual-fixed,175,17600,45000,37713,500,7287
manual-fixed,176,17700,45000,37782,500,7218
manual-fixed,177,17800,45000,37851,500,7149
manual-fixed,178,17900,45000,37920,500,7080
manual-fixed,179,18000,45000,37988,500,7012
manual-fixed,180,18100,45000,38056,500,6944
manual-fixed,181,18200,45000,38124,500,6876
manual-fixed,182,18300,45000,38192,500,6808
manual-fixed,183,18400,45000,38259,500,6741
manual-fixed,184,18500,45000,38326,500,6674
manual-fixed,185,18600,45000,38392,500,6608
manual-fixed,186,18700,45000,38459,500,6541
manual-fixed,187,18800,45000,38525,500,6475
manual-fixed,188,18900,45000,38591,500,6409
manual-fixed,189,19000,45000,38657,500,6343
manual-fixed,190,19100,45000,38722,500,6278
manual-fixed,191,19200,45000,38787,500,6213
manual-fixed,192,19300,45000,38852,500,6148
manual-fixed,193,19400,45000,38917,500,6083
manual-fixed,194,19500,45000,38981,500,6019
manual-fixed,195,19600,45000,39045,500,5955
manual-fixed,196,19700,45000,39109,500,5891
manual-fixed,197,19800,45000,39172,500,5828
manual-fixed,198,19900,45000,39236,500,5764
manual-fixed,199,20000,45000,39299,500,5701
manual-fixed,200,20100,45000,39361,500,5639
manual-fixed,201,20200,45000,39424,500,5576
manual-fixed,202,20300,45000,39486,500,5514
manual-fixed,203,20400,45000,39548,500,5452
manual-fixed,204,20500,45000,39610,500,5390
manual-fixed,205,20600,45000,39672,500,5328
manual-fixed,206,20700,45000,39733,500,5267
manual-fixed,207,20800,45000,39794,500,5206
manual-fixed,208,20900,45000,39855,500,5145
manual-fixed,209,21000,45000,39916,500,5084
manual-fixed,210,21100,45000,39976,500,5024
manual-fixed,211,21200,45000,40036,500,4964
manual-fixed,212,21300,45000,40096,500,4904
manual-fixed,213,21400,45000,40155,500,4845
manual-fixed,214,21500,45000,40215,500,4785
manual-fixed,215,21600,45000,40274,500,4726
manual-fixed,216,21700,45000,40333,500,4667
manual-fixed,217,21800,45000,40392,500,4608
manual-fixed,218,21900,45000,40450,500,4550
manual-fixed,219,22000,45000,40508,500,4492
manual-fixed,220,22100,45000,40566,500,4434
manual-fixed,221,22200,45000,40624,500,4376
manual-fixed,222,22300,45000,40681,500,4319
manual-fixed,223,22400,45000,40739,500,4261
manual-fixed,224,22500,45000,40796,500,4204
manual-fixed,225,22600,45000,40853,500,4147
manual-fixed,226,22700,45000,40909,500,4091
manual-fixed,227,22800,45000,40965,500,4035
manual-fixed,228,22900,45000,41022,500,3978
manual-fixed,229,23000,45000,41078,500,3922
manual-fixed,230,23100,45000,41133,500,3867
manual-fixed,231,23200,45000,41189,500,3811
manual-fixed,232,23300,45000,41244,500,3756
manual-fixed,233,23400,45000,41299,500,3701
manual-fixed,234,23500,45000,41354,500,3646
manual-fixed,235,23600,45000,41408,500,3592
manual-fixed,236,23700,45000,41463,500,3537
manual-fixed,237,23800,45000,41517,500,3483
manual-fixed,238,23900,45000,41571,500,3429
manual-fixed,239,24000,45000,41625,500,3375
manual-fixed,240,24100,45000,41678,500,3322
manual-fixed,241,24200,45000,41731,500,3269
manual-fixed,242,24300,45000,41784,500,3216
manual-fixed,243,24400,45000,41837,500,3163
manual-fixed,244,24500,45000,41890,500,3110
manual-fixed,245,24600,45000,41942,500,3058
manual-fixed,246,24700,45000,41995,500,3005
manual-fixed,247,24800,45000,42047,500,2953
manual-fixed,248,24900,45000,42098,500,2902
manual-fixed,249,25000,45000,42150,500,2850
manual-fixed,250,25100,45000,42201,500,2799
manual-fixed,251,25200,45000,42253,500,2747
manual-fixed,252,25300,45000,42304,500,2696
manual-fixed,253,25400,45000,42354,500,2646
manual-fixed,254,25500,45000,42405,500,2595
manual-fixed,255,25600,45000,42455,500,2545
manual-fixed,256,25700,45000,42506,500,2494
manual-fixed,257,25800,45000,42555,500,2445
manual-fixed,258,25900,45000,42605,500,2395
manual-fixed,259,26000,45000,42655,500,2345
manual-fixed,260,26100,45000,42704,500,2296
manual-fixed,261,26200,45000,42753,500,2247
manual-fixed,262,26300,45000,42802,500,2198
manual-fixed,263,26400,45000,42851,500,2149
manual-fixed,264,26500,45000,42900,500,2100
manual-fixed,265,26600,45000,42948,500,2052
manual-fixed,266,26700,45000,42996,500,2004
manual-fixed,267,26800,45000,43044,500,1956
manual-fixed,268,26900,45000,43092,500,1908
manual-fixed,269,27000,45000,43140,500,1860
manual-fixed,270,27100,45000,43187,500,1813
manual-fixed,271,27200,45000,43235,500,1765
manual-fixed,272,27300,45000,43282,500,1718
manual-fixed,273,27400,45000,43328,500,1672
manual-fixed,274,27500,45000,43375,500,1625
manual-fixed,275,27600,45000,43422,500,1578
manual-fixed,276,27700,45000,43468,500,1532
manual-fixed,277,27800,45000,43514,500,1486
manual-fixed,278,27900,45000,43560,500,1440
manual-fixed,279,28000,45000,43606,500,1394
manual-fixed,280,28100,45000,43651,500,1349
manual-fixed,281,28200,45000,43697,500,1303
manual-fixed,282,28300,45000,43742,500,1258
manual-fixed,283,28400,45000,43787,500,1213
manual-fixed,284,28500,45000,43832,500,1168
manual-fixed,285,28600,45000,43877,500,1123
manual-fixed,286,28700,45000,43921,500,1079
manual-fixed,287,28800,45000,43965,500,1035
manual-fixed,288,28900,45000,44010,500,990
manual-fixed,289,29000,45000,44053,500,947
manual-fixed,290,29100,45000,44097,500,903
manual-fixed,291,29200,45000,44141,500,859
manual-fixed,292,29300,45000,44184,500,816
manual-fixed,293,29400,45000,44228,500,772
manual-fixed,294,29500,45000,44271,500,729
manual-fixed,295,29600,45000,44314,500,686
manual-fixed,296,29700,45000,44356,500,644
manual-fixed,297,29800,45000,44399,500,601
manual-fixed,298,29900,45000,44441,500,559
manual-fixed,299,30000,45000,44484,500,516
manual-fixed,300,30100,45000,44526,500,474
manual-fixed,301,30200,45000,44568,500,432
manual-fixed,302,30300,45000,44609,500,391
manual-fixed,303,30400,45000,44651,500,349
manual-fixed,304,30500,45000,44692,500,308
manual-fixed,305,30600,45000,44733,500,267
manual-fixed,306,30700,45000,44774,500,226
manual-fixed,307,30800,45000,44815,500,185
manual-fixed,308,30900,45000,44856,500,144
manual-fixed,309,31000,45000,44897,500,103
manual-fixed,310,31100,45000,44937,500,63
manual-fixed,311,31200,45000,44977,500,23
