run,mode,samples,first_ms,last_ms,overall_rmse,mean_rtt_ms,t300_rmse,t800_rmse,t500_rmse,t300_settle_ms,t800_settle_ms,t500_settle_ms,t300_overshoot,t800_overshoot,t500_overshoot
run-1,ai,380,153,39397,29.206839501805234,103.63684210526316,49.12166019181355,40.81717904587673,21.7514669801711,,,831,149,33,130
run-2,ai,378,132,39027,29.341719580428613,103.1931216931217,49.12166019181355,40.775682091168015,21.626806282944322,,,783,149,33,130
run-3,ai,377,148,39119,29.322274058608922,103.70557029177719,49.12166019181355,40.81717904587673,21.638844316028834,,,739,149,33,130
run-4,baseline,442,124,40135,191.26873374074324,90.76923076923077,102.92358403662105,219.31173330133606,192.2272403344685,,,,46,0,0
run-5,baseline,448,106,40461,190.63927347030494,90.27901785714286,103.51029812623389,217.9878854015016,192.21685956470478,,,,46,0,0
run-6,baseline,443,125,40175,190.66824982110154,90.65462753950338,102.61194637302978,216.70925222518767,192.22517572320797,,,,46,0,0
