sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5310,5657,29919,24609,347,24262,45000,20000,25585,951,951,19415
2,105698,105715,112539,6841,17,6824,45000,25585,25563,0,0,19437
3,205744,205761,212570,6826,17,6809,45000,25563,25768,811,811,19232
4,305810,305827,312563,6753,17,6736,45000,25768,25981,845,845,19019
5,405857,405873,412568,6711,16,6695,45000,25981,26193,842,842,18807
6,505904,505920,512556,6652,16,6636,45000,26193,26403,836,836,18597
7,605951,605968,612552,6601,17,6584,45000,26403,26610,831,831,18390
8,705999,706016,712572,6573,17,6556,45000,26610,26814,825,825,18186
9,806046,806063,812558,6512,17,6495,45000,26814,27016,820,820,17984
10,906093,906110,912555,6462,17,6445,45000,27016,27216,814,814,17784
11,1006140,1006175,1012570,6430,35,6395,45000,27216,27414,809,809,17586
12,1106185,1106201,1112559,6374,16,6358,45000,27414,27609,804,804,17391
13,1206231,1206247,1212553,6322,16,6306,45000,27609,27803,799,799,17197
14,1306277,1306294,1312550,6273,17,6256,45000,27803,27994,793,793,17006
15,1406324,1406341,1412572,6248,17,6231,45000,27994,28182,788,788,16818
16,1506370,1506387,1512558,6188,17,6171,45000,28182,28369,783,783,16631
17,1606417,1606434,1612554,6137,17,6120,45000,28369,28553,778,778,16447
18,1706464,1706481,1712559,6095,17,6078,45000,28553,28736,774,774,16264
19,1806511,1806528,1812557,6046,17,6029,45000,28736,28916,769,769,16084
20,1906557,1906573,1912554,5997,16,5981,45000,28916,29094,764,764,15906
21,2006604,2006621,2012562,5958,17,5941,45000,29094,29270,759,759,15730
22,2106650,2106667,2112565,5915,17,5898,45000,29270,29444,754,754,15556
23,2206696,2206713,2212556,5860,17,5843,45000,29444,29617,750,750,15383
24,2306742,2306759,2312564,5822,17,5805,45000,29617,29787,745,745,15213
25,2406790,2406807,2412560,5770,17,5753,45000,29787,29955,741,741,15045
26,2506836,2506853,2512561,5725,17,5708,45000,29955,30121,736,736,14879
27,2606883,2606900,2612556,5673,17,5656,45000,30121,30286,732,732,14714
28,2706930,2706946,2712552,5622,16,5606,45000,30286,30448,727,727,14552
29,2806976,2806993,2812583,5607,17,5590,45000,30448,30609,723,723,14391
30,2907040,2907057,2912597,5557,17,5540,45000,30609,30768,719,719,14232
31,3007087,3007104,3012598,5511,17,5494,45000,30768,30925,715,715,14075
32,3107133,3107150,3112576,5443,17,5426,45000,30925,31080,710,710,13920
33,3207178,3207194,3212563,5385,16,5369,45000,31080,31233,706,706,13767
34,3307225,3307242,3312552,5327,17,5310,45000,31233,31385,702,702,13615
35,3407271,3407288,3412555,5284,17,5267,65000,31385,31619,1000,1000,33381
36,3507318,3507335,3512559,5241,17,5224,65000,31619,31853,1000,1000,33147
