sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns,device_us
1,3f000000,3ea00000,00000000,00000000,3f738000,951,22881250,16638
2,3efd46b2,3ea00000,3e883127,3f7374bc,3f7dc000,991,1995583,1906
3,3efa708f,3ea00000,3e8dd2f2,3f7db22d,3f7c8000,986,1919750,1831
4,3ef7a249,3ea00000,3e8c49ba,3f7c6a7f,3f7aa000,979,1810667,1723
5,3ef4de7f,3ea00000,3e8a3d71,3f7a9fbe,3f78e000,972,1771875,1684
6,3ef21ff3,3ea00000,3e89374c,3f78d4fe,3f770000,965,1712375,1624
7,3eef6944,3ea00000,3e87ae14,3f770a3d,3f752000,958,1681167,1593
8,3eecba73,3ea00000,3e8624dd,3f753f7d,3f736000,951,1680292,1593
9,3eea137f,3ea00000,3e849ba6,3f7374bc,3f71a000,944,1678542,1591
10,3ee77708,3ea00000,3e828f5c,3f71a9fc,3f700000,938,1678542,1591
11,3ee4dfce,3ea00000,3e818937,3f7020c5,3f6e4000,931,1676209,1589
12,3ee25072,3ea00000,3e800000,3f6e5604,3f6c8000,924,1683500,1595
13,3edfc654,3ea00000,3e7df3b6,3f6c8b44,3f6ac000,917,1680584,1593
14,3edd46b2,3ea00000,3e79db23,3f6ac083,3f692000,911,1677667,1589
15,3edaceee,3ea00000,3e76c8b4,3f69374c,3f678000,904,1675333,1588
16,3ed85c68,3ea00000,3e74bc6a,3f676c8b,3f65e000,898,1684083,1597
17,3ed5f1bf,3ea00000,3e71a9fc,3f65e354,3f644000,892,1682917,1596
18,3ed38ef3,3ea00000,3e6e978d,3f645a1d,3f62a000,885,1684666,1596
19,3ed13166,3ea00000,3e6c8b44,3f628f5c,3f612000,879,1682625,1595
20,3ecede55,3ea00000,3e6872b0,3f610625,3f5fa000,874,1680000,1592
21,3ecc8de3,3ea00000,3e676c8b,3f5fbe77,3f5e0000,867,1682333,1595
22,3eca454e,3ea00000,3e645a1d,3f5df3b6,3f5c8000,861,1688166,1601
23,3ec80496,3ea00000,3e6147ae,3f5c6a7f,3f5b0000,855,1682625,1596
24,3ec5cbbc,3ea00000,3e5e353f,3f5ae148,3f598000,850,1681167,1592
25,3ec39581,3ea00000,3e5d2f1b,3f59999a,3f580000,844,1680583,1593
26,3ec169c2,3ea00000,3e591687,3f581062,3f56a000,838,1681166,1593
27,3ebf4342,3ea00000,3e570a3d,3f56872b,3f552000,833,1680583,1593
28,3ebd21ff,3ea00000,3e54fdf4,3f553f7d,3f53c000,827,1680000,1592
29,3ebb05fb,3ea00000,3e52f1aa,3f53b646,3f526000,822,1684959,1596
30,3eb8f1d4,3ea00000,3e4fdf3b,3f526e98,3f510000,816,1681750,1594
31,3eb6e2eb,3ea00000,3e4dd2f2,3f50e560,3f4fa000,811,1683209,1596
32,3eb4dbe0,3ea00000,3e4ac083,3f4f9db2,3f4e4000,806,1683500,1596
33,3eb2d773,3ea00000,3e49ba5e,3f4e5604,3f4ce000,800,1681458,1594
34,3eb0dd83,3ea00000,3e45a1cb,3f4ccccd,3f4ba000,795,1680292,1592
35,3eaee632,3ea00000,3e449ba6,3f4b851f,3f4a4000,790,1680000,1593
36,3eacf41f,3ea00000,3e428f5c,3f4a3d71,3f490000,785,1676208,1589
37,3eab09ea,3ea00000,3e3f7cee,3f48f5c3,3f47c000,780,1680000,1592
38,3ea924f2,3ea00000,3e3d70a4,3f47ae14,3f468000,775,1679125,1592
39,3ea74539,3ea00000,3e3b645a,3f466666,3f454000,771,1678541,1592
40,3ea5681f,3ea00000,3e3a5e35,3f456042,3f43e000,765,1680000,1593
41,3ea39581,3ea00000,3e3645a2,3f43d70a,3f42e000,761,1677958,1591
42,3ea1c582,3ea00000,3e353f7d,3f42d0e5,3f418000,756,1684667,1597
43,3e9ffac2,3ea00000,3e333333,3f418937,3f406000,751,1681458,1595
44,3e9e353f,3ea00000,3e3126e9,3f404189,3f3f4000,747,1680000,1593
45,3e9c74fb,3ea00000,3e2f1aa0,3f3f3b64,3f3e0000,742,1681458,1594
