*** Booting Zephyr OS build v3.7.0 ***
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
172,1730268704,1736006912,1736275616,268704
173,1740387360,1746006912,1746394272,387360
174,1750391584,1756006912,1756398496,391584
175,1760379952,1766006912,1766386864,379952
176,1770505216,1776006912,1776512128,505216
177,1780502320,1786006912,1786509232,502320
178,1790369040,1796006912,1796375952,369040
179,1800483568,1806006912,1806490480,483568
180,1810430192,1816006912,1816437104,430192
181,1820330960,1826006912,1826337872,330960
182,1830373088,1836006912,1836380000,373088
183,1840224416,1846006912,1846231328,224416
184,1850389440,1856006912,1856396352,389440
185,1860361808,1866006912,1866368720,361808
186,1870446304,1876006912,1876453216,446304
187,1880260784,1886006912,1886267696,260784
188,1890371312,1896006912,1896378224,371312
189,1900587488,1906006912,1906594400,587488
190,1910514816,1916006912,1916521728,514816
191,1920599056,1926006912,1926605968,599056
192,1930433536,1936006912,1936440448,433536
193,1940285536,1946006912,1946292448,285536
194,1950375584,1956006912,1956382496,375584
195,1960424592,1966006912,1966431504,424592
196,1970360784,1976006912,1976367696,360784
197,1980495360,1986006912,1986502272,495360
198,1990410080,1996006912,1996416992,410080
199,2000529744,2006006912,2006536656,529744
200,2010551888,2016006912,2016558800,551888
201,2020591152,2026006912,2026598064,591152
202,2030184864,2036006912,2036191776,184864
203,2040432000,2046006912,2046438912,432000
204,2050431040,2056006912,2056437952,431040
205,2060475312,2066006912,2066482224,475312
206,2070340096,2076006912,2076347008,340096
207,2080465152,2086006912,2086472064,465152
208,2090513296,2096006912,2096520208,513296
209,2100352384,2106006912,2106359296,352384
210,2110357760,2116006912,2116364672,357760
211,2120381952,2126006912,2126388864,381952
212,2130528144,2136006912,2136535056,528144
213,2140532112,2146006912,2146539024,532112
214,2150553456,2156006912,2156560368,553456
215,2160376064,2166006912,2166382976,376064
216,2170384176,2176006912,2176391088,384176
217,2180508160,2186006912,2186515072,508160
218,2190255680,2196006912,2196262592,255680
219,2200170688,2206006912,2206177600,170688
220,2210422048,2216006912,2216428960,422048
221,2220539040,2226006912,2226545952,539040
222,2230579488,2236006912,2236586400,579488
223,2240457552,2246006912,2246464464,457552
224,2250483472,2256006912,2256490384,483472
225,2260552048,2266006912,2266558960,552048
226,2270174016,2276006912,2276180928,174016
227,2280136800,2286006912,2286143712,136800
228,2290211744,2296006912,2296218656,211744
229,2300402032,2306006912,2306408944,402032
230,2310545888,2316006912,2316552800,545888
231,2320591536,2326006912,2326598448,591536
232,2330496528,2336006912,2336503440,496528
233,2340477936,2346006912,2346484848,477936
234,2350272240,2356006912,2356279152,272240
