index,input0_f32_bits,input1_f32_bits,input2_f32_bits,input3_f32_bits,expected_output_f32_bits,expected_actuator_permille,rknn_output_f32_bits,rknn_actuator_permille,wall_ns,device_us
7908,c01098b3,befeab36,409a985f,3f4d0e56,00000000,0,00000000,0,137665,130
7909,bf4f0308,be6669ad,c11edd98,3f22d0e5,3f800000,1000,3f800000,1000,136791,129
7910,4020cdc8,3fcf7382,4047e5c9,3e7ae148,3f800000,1000,3f800000,1000,136499,129
7911,3f6e6d9c,3f220419,411a2d0e,3e96872b,3dc31fc1,95,3dc20000,95,136499,130
7912,be61bb06,3e3d1eb8,410d240b,3e849ba6,00000000,0,00000000,0,137374,130
7913,beac447c,3e0a7efa,c0e1bf48,3cdd2f1b,3f800000,1000,3f800000,1000,135916,129
7914,3e9da7b1,be0b404f,c0c538ef,3d591687,3f800000,1000,3f800000,1000,137374,130
7915,3d82e87d,3e9d0481,407f559b,3f3fbe77,00000000,0,00000000,0,137374,130
7916,3f871c97,3fb84c98,bf3240b8,3ee9fbe7,3f800000,1000,3f800000,1000,136207,129
7917,bf6d4563,3e327bb3,c06fd567,3f68f5c3,3ef53d24,479,3ef56000,479,137665,131
7918,401a3c21,3f9e8e22,40df3333,3f5e76c9,3f800000,1000,3f800000,1000,136499,129
7919,beca6762,3f481bda,c0be95ea,3f16c8b4,3f800000,1000,3f800000,1000,136791,129
7920,3fa3851f,3f017b4a,404c9a02,3d9ba5e3,3f800000,1000,3f800000,1000,137374,130
7921,3fcba5e3,3f715dcc,c102cf42,3e9e353f,3f800000,1000,3f800000,1000,136499,129
7922,402b2f45,3faec986,40c96873,3f747ae1,3f800000,1000,3f800000,1000,138249,131
7923,becc8de3,bf0da36e,40f8d289,3f4624dd,00000000,0,00000000,0,141749,135
7924,402ef3a1,3f85e00d,c100d70a,3f6e978d,3f800000,1000,3f800000,1000,136207,128
7925,bfd740a3,bf0570a4,c0c9b4a2,3f066666,3ebb86f6,366,3ebbe000,367,137957,131
7926,40168145,3fa957a8,bfe15e9e,3dc49ba6,3f800000,1000,3f800000,1000,137665,131
7927,3ecbb98c,bdd6594b,40c778d5,3f1d2f1b,00000000,0,00000000,0,136207,129
7928,c0539724,bf075dcc,c0096d5d,3e8a3d71,00000000,0,00000000,0,138541,132
7929,3f8c1b33,3fc28794,be1a8588,3f683127,3f800000,1000,3f800000,1000,136498,130
7930,3f83a14d,3fae14e4,3f466666,3f29fbe7,3f800000,1000,3f800000,1000,137374,130
7931,3fa5c52e,3e2205bc,c0f42681,3e5c28f6,3f800000,1000,3f800000,1000,136791,129
7932,c0247a3a,bd1c779a,c0935254,3f5645a2,00000000,0,00000000,0,136790,129
7933,be67dfe3,3f842196,c10214e4,3d71a9fc,3f800000,1000,3f800000,1000,137957,131
7934,40681798,3fc466cf,3fb044d0,3dcac083,3f800000,1000,3f800000,1000,139416,132
7935,3e18bd66,3fa1b021,411091d1,3f47ef9e,00000000,0,00000000,0,137957,131
7936,bf6ed528,3f6be354,c0fb1c43,3f7ae148,3f800000,1000,3f800000,1000,138541,131
7937,bfab1b9b,bf0c57a8,407248e9,3edc28f6,00000000,0,00000000,0,136790,130
