index,input0_f32_bits,input1_f32_bits,input2_f32_bits,input3_f32_bits,expected_output_f32_bits,expected_actuator_permille,rknn_output_f32_bits,rknn_actuator_permille,wall_ns,device_us
0,3e99999a,3ee00000,3dcccccd,3ecccccd,3f53645b,826,3f536000,826,130666,123
1,00000000,00000000,00000000,00000000,3ca3d70a,20,3ca3e000,20,129790,123
2,3f99999a,00000000,00000000,00000000,3f800000,1000,3f800000,1000,125124,119
3,c0266666,00000000,00000000,00000000,00000000,0,00000000,0,126290,120
4,bf99999a,bf400000,00000000,00000000,00000000,0,00000000,0,126290,119
5,40266666,3fd00000,00000000,00000000,3f800000,1000,3f800000,1000,124833,117
6,00000000,00000000,c1200000,00000000,3f800000,1000,3f800000,1000,125415,119
7,00000000,00000000,41200000,00000000,00000000,0,00000000,0,129791,123
8,00000000,00000000,00000000,3f800000,3df5c290,120,3df5c000,120,128332,123
9,3f333333,3f000000,3e800000,3e800000,3f800000,1000,3f800000,1000,121623,116
10,bf000000,3ea00000,be800000,3f400000,3e2f5c29,171,3e2f6000,171,127457,121
11,c0733333,bf400000,41200000,00000000,00000000,0,00000000,0,126582,119
12,40733333,3fd00000,c1200000,3f800000,3f800000,1000,3f800000,1000,124832,118
13,be99999a,3ec00000,bf9e0419,3f266666,3efd4aa0,495,3efd4000,495,126291,119
14,3f19999a,3f100000,3f9e0419,3eb33333,3f800000,1000,3f800000,1000,127166,120
15,37a7c5ac,3ec00000,38d1b717,3f000000,3ed0a4e3,408,3ed0a000,407,126874,121
16,3fa03127,3f55999a,40b276c9,3f666666,3f800000,1000,3f800000,1000,125999,119
17,bf231e3a,3f99b98c,3eef7660,3e3c6a7f,3f376ca4,717,3f376000,716,126582,120
18,c0120371,bdf55326,c0e79ce0,3ebf7cee,3e60c280,219,3e616000,220,125124,118
19,3fa93f29,3fceb22d,40ff5cfb,3f43126f,3f800000,1000,3f800000,1000,124540,117
20,bfe716b1,bc9a6b51,c0c4bc6a,3f353f7d,3e96e978,295,3e970000,295,125707,119
21,c0049b52,3d76872b,41065dcc,3e96872b,00000000,0,00000000,0,126291,119
22,bfadba0a,3eeaf007,c0e17a78,3eee978d,3f800000,1000,3f800000,1000,125707,119
23,3f78a32f,3ed88312,40c2978d,3ed70a3d,3f1c518d,611,3f1c2000,610,124833,118
24,c0138961,beecc7e3,c0a12bd4,3f589375,00000000,0,00000000,0,124249,117
25,3f0d68c7,3f8518fc,c09f93de,3ed78d50,3f800000,1000,3f800000,1000,122499,117
26,3fa3b795,3ea18106,3f96cbfb,3f2b020c,3f800000,1000,3f800000,1000,121332,115
27,c0028eb4,be8dcfab,40f620c5,3f178d50,00000000,0,00000000,0,121915,116
28,3f8aa1b6,3f3ff7cf,409260aa,3e75c28f,3f800000,1000,3f800000,1000,124540,118
29,3f8b8716,3f998ce7,c04068dc,3f5c28f6,3f800000,1000,3f800000,1000,121915,115
30,c0343e96,bf3d3f7d,3fb42268,3e72b021,00000000,0,00000000,0,121041,115
31,bff94e3c,beceb852,41024ea5,3f71a9fc,00000000,0,00000000,0,122790,117
32,3f5685db,3de10625,41190c4a,3f547ae1,00000000,0,00000000,0,123957,118
33,c04810b6,bf0110cb,406a2681,3f5126e9,00000000,0,00000000,0,122207,115
34,3fd22920,3fbd8106,c00afd22,3f79999a,3f800000,1000,3f800000,1000,120749,115
35,3ed84f4c,be70624e,40869ba6,3e8ccccd,00000000,0,00000000,0,124249,118
36,bf4eaf25,3cc538ef,40f66b51,3f076c8b,00000000,0,00000000,0,156624,150
37,bf69ec2d,be8b020c,40eefb7f,3f4f5c29,00000000,0,00000000,0,128041,122
38,bfb4aff7,bf377dbf,406afec5,3f11a9fc,00000000,0,00000000,0,128624,121
39,3f084b5e,3f328db9,3f9e83e4,3d79db23,3f800000,1000,3f800000,1000,125708,120
40,bf90e022,bee44b5e,4115daba,3f456042,00000000,0,00000000,0,125415,119
41,c009cd60,be981a37,c0e4bb99,3e981062,3e84fce7,260,3e858000,261,125415,118
42,3f8f8a09,3e488312,c11f56d6,3f424dd3,3f800000,1000,3f800000,1000,126583,121
43,c037e9b8,bf01a36e,406c5d64,3d1374bc,00000000,0,00000000,0,126582,120
44,bf81a21f,3ef01062,c030f27c,3f5a1cac,3f04ba8c,518,3f04e000,519,126290,120
45,403166cf,3f9e27bb,40e3a787,3ea1cac1,3f800000,1000,3f800000,1000,125707,119
46,3f25e4a4,3fac089a,c0a83a2a,3ee0c49c,3f800000,1000,3f800000,1000,126291,119
47,bfeaf2fa,bdda6b51,3f1a8c15,3c9374bc,00000000,0,00000000,0,126582,119
48,3fc4e9a3,3eda3055,c0d24ea5,3f1d70a4,3f800000,1000,3f800000,1000,125999,120
49,3f118a87,3fc76cf4,c0ecac08,3f170a3d,3f800000,1000,3f800000,1000,125124,119
50,3f15eb31,bd9dd97f,bfb257a8,3ee1cac1,3f800000,1000,3f800000,1000,126290,120
51,3fed6580,3fc8f06f,c00fb4a2,3f791687,3f800000,1000,3f800000,1000,124249,118
52,400dc77a,3f6f6c8b,c092538f,3e072b02,3f800000,1000,3f800000,1000,125999,119
53,bf3691a7,3f8a47ae,40d927bb,3e570a3d,00000000,0,00000000,0,124249,118
54,bda43fe6,3f75e1b1,c0f845a2,3ecd4fdf,3f800000,1000,3f800000,1000,126874,120
55,bfb69058,3f11a858,c0f558e2,3f316873,3f800000,1000,3f800000,1000,123666,117
56,400abb99,3fa26320,c0767525,3edd2f1b,3f800000,1000,3f800000,1000,127166,121
57,c032a359,bf38680a,3ff3b98c,3f57ced9,00000000,0,00000000,0,135915,131
58,bdf3cb3e,3fb2d773,c0796388,3f476c8b,3f800000,1000,3f800000,1000,125999,120
59,c0420275,bef8a234,bea29c78,3f07ae14,00000000,0,00000000,0,124541,117
60,3fe54802,3f816738,40a8e560,3f4ccccd,3f800000,1000,3f800000,1000,135623,129
61,3f518937,3ed75dcc,c11ef8a1,3cdd2f1b,3f800000,1000,3f800000,1000,125707,120
62,bf2c49ba,3ed907c8,c0658794,3eb0a3d7,3f3ebba6,745,3f3ec000,745,128624,123
63,3ee3f67f,3fc2703b,c0d41a37,3f0d0e56,3f800000,1000,3f800000,1000,134748,128
64,3f428241,3fb6b5dd,40b2dd2f,3eec0831,3f800000,1000,3f800000,1000,125998,119
65,c019c52e,3d9c63f1,c0074bc7,3ec51eb8,00000000,0,00000000,0,125999,119
66,3fa827fa,3df5e9e2,3fbda858,3f395810,3f800000,1000,3f800000,1000,126291,120
67,3fd9d53d,3f8ff488,4032425b,3f25a1cb,3f800000,1000,3f800000,1000,134457,128
68,3f155326,3f82a1cb,405cdb8c,3e9e353f,3f800000,1000,3f800000,1000,126582,120
69,be8291fb,be7e52bd,4082ebee,3f522d0e,00000000,0,00000000,0,126582,119
70,3f4573eb,3fcdd220,40429fbe,3eb645a2,3f800000,1000,3f800000,1000,144957,137
71,c01dad97,bf0b5cfb,c0440b78,3e9fbe77,00000000,0,00000000,0,137665,130
72,bea7e7c0,3f8f1412,c1170625,3ee3d70a,3f800000,1000,3f800000,1000,129499,123
73,bf88f909,3f5c6666,c11972b0,3e52f1aa,3f800000,1000,3f800000,1000,127458,121
74,401796d1,3f4ee7d5,3fde2196,3f10a3d7,3f800000,1000,3f800000,1000,128040,122
75,beedefc8,3e761134,c056de01,3ebe76c9,3f253a82,645,3f254000,646,127457,121
76,3ee04189,beb3020c,40eb93de,3ec39581,00000000,0,00000000,0,126582,120
77,bfbf7319,3f2ee979,c1197e91,3f160419,3f800000,1000,3f800000,1000,127166,120
78,3f68754f,3f9c04ea,c0f98866,3e71a9fc,3f800000,1000,3f800000,1000,125999,119
79,3ff3588e,3f5115b5,c06f4539,3f2a3d71,3f800000,1000,3f800000,1000,127458,120
80,3e7606b8,3f9cde01,c0cec49c,3c449ba6,3f800000,1000,3f800000,1000,125999,119
81,c01341f2,bbe90ff9,bfd7cb92,3e73b646,00000000,0,00000000,0,125416,118
82,bf34284e,3f00c63f,c11c53f8,3e29fbe7,3f800000,1000,3f800000,1000,124540,118
83,be84b09f,3e696f00,c0ef460b,3f5db22d,3f800000,1000,3f800000,1000,124832,118
84,400b8ab1,3fa2e560,c0cfc84b,3ec5a1cb,3f800000,1000,3f800000,1000,128915,123
85,40066f3f,3fcb5183,40e0b9f5,3f3d70a4,3f800000,1000,3f800000,1000,128332,123
86,bf02aed1,3eb92d77,410acfab,3f7ba5e3,00000000,0,00000000,0,125707,119
87,3f1abb45,3e00ff97,c10507c8,3f0ccccd,3f800000,1000,3f800000,1000,183457,121
88,40243cf3,3f884120,40dd367a,3f51a9fc,3f800000,1000,3f800000,1000,128624,122
89,bd9652bd,bf3ea993,c0dab780,3f3126e9,3f800000,1000,3f800000,1000,125707,119
90,400d465f,3f250b0f,403d1687,3f3a9fbe,3f800000,1000,3f800000,1000,126290,120
91,bf8596a7,3e046a7f,40ae9eed,3ecbc6a8,00000000,0,00000000,0,127165,120
92,3fbf60bf,3fb7075f,c0fe902e,3f12f1aa,3f800000,1000,3f800000,1000,125998,120
93,bf804ff4,be931aa0,402692a3,3df3b646,00000000,0,00000000,0,124832,118
94,bfe6c80c,beaf67a1,3fc4b5dd,3f0c49ba,00000000,0,00000000,0,126582,119
95,bf1148fe,bf1c0000,c0e89d49,3f239581,3f800000,1000,3f800000,1000,125999,119
96,3fce48e9,3f40710d,c0e04817,3e28f5c3,3f800000,1000,3f800000,1000,125998,119
97,bef028a2,be6d7dbf,3f6cf41f,3eae147b,00000000,0,00000000,0,126874,120
98,c0202e34,bd57e910,40f6147b,3ce56042,00000000,0,00000000,0,128041,120
99,3da2db62,3fb1a7f0,4106b3d0,3f3b645a,00000000,0,00000000,0,125707,119
100,3e623e18,3f8aeab3,bf31f8a1,3eed9168,3f800000,1000,3f800000,1000,128916,122
101,be7991bc,3f80c49c,c048aa65,3eb9db23,3f800000,1000,3f800000,1000,125124,119
102,bff149a5,bf30b852,c0934f0e,3f1a5e35,00000000,0,00000000,0,126874,120
103,bf9725c4,3f47119d,3fb8aa65,3f36c8b4,00000000,0,00000000,0,146415,139
104,4034a71e,3f9a8ce7,bfb5dcc6,3e74bc6a,3f800000,1000,3f800000,1000,144665,137
105,3ec4d014,3fba985f,3e91a9fc,3f7f3b64,3f800000,1000,3f800000,1000,145832,138
106,3ed10f52,3fa98c15,4116c505,3f4c49ba,3e019fe8,127,3e00a000,126,153998,144
107,3f5e32a0,3f5b65fe,410fb50b,3eb7ced9,3ead7fa0,339,3ead0000,338,145540,138
108,becd1b71,bdd63f14,40a8e3bd,3f7ba5e3,00000000,0,00000000,0,144666,137
109,3ffe1672,3f397803,c0a7b15b,3f07ae14,3f800000,1000,3f800000,1000,144082,137
110,4024d014,3fce5f07,c0208ce7,3f21cac1,3f800000,1000,3f800000,1000,145540,137
111,bff6f933,bec1f55a,bded9168,3f2b020c,00000000,0,00000000,0,191623,183
112,bf8c14a5,bf3a52bd,411901a3,3efc6a7f,00000000,0,00000000,0,157499,149
113,3fb73a15,3f6185f0,41013261,3d1374bc,3f800000,1000,3f800000,1000,156331,148
114,bf81b717,3ed398c8,c0877cee,3eb020c5,3f2e8852,682,3f2ea000,682,168291,160
115,bfcfd955,3ebb46dc,c065f6fd,3f624dd3,3e8b8057,272,3e8b8000,272,156331,148
116,bf495810,3edbef9e,408e83e4,3f0f5c29,00000000,0,00000000,0,167124,158
117,bfec87fd,3e825c92,404844d0,3ef5c28f,00000000,0,00000000,0,157498,148
118,40260807,3f9781d8,c0145048,3ee978d5,3f800000,1000,3f800000,1000,153124,145
119,bf86147b,3f2657a8,3f786c22,3dfdf3b6,00000000,0,00000000,0,168873,160
120,3e67daa5,be60240b,3fdf4bc7,3ecfdf3b,3d27ac77,41,3d278000,41,162456,153
121,3f338088,3f6c7454,40961d7e,3f604189,3f800000,1000,3f800000,1000,155457,146
122,bfd983f9,bf353a93,411ddf3b,3d958106,00000000,0,00000000,0,153415,146
123,befccb7d,beadb574,40ac8241,3ecccccd,00000000,0,00000000,0,153415,145
124,3fb65a9b,3fb03611,c0fda29c,3f649ba6,3f800000,1000,3f800000,1000,154582,146
125,bf7a3444,3df786c2,410a154d,3f600000,00000000,0,00000000,0,150499,142
126,bf76c4c6,bf157732,c0183fe6,3f5a5e35,3d531340,52,3d53a000,52,152832,144
127,bfcb9820,bef758e2,410786c2,3eae147b,00000000,0,00000000,0,153999,145
128,3f849082,3f972f1b,40c856d6,3f76872b,3f800000,1000,3f800000,1000,155165,148
129,4003b2ff,3f343bcd,c0bd1f8a,3f7851ec,3f800000,1000,3f800000,1000,153707,145
130,bf5f1fde,be7afb7f,bf54538f,3ee353f8,00000000,0,00000000,0,156915,149
131,401bad6d,3f63ec57,c07bd220,3f3be76d,3f800000,1000,3f800000,1000,151957,143
132,beb121ab,be59d7dc,c105fec5,3f343958,3f800000,1000,3f800000,1000,157499,149
133,bfbf9874,be8f34d7,be42de01,3ed47ae1,00000000,0,00000000,0,150791,143
134,bee39abf,beae4a8c,40aa8a72,3e322d0e,00000000,0,00000000,0,153124,145
135,40634f0e,3fc4923a,c03faace,3ecc49ba,3f800000,1000,3f800000,1000,152248,144
136,bfecce1c,3ed3c361,401f81d8,3f0dd2f2,00000000,0,00000000,0,153416,145
137,3fa32d4d,3f8f339c,bfd06c22,3eac0831,3f800000,1000,3f800000,1000,153999,146
138,3f16d091,3f4d98c8,3f9eae7d,3c449ba6,3f800000,1000,3f800000,1000,156332,148
139,c052b9f5,bf213190,c11bff2e,3f14fdf4,3e3f5948,187,3e3fc000,187,152249,145
140,3fcdc52e,3f23e426,3ff6d5d0,3f7ba5e3,3f800000,1000,3f800000,1000,153415,145
141,c02d613d,bdd3a29c,bec66666,3f3ef9db,00000000,0,00000000,0,152832,145
142,bf53a7db,3e267a10,c108b852,3efb645a,3f800000,1000,3f800000,1000,153707,145
143,3fae5215,3e7346dc,4038a234,3f47ae14,3f800000,1000,3f800000,1000,154290,146
144,bfb956c1,be2374bc,c116d5d0,3ee9fbe7,3f800000,1000,3f800000,1000,154873,147
145,bd20125a,bf011b71,404cb5dd,3d072b02,00000000,0,00000000,0,153999,146
146,3f62f6e8,3f82a0f9,40e321ff,3e94fdf4,3f57af1d,843,3f57a000,842,153123,145
147,3f566905,3c212d77,c09993de,3e6b851f,3f800000,1000,3f800000,1000,153123,144
148,bfc64841,3e914467,3f625aee,3f7be76d,00000000,0,00000000,0,152540,145
149,bfc811b2,3edd8106,406d652c,3ed16873,00000000,0,00000000,0,153707,145
150,4037497b,3f90cb29,c0a9f55a,3f2fdf3b,3f800000,1000,3f800000,1000,167123,158
151,3ec6fe72,3fa91f21,401bedfa,3f6e147b,3f800000,1000,3f800000,1000,175873,167
152,3e91a21f,3ea2b50b,411b74bc,3f558106,00000000,0,00000000,0,179373,170
153,40270015,3fc48312,c0f3f2e5,3f2e978d,3f800000,1000,3f800000,1000,187999,179
154,3f4a6a01,3f81e632,bee2339c,3ebc6a7f,3f800000,1000,3f800000,1000,187540,178
155,3fe69446,3f51a027,4110652c,3f7a9fbe,3f800000,1000,3f800000,1000,188124,179
156,bf7d859d,3eb5288d,3fdd2f1b,3f58d4fe,00000000,0,00000000,0,187832,178
157,3d83e426,3e3ae7d5,c10aae14,3f641893,3f800000,1000,3f800000,1000,186082,176
158,bf39d884,be615e9e,c0aa6595,3eb9db23,3f26dc81,652,3f26e000,652,187540,178
159,3ee7e521,3f929375,c02502de,3ed0624e,3f800000,1000,3f800000,1000,185790,176
160,3ebc779a,3f7f61e5,4110d35b,3e818937,00000000,0,00000000,0,186956,177
161,3f8a2bbf,3eccce70,40fb6388,3f0f9db2,3ed9c71c,425,3ed92000,424,186082,176
162,be89a565,3f57e9e2,c0d8db8c,3f06a7f0,3f800000,1000,3f800000,1000,185790,175
163,3f5cb685,3dcc49ba,3f2ecbfb,3ef3b646,3f800000,1000,3f800000,1000,186957,177
164,3bd0678c,3f9f8b44,400c60aa,3df3b646,3f4463ed,767,3f444000,767,186665,176
165,bf39a416,bf2f7319,c078d014,3eab851f,3ec80aa0,391,3ec84000,391,185790,176
166,bf756d5d,3edb9097,4104404f,3f326e98,00000000,0,00000000,0,186081,176
167,bd90f51b,3f582d0e,c10b566d,3f61cac1,3f800000,1000,3f800000,1000,184624,176
168,bfc07c85,bef2acda,c04d6f00,3f4a3d71,00000000,0,00000000,0,189290,179
169,c01fd3c3,be4bbcd3,40bf7b4a,3e072b02,00000000,0,00000000,0,186664,177
170,3cb72c52,3eb0bfb1,bdc710cb,3f06a7f0,3edc15fc,430,3edc0000,430,213790,204
171,3fc3e814,3f5d8fc5,411fd220,3f38d4fe,3f800000,1000,3f800000,1000,191331,181
172,3dbd512f,3fb1985f,bf67ced9,3f5a9fbe,3f800000,1000,3f800000,1000,199206,177
173,bf485879,bf3052bd,402eecc0,3e581062,00000000,0,00000000,0,190456,179
174,beb935fc,bf0aeb1c,41184fdf,3d71a9fc,00000000,0,00000000,0,188998,179
175,3d9d1f60,beca7a10,bfd353f8,3e8ccccd,3ee38a7f,444,3ee3a000,445,206498,195
176,3f1f2f98,3fb4a162,c10f1134,3f6ccccd,3f800000,1000,3f800000,1000,201248,190
177,3e8a8438,3e5982aa,409ff141,3f045a1d,00000000,0,00000000,0,193082,183
178,40221134,3f978b44,4109d35b,3e3a5e35,3f800000,1000,3f800000,1000,188706,178
179,bfa6f88c,bf122d0e,c0df2474,3eb22d0e,3f28620b,658,3f286000,658,188123,178
180,3f9d46b2,3e8af4f1,c0c832ca,3f3f7cee,3f800000,1000,3f800000,1000,187540,177
181,400ed86f,3f4ae48f,40d0fd22,3dfdf3b6,3f800000,1000,3f800000,1000,188123,178
182,3fd1374c,3e917a78,c09c233a,3e9a1cac,3f800000,1000,3f800000,1000,189290,179
183,3f6badc1,3fba1e4f,bfd566cf,3f37ced9,3f800000,1000,3f800000,1000,188415,178
184,3e2e48e9,3f8b6ae8,bdce703b,3e86a7f0,3f800000,1000,3f800000,1000,188124,178
185,3fab9192,3f86096c,c01dcc64,3f0a3d71,3f800000,1000,3f800000,1000,187248,177
186,befc3b4f,bd9f9097,3e2786c2,3e2c0831,00000000,0,00000000,0,192790,183
187,c0180443,bf3ea8c1,40bcc083,3f74fdf4,00000000,0,00000000,0,193665,184
188,be97121b,3ebe5fd9,41034b5e,3f06e979,00000000,0,00000000,0,186374,176
189,3fdbeea2,3f7159b4,c11d9ce0,3f43d70a,3f800000,1000,3f800000,1000,189581,179
190,3e7d028a,3f651687,c0ce9eed,3f34bc6a,3f800000,1000,3f800000,1000,172957,164
191,3f92af79,3f81e560,40e81062,3eb4bc6a,3f800000,1000,3f800000,1000,161582,154
192,3f56bf87,3f5bab9f,c084ac08,3ee04189,3f800000,1000,3f800000,1000,163623,155
193,bedde69b,3f6c3611,410f432d,3e26e979,00000000,0,00000000,0,163332,154
194,c035c1e8,be2e6cf4,4059ab9f,3e570a3d,00000000,0,00000000,0,161873,153
195,bfe22920,bf370625,40cc9931,3f23d70a,00000000,0,00000000,0,162749,154
196,bf97ced9,3e904817,c0e6b9f5,3d23d70a,3f7b823d,982,3f7ba000,983,164790,156
197,3f9ef933,3f229375,410f5532,3dced917,3f1a8e72,604,3f1a6000,603,162457,154
198,3fa4562e,3fc8425b,bebc779a,3e8c49ba,3f800000,1000,3f800000,1000,160998,152
199,bfaf8961,3ec8ea4b,3f90fc50,3e96872b,00000000,0,00000000,0,161290,153
200,3f97b353,3fc15254,40a40ebf,3f3a5e35,3f800000,1000,3f800000,1000,164207,156
201,beb8f473,befd78d5,c0cce148,3d591687,3f7f43eb,997,3f7f6000,998,160416,152
202,3e835697,3fa8ac08,41021412,3e072b02,3db6d29a,89,3db40000,88,160998,153
203,bebf4342,3f87b98c,4049f06f,3f7ba5e3,3ea2c14b,318,3ea2a000,318,161873,153
204,c059714c,bf2b381d,c0db8c7e,3f6d0e56,00000000,0,00000000,0,157207,149
205,bee7b891,bdf48e8a,4063e910,3f0624dd,00000000,0,00000000,0,150373,143
206,c012ca58,befadaba,3fd8bac7,3f153f7d,00000000,0,00000000,0,149624,142
207,c0341d2a,bf38d773,4046e48f,3e147ae1,00000000,0,00000000,0,152540,145
208,bf93111f,be33089a,3dbafb7f,3e978d50,00000000,0,00000000,0,149332,141
209,3fc3f727,3ef60c4a,407cd35b,3e1eb852,3f800000,1000,3f800000,1000,145832,139
210,c015c52e,be2f2474,40d8e979,3f743958,00000000,0,00000000,0,149040,141
211,404a1c58,3fc42b6b,409afc50,3f2e147b,3f800000,1000,3f800000,1000,151374,144
212,c027e2d6,bd1d4952,409a075f,3f71a9fc,00000000,0,00000000,0,150791,143
213,c017ebaf,be0353f8,c10f779a,3ebae148,3ef79dd5,484,3ef84000,485,149332,142
214,3e781840,3f8c73eb,c0b30cb3,3f48b439,3f800000,1000,3f800000,1000,156041,147
215,bec63737,3e269100,c06b1759,3b03126f,3f225c42,634,3f226000,634,152540,144
216,3fa9ba5e,3ec12f1b,40d91759,3eab020c,3f6548df,896,3f652000,895,149623,142
217,3e3bcd36,3fcbd567,c07c37b5,3f189375,3f800000,1000,3f800000,1000,150790,143
218,be9d2c7c,be7a29c7,c0b32e49,3ced9168,3f6096dd,877,3f60a000,877,153124,145
219,c0089afe,3df8ce70,c0672618,3ecac083,00000000,0,00000000,0,150790,143
220,3f3a5ce6,3f4cf27c,401cf909,3e86a7f0,3f800000,1000,3f800000,1000,148749,141
221,bf0a0126,3f7060aa,c02475f7,3e71a9fc,3f800000,1000,3f800000,1000,149624,141
222,bf023b79,3eee8241,40877a78,3f3ef9db,00000000,0,00000000,0,148165,140
223,3dabfdb5,3f5088ce,3e5758e2,3e9f3b64,3f5b053d,856,3f5b0000,855,149915,142
224,3db8c543,3fc6b296,c08852bd,3f0978d5,3f800000,1000,3f800000,1000,148748,141
225,3f33c750,be8e978d,40fb8bac,3f2f1aa0,00000000,0,00000000,0,150207,142
226,bd96872b,3e834bc7,c0f28241,3f2c0831,3f800000,1000,3f800000,1000,148457,141
227,3fec6888,3fad837b,bf810cb3,3f4f5c29,3f800000,1000,3f800000,1000,148748,141
228,3fa8de2b,3f92b0f2,be63a29c,3f0ed917,3f800000,1000,3f800000,1000,148749,141
229,3e4cbd12,3d30068e,c00da36e,3e9f3b64,3f3f80b3,748,3f3f8000,748,173540,166
230,3eacf6be,3f677803,40b616f0,3f69fbe7,3eae1d93,340,3eade000,340,152249,144
231,40354ee4,3fcd28f6,c0b9ba5e,3ec72b02,3f800000,1000,3f800000,1000,167998,159
232,3e293f29,3cff4880,40ed1eb8,3be56042,00000000,0,00000000,0,162749,154
233,bea4b09f,3e401a37,40fe3127,3ec624dd,00000000,0,00000000,0,153415,145
234,bfa3a53c,3e8adaba,c0be339c,3f449ba6,3f458299,772,3f45a000,772,149624,141
235,bff53261,3eb68c15,bf35bc02,3e3f7cee,00000000,0,00000000,0,149040,141
236,beb3abc9,3f775f70,c0548ce7,3f68b439,3f800000,1000,3f800000,1000,147874,140
237,3fa0370d,3e117c1c,be0b295f,3ed89375,3f800000,1000,3f800000,1000,148457,140
238,bfcbd3c3,3ecd0cb3,410d212d,3f0bc6a8,00000000,0,00000000,0,149623,141
239,bede54b5,3f3f54ca,409a7efa,3f2a3d71,00000000,0,00000000,0,148749,141
240,bfdd7bc8,3efa8a72,40d7cc64,3eb4bc6a,00000000,0,00000000,0,151665,143
241,beecbfb1,3dff0d84,c0f97cee,3f5b22d1,3f800000,1000,3f800000,1000,148749,140
242,bf7e9f6b,3f219168,40bf5cfb,3f47ae14,00000000,0,00000000,0,149041,141
243,bfe6fbd2,bf091eb8,3e42de01,3d449ba6,00000000,0,00000000,0,150790,143
244,bebcc8de,3f9db1c4,c0840aa6,3f66a7f0,3f800000,1000,3f800000,1000,149040,141
245,bf673d5c,3f83119d,c0a07e28,3eb22d0e,3f800000,1000,3f800000,1000,149624,141
246,bda9b281,3fabc083,40fef41f,3f42d0e5,00000000,0,00000000,0,149332,142
247,be7b4a23,3fb062b7,bfaa95ea,3f6ac083,3f800000,1000,3f800000,1000,149915,143
248,3f9743e9,3f9b680a,c0bf367a,3f53f7cf,3f800000,1000,3f800000,1000,149916,142
249,bfcad81b,3f0ddcc6,40761cac,3e8ed917,00000000,0,00000000,0,150498,142
250,bfaa0f91,bf310a3d,c11986c2,3f6353f8,3f800000,1000,3f800000,1000,148749,141
251,3ff412ae,3fb8da51,4093bb30,3f61cac1,3f800000,1000,3f800000,1000,149624,142
252,be8ece9a,3f9ac361,40c7fb16,3e158106,00000000,0,00000000,0,151665,144
253,3ec3736d,3f9bad43,c0ec511a,3f672b02,3f800000,1000,3f800000,1000,149916,142
254,4009234f,3f72978d,40f2ea4b,3f3a9fbe,3f800000,1000,3f800000,1000,150207,142
255,3eb003ef,beae9ad4,bfba1ff3,3f4b851f,3f4ee30d,808,3f4ee000,808,149041,141
256,403559b4,3f9d617c,c00e00d2,3ea978d5,3f800000,1000,3f800000,1000,149915,142
257,3e904817,3faf7803,c10b1687,3f4a7efa,3f800000,1000,3f800000,1000,150207,142
258,3ffd4f37,3f8ecb92,40402752,3f58d4fe,3f800000,1000,3f800000,1000,149623,142
259,bea07896,bef502de,40265fd9,3edb22d1,00000000,0,00000000,0,149915,142
260,3f7092cd,3f667fcc,c11a4f0e,3f4353f8,3f800000,1000,3f800000,1000,149624,142
261,bf2b11c7,3f5365fe,40b91759,3f0fdf3b,00000000,0,00000000,0,148749,141
262,3f82a6f4,3f56147b,40b3a29c,3dcac083,3f800000,1000,3f800000,1000,150790,143
263,3f3ccccd,3fbd844d,c0e89eed,3d75c28f,3f800000,1000,3f800000,1000,149332,142
264,3e822142,3edbbcd3,40e966cf,3ced9168,00000000,0,00000000,0,150499,143
265,3f32c3ca,3fc53611,409d5254,3f4d4fdf,3f800000,1000,3f800000,1000,148457,140
266,3f28e0ca,3f618e22,40ba2752,3f1b645a,3f2f23a3,684,3f2f0000,684,147873,141
267,bdffd60f,3fb2ee63,bf9d8adb,3e22d0e5,3f800000,1000,3f800000,1000,150499,143
268,bf035a86,3f96ced9,3f28b439,3e8c49ba,3f3b8b96,733,3f3b6000,732,150499,142
269,3e008d8f,3f9a844d,40b53dd9,3f018937,3e99fdc2,301,3e99a000,300,152248,144
270,bf38d79d,be2a88ce,40ca7efa,3f133333,00000000,0,00000000,0,149915,142
271,bf2e7ff6,3f738fc5,3eaeb1c4,3e51eb85,3efd33b7,495,3efd0000,494,148749,141
272,c05eb8fa,bf0e7efa,40b02b6b,3f3c28f6,00000000,0,00000000,0,150790,143
273,3fb0980b,3fac0069,4116617c,3f67ef9e,3f800000,1000,3f800000,1000,161873,154
274,3e4b9778,3d98a71e,c0ea2752,3e5d2f1b,3f800000,1000,3f800000,1000,151374,144
275,401305a7,3f623c9f,bf0e5c92,3e8dd2f2,3f800000,1000,3f800000,1000,149332,142
276,3fead03e,3f9ae7d5,410b4af5,3f35c28f,3f800000,1000,3f800000,1000,149915,143
277,bfbbd513,3ef4b439,c0f30069,3edd2f1b,3f800000,1000,3f800000,1000,147582,140
278,3fff62b7,3f83fd22,c10c3eab,3f378d50,3f800000,1000,3f800000,1000,149332,142
279,c03dc23b,bece2b6b,40f35254,3f17ced9,00000000,0,00000000,0,149332,141
280,c0354952,bedaab36,c078ea4b,3f439581,00000000,0,00000000,0,150207,142
281,bf47ebaf,3e06d917,400d30be,3f60c49c,00000000,0,00000000,0,149624,142
282,c00093c9,3c5d97f6,c111b5dd,3f6b020c,3f423a75,759,3f426000,759,149915,142
283,3fb672da,3f977bb3,c067dd98,3ef33333,3f800000,1000,3f800000,1000,150206,143
284,3fdb6ae8,3f8ccd36,40d96e2f,3f63126f,3f800000,1000,3f800000,1000,148749,141
