sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5404,5420,106159,100755,16,100739,45000,20000,20140,500,500,24860
2,107058,107073,112253,5195,15,5180,45000,20140,20279,500,500,24721
3,207488,207504,212345,4857,16,4841,45000,20279,20418,500,500,24582
4,307534,307550,312429,4895,16,4879,45000,20418,20557,500,500,24443
5,407582,407597,412494,4912,15,4897,45000,20557,20694,500,500,24306
6,507627,507643,512556,4929,16,4913,45000,20694,20832,500,500,24168
7,607674,607690,612629,4955,16,4939,45000,20832,20968,500,500,24032
8,707721,707737,712684,4963,16,4947,45000,20968,21104,500,500,23896
9,807785,807801,812776,4991,16,4975,45000,21104,21240,500,500,23760
10,907832,907848,912835,5003,16,4987,45000,21240,21375,500,500,23625
11,1007879,1007895,1012846,4967,16,4951,45000,21375,21510,500,500,23490
12,1107926,1107942,1112847,4921,16,4905,45000,21510,21644,500,500,23356
13,1207972,1207988,1212841,4869,16,4853,45000,21644,21777,500,500,23223
14,1308018,1308034,1311898,3880,16,3864,45000,21777,21910,500,500,23090
15,1408063,1408079,1411964,3901,16,3885,45000,21910,22042,500,500,22958
16,1508111,1508126,1511902,3791,15,3776,45000,22042,22174,500,500,22826
17,1608178,1608194,1611913,3735,16,3719,45000,22174,22305,500,500,22695
18,1708226,1708242,1711907,3681,16,3665,45000,22305,22436,500,500,22564
19,1808274,1808290,1811913,3639,16,3623,45000,22436,22566,500,500,22434
20,1908337,1908355,1911901,3564,18,3546,45000,22566,22696,500,500,22304
21,2008358,2008374,2011910,3552,16,3536,45000,22696,22825,500,500,22175
22,2108404,2108421,2111905,3501,17,3484,45000,22825,22954,500,500,22046
23,2208451,2208467,2211909,3458,16,3442,45000,22954,23082,500,500,21918
24,2308498,2308514,2311906,3408,16,3392,45000,23082,23210,500,500,21790
25,2408544,2408560,2411916,3372,16,3356,45000,23210,23337,500,500,21663
26,2508590,2508606,2511908,3318,16,3302,45000,23337,23464,500,500,21536
27,2608636,2608652,2611894,3258,16,3242,45000,23464,23590,500,500,21410
28,2708682,2708698,2711915,3233,16,3217,45000,23590,23715,500,500,21285
29,2808729,2808745,2811916,3187,16,3171,45000,23715,23841,500,500,21159
30,2908775,2908791,2911903,3128,16,3112,45000,23841,23965,500,500,21035
31,3008822,3008838,3011908,3086,16,3070,45000,23965,24089,500,500,20911
32,3108868,3108884,3111955,3087,16,3071,45000,24089,24213,500,500,20787
33,3208933,3208949,3211944,3011,16,2995,45000,24213,24336,500,500,20664
34,3308979,3308994,3311943,2964,15,2949,45000,24336,24459,500,500,20541
35,3409025,3409041,3411916,2891,16,2875,45000,24459,24581,500,500,20419
36,3509070,3509086,3511905,2835,16,2819,45000,24581,24703,500,500,20297
37,3609117,3609133,3612055,2938,16,2922,45000,24703,24824,500,500,20176
38,3709162,3709178,3712145,2983,16,2967,45000,24824,24945,500,500,20055
39,3809208,3809224,3812211,3003,16,2987,45000,24945,25065,500,500,19935
40,3909253,3909269,3912277,3024,16,3008,45000,25065,25185,500,500,19815
41,4009299,4009315,4012333,3034,16,3018,45000,25185,25304,500,500,19696
42,4109347,4109363,4112400,3053,16,3037,45000,25304,25423,500,500,19577
43,4209414,4209430,4212482,3068,16,3052,45000,25423,25541,500,500,19459
44,4309459,4309475,4312550,3091,16,3075,45000,25541,25659,500,500,19341
45,4409504,4409520,4412637,3133,16,3117,45000,25659,25776,500,500,19224
46,4509550,4509565,4512685,3135,15,3120,45000,25776,25893,500,500,19107
47,4609615,4609631,4612745,3130,16,3114,45000,25893,26009,500,500,18991
48,4709661,4709677,4712817,3156,16,3140,45000,26009,26125,500,500,18875
49,4809709,4809725,4812849,3140,16,3124,45000,26125,26241,500,500,18759
50,4909755,4909771,4912843,3088,16,3072,45000,26241,26356,500,500,18644
51,5009800,5009816,5012841,3041,16,3025,45000,26356,26470,500,500,18530
