scheduler,log,samples,runtime_seconds,min_ns,mean_ns,p50_ns,p90_ns,p95_ns,p99_ns,p99_9_ns,max_ns,over_1ms,over_10ms,deadline_misses,inference_samples,inference_runtime_seconds,inference_mean_us,inference_p95_us,inference_p99_us,inference_max_us,inferences_per_minute
rr,rr-01-console.log,18000,608.459,1665208,23803282,21629791,29997416,30156375,39527041,50553791,59986875,18000,17651,17651,59,749.628,2249597,2918129,2940051,2940051,4.722
fp-rr,fp-rr-01-console.log,18000,187.157,65708,397604,359125,479875,505250,565041,7886458,9610791,84,0,0,58,281.876,2967488,1659258,79424584,79424584,12.346
rr,rr-02-console.log,18000,606.464,1447916,23692453,24111291,30000916,30157250,39511583,49868666,55707541,18000,17481,17481,59,759.611,2247024,2695233,2768236,2768236,4.66
fp-rr,fp-rr-02-console.log,18000,187.551,68041,419517,362625,504666,537333,599458,9836541,10281333,90,8,8,58,257.713,2533229,1656386,54201887,54201887,13.503
rr,rr-03-console.log,18000,606.78,2378916,23710000,23793083,30000916,30187875,39543083,49831333,56071541,18000,17510,17510,59,757.783,2247231,2749198,2787263,2787263,4.672
fp-rr,fp-rr-03-console.log,18000,187.094,83791,394130,357958,486291,513708,574083,5678250,9478958,80,0,0,58,300.94,3272766,1656888,97097583,97097583,11.564
