mode,samples,control_status_complete,perception_mae,target_mae,state_mae,mean_rtt_ms,max_rtt_ms,mean_infer_us,expected_behavior_accuracy,safe_rejection_rate
manual,5,5,,93.0,70.66666666666667,250.4,283,,,
yolo,5,3,0.0,26.333333333333332,89.0,219.0,301,1621539.4,1.0,1.0
